Name,TID,TID_Description,PlanetSize,AppearanceModels,YSCommonVariations,RedStarDisplayLevel,MaxUpgradeLevel,CreditIncomeModifier,FuelIncomeModifier,CreditStorageModifier,FuelStorageModifier,CreditShipmentModifier,FuelShipmentModifier,ConceptImage,ColonizeCost,MaxHealth,ShipmentsCap,CapLevel,RelicHydroStages,RelicHydroAmounts
destroyed02,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed03,,2,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
destroyed03,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed06,,3,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
destroyed04,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed07,,4,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
destroyed05,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed13,,5,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
ice_variation1,TID_PLANET_ICE,TID_PLANET_ICE_DESCR,210,ice05!ice06!ice07!ice08!ice13_P!ice14_P!ice15_P!ice16_P!ice17_P,4,,64,100,100,100,0,140,0,portrait_Planet,2000000,,60,30,,
ice_variation2,TID_PLANET_ICE,TID_PLANET_ICE_DESCR,275,ice09!ice10!ice11!ice12!ice13_P!ice14_P!ice15_P!ice16_P!ice17_P,4,,64,100,100,100,0,140,0,portrait_Planet,4000000,,80,40,,
destroyed06,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed14,,6,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
whitestar1,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,destroyed20!destroyed21!destroyed22!destroyed23,,10,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,,12,1,3!10,50!400!1500
destroyed07,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed15,,7,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
whitestar2,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,destroyed16!destroyed17!destroyed18!destroyed19,,5,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,,12,1,3!10,250!500!2000
destroyed08,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed08,,8,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
destroyed09,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed09,,9,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
destroyed10,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed10,,10,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
whitestar_l1,TID_PLANET_DESTROYED,TID_WHITE_STAR_PLANET_DESCR,100,desert05!desert06!desert07!desert08,,1,0,0,0,0,0,0,0,portrait_PlanetWhiteStar,,,12,1,3!10,100!1000!3000
destroyed11,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed24,,11,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
ds1,TID_PLANET_DS,TID_PLANET_DS,100,destroyed14!fire!ice01,,,,,,,,,,portrait_DyingPlanet,,1000,100,1,,
ds2,TID_PLANET_DS,TID_PLANET_DS,100,destroyed20!fire04!ice02,,,,,,,,,,portrait_DyingPlanet,,1000,100,1,,
ds3,TID_PLANET_DS,TID_PLANET_DS,100,destroyed15!fire05!ice03,,,,,,,,,,portrait_DyingPlanet,,1000,100,1,,
ds4,TID_PLANET_DS,TID_PLANET_DS,100,destroyed16!fire06!ice04,,,,,,,,,,portrait_DyingPlanet,,1000,100,1,,
ds5,TID_PLANET_DS,TID_PLANET_DS,100,destroyed08!fire07!ice05,,,,,,,,,,portrait_DyingPlanet,,1000,100,1,,
destroyed12,TID_PLANET_DESTROYED,TID_PLANET_DESTROYED_DESCR,150,destroyed25,,12,0,0,0,0,0,0,0,portrait_DyingPlanet,,1000,12,1,,
