Name,Value
DisableIAP,0
ShipmentsPeriod,60
PlanetUpgradeShipmentRefreshPeriods,2
ShipmentRefreshCrystalDiscountPct,10
ShipmentRefreshRefPct,10
ShipmentRefreshMinCrystals,3
MaxNumTradeJobsForSpaceStation,24
ShipmentRewardFlunctuationPercent,10
MaxWaypoints,15
MaxWaypointsWS,5
TutorialSectorCRCost,500
TutorialSectorUnlockTime,30
CreditShipmentNames,TID_TRADEITEM_ALLOYS!TID_TRADEITEM_DIAMONDS!TID_TRADEITEM_SILICON
HydroShipmentNames,TID_TRADEITEM_FUELCELLS!TID_TRADEITEM_SOLARCONVERTER!TID_TRADEITEM_GOLD
CrystalShipmentName,TID_TRADEITEM_CRYSTALS
MaxStarSystemLogEntries,80
MaxBlueprintsOfOneTypeAwardedEachTime,1000
GooglePlayDownloadURL,market://details?id=com.ParallelSpace.Cerberus
AppleDownloadURL,https://itunes.apple.com/us/app/hades-star/id1058502954?ls=1&mt=8
RedStarHintsCount,15
BlueStarHintsCount,5
RedStarHintTimer,12
NumSecondsBeforeSupernovaToSendNotification,120
CorporationCreationCost,100
TimeToTravelActiveWarpLaneSegmentTicks,2
WarpGatePrice,400
WarpLaneActivationTimeHrs,16
MinShipLevelThatSupportsRename,1
FacebookURL,https://facebook.com/hadesstar
InstagramURL,https://www.instagram.com/hadesstargame/
TwitterURL,https://twitter.com/hadesstargame
DiscordURL,https://discord.gg/hadesstar
TwitchTVURL,
StarterPackShipUpgradeDiscountPct,10
DockAngleIncrement,60
DragToMoveAreaTolerance,150
ShipDockOffsetX,250
ShipDockOffsetY,200
MaxSendInboxMessageLength,300
LargeSystemTravelTimeModifier,360
LargeSystemCombatTurnModifier,60
ReplayVersion,33
CorporationScoreIntervals,10!20!100
CorporationScoreDividers,2!4!10
PlaceIncomingStargateInMiddleOfSector,1
ShipmentAllowOverloadFactor,100
MinDestroyerSpawnTime,90
MaxDestroyerSpawnTime,120
AsteroidDisplaySizes,50!200
EnableDec18CrystalShipmentPack,0
MoonDockOffset,90
NewsURL,https://hadesstar.com/news/{0}.json
DisableRSSearchDuringTutorial,1
WarnOnSRSPlacementMinNumNeighbors,3
ConnectionPortOrders,0!0!1
ConnectionTimeouts,3000!3000!3000
RelicModel,artifacts/Relic01
RelicSize,4
RelicTID,TID_RELIC
MineralTID,TID_MINERAL_ITEM
RelicLoadTicks,720
CorpMaxMinInfluence,20000
CorpMinInfuenceIncrements,100!500
CorpMinInfluenceDiv,1000
MaxAllianceSearchResults,30
BrowsingLatestChatMsgThreshold,1150
ClearInputFocusOnPingUI,1
MaxHydroStoredInAsteroid,1500
SupportViaWebPage,1
SupportWebURL,https://hadesstar.com/{0}/support.html?uid={1}&pcc={2}
SupportWebURLSteam,https://hadesstar.com/{0}/support.html?uid={1}&pcc={2}
WhiteStarHintCount,11
WhiteStarHintTimer,12
SectorEnrichCooldownSeconds,86400
SectorGenesisCooldownSecondsWS,720
SectorGenesisCooldownSecondsYS,86400
WSMaxBSPerPlayer,1
WSMaxOtherPerPlayer,1
WSLostShipTimeCooldown,64800
WSDisbandCooldown,259200
WSJumpBSTimeCooldown,7200
WSJumpOtherTimeCooldown,7200
UnityMaxDamageIncreasePct,200
MaxScheduledOrders,20
MaxTimeMachineFutureSeconds,172800
WSBucketSizes,6!12
TimeMachineRewindIntervalSeconds,43200
InterceptorPrioritizeTriggerer,1
MaxAsteroidsInSector,14
DontAllowUseOfEnemyWSGate,1
BarrageMaxAdditionalEnemies_Base,10
BarrageMaxAdditionalEnemies_BLS,2
BarrageMaxAdditionalEnemies_WS,4
WSShipXPCollectEnabled,0
WSShipMinXP,1000
WSShipXPEventClientDisplayMode,0
WSShipEventTopBrackets,3!20!200
WSShipEventCRRewards,8000!3000!1000
WSShipXPEventVersion,2
ShowActiveStars,1
HardTouchEnableIOS,1
HardTouchEnableAndroid,0
HardTouchEnablePressure,75
HardTouchZoomFactor,50
LeaderboardDlgChuckItems,20
PhoenixAIShipDirPositiveBonusPct,80
PhoenixAIShipDirNegativePenaltyPct,60
OutpostMaxShipmentDestinations,100
WarpLaneAutoPath,1
WarpLaneAutoAbortMs,100
WarpLaneMaxSearchDepth,4
TimeMachineAffectFxSpeed,1
BondMinPullVector,100!100
GoalRushCostMultiplier,100
FadeLoadingShipments,1
ShipsHealOnAnyObject,1
BackgroundReloadSec,30
AutoWarpLaneMinActivationTimeMin,2
AutoWarpLaneCheckCerberus,1
AutoWarpLaneCheckCerbAdjSectors,0
OldTutorialRemapArray,T0!T0!T1!T2!T3!T3!T3!T3!T3!T3!T3!T4!G2!G2!G2!G2!G2!G2!G2!G3!G3!G3!G3!G3!G4!G4!G4!G5!FN!FN!FN
AppleIAPCV,0
SmoothBarTimeSec,60
NewAutoShipmentSameOutpostWeightFactor,10
BondOverridesBarrier,1
LeapBreaksBond,1
TeleportBreaksBond,1
BondBreaksBond,1
NoKeepAliveDuringLoad,1
BondMaxPullListSize,20
BondWorksOnLoadingTransport,1
SDBonusIsPerAddShipment,1
CValidateRouteES,1
PrivateRSEventClientDisplayMode,2
FollowJumpShipImmediately,0
FreeObjectiveRefreshIntervalHr,72
SeparationMaxZoom,15
SeparationClampSize,45
SeparationMinDistance,8
SeparationMaxDistance,12
SeparationModifier,200
MinMultiSelectDistance,1000
UseSeparationInYS,0
SafeInterceptorInPublicRS,1
NoCerbBondTeleportPRS,1
StoreArtifactBonusYield,20
BomberLaunchOffsetV,50!100
AllShipmentInstaLoadYS,1
BlueStar_CRRewardWinLimit,1
BlueStar_CRRewardWinLimitPeriod,86400
BlueStar_HydroPctPerMatch,10
BlueStar_HydroPctPerPos,100!60!25!10!0
BlueStar_MaxHydroPerDayPct,20
BlueStar_CreditPctPerPos,100!60!30!0!0
BlueStar_RankedMatchesPerDay,3
BlueStar_Fragments,12!8!5!3!0
BlueStar_SPFactor,25
KillShipOn0H,1
BSAI_MinContrDistance,500
BSAI_EndGameSOCount,60
BSAI_MaxMoveWeight,1000000
BSAI_EG_StarPenalty,0
BSAI_EG_KZPenalty,500
STPeriodTicks,1200
MaxRebuildShipDesignsPerType,3
RefreshWeaponFxOnSelect,0
InfluenceDecayPct,3000
InfluenceDecayPeriod,259200
WSScoreDamageModifier,1
WSScoreMiningModifier,5
WSScoreTransportModifier,800
NewsletterURL,http://eepurl.com/cal8yD
FlagshipContribAmounts,10000!100000!1000000!8000000
CRAsteroidMineTicks,1200
TutorialDialogImg,youtube/video1!youtube/video2!youtube/video3!youtube/video5
TutorialDialogURL,https://www.youtube.com/watch?v=UPkk6yKzRnI!https://www.youtube.com/watch?v=Ajdg8jgBXVg!https://www.youtube.com/watch?v=U4zvvJqsaXc!https://www.youtube.com/watch?v=LrY853vumu8
RSPublicLateJoin_MaxTimeAvailable,300 
RSPublicLateJoin_MaxTimeOffTotal,180
RSPublicLateJoin_ClientCacheExpiry,30
RSPublicLateJoin_MinStarLevel,5
BSWaitForRankedMinShipLevel,3
LinkCorporationReward,100
MineralLifetime,172800
MinDarkRSLevel,5
SpeedupTimeFreeSec,60
YSSpeedModifierPct,300
MaxFriends, 25
MaxFriendRequestsPerDay,8
MaxRepeatFriendRequestsPerDay, 2
CustomizePlanetRegularPC,500
CustomizePlanetPremiumPC,2000
CustomizeStarRegularPC,800
CustomizeStarPremiumPC,3000
SP2ResearchTimeDiscountPct,20
SP2PlanetUpgradeTimeDiscountPct,10
AllianceInactivityMailDays,7
SecondResearchSlotPrice,100000
ClonedAsteroidDistances,250!350
MirrorShieldTickPeriod,40
DRSArtifactBonus,60
MaxBlockedPlayers, 20
PermissionExpireDays,7
DronesIgnoreBarrier,1
MaxModuleLevel,15
DiploHydroCapPct,25
MirrorApplyToProjectiles,1
MassMiningRatePct,50
RelayCapCostPct,80
HydroScannerCooldown,86400
StarHarvesterDuration,10
YSMaxGenesis,1
