Name,TID,TID_Description,TID_HINT,TutorialIdx,Weight,GroupId,GoalType,AppearsOnceOnly,TimeLimitDays,TimeLimitHr,TimeLimitMin,ModuleReq,MinRSLevel,MaxRSLevel,MinPlayerLevel,MaxPlayerLevel,MinInfluence,MaxInfluence,GoalTarget,IntParam,StringParam,XPReward,CRRewardPerDay,FuelRewardPerDay,CrystalReward
EG_UpgradePlanet1,TID_OBJECTIVE_UPGRADE_PLANET,TID_OBJECTIVE_UPGRADE_PLANET_DESCR,TID_OBJECTIVE_UPGRADE_PLANET_HINT,,80,20,UpgradePlanetToLevel,,,0,30,,,,,5,,,6,,1!5,20,2000,25,
EG_UpgradePlanet2,TID_OBJECTIVE_UPGRADE_PLANET,TID_OBJECTIVE_UPGRADE_PLANET_DESCR,TID_OBJECTIVE_UPGRADE_PLANET_HINT,,80,20,UpgradePlanetToLevel,,,1,,,,,6,8,,,7,,1!6,40,2500,50,
EG_UpgradePlanet3,TID_OBJECTIVE_UPGRADE_PLANET,TID_OBJECTIVE_UPGRADE_PLANET_DESCR,TID_OBJECTIVE_UPGRADE_PLANET_HINT,,80,20,UpgradePlanetToLevel,,,4,,,,,9,11,,,8,,1!7,80,3000,100,
EG_UpgradePlanet4,TID_OBJECTIVE_UPGRADE_PLANET,TID_OBJECTIVE_UPGRADE_PLANET_DESCR,TID_OBJECTIVE_UPGRADE_PLANET_HINT,,80,20,UpgradePlanetToLevel,,,8,,,,,12,15,,,9,,1!8,140,3500,150,
EG_UpgradeToRS2,TID_OBJECTIVE_UPGRADE_TO_RS,TID_OBJECTIVE_UPGRADE_TO_RS_DESCR,TID_OBJECTIVE_UPGRADE_TO_RS_HINT,,1000,1,UpgradeToRSLevel,,,0,30,,,,,,80,,2,,,80,0,0,20
EG_UpgradeToRS3,TID_OBJECTIVE_UPGRADE_TO_RS,TID_OBJECTIVE_UPGRADE_TO_RS_DESCR,TID_OBJECTIVE_UPGRADE_TO_RS_HINT,,1000,1,UpgradeToRSLevel,,,4,,,,,,,450,,3,,,200,0,0,40
EG_GainInfluence1,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_GAIN_INFLUENCE_DESCR,TID_OBJECTIVE_GAIN_INFLUENCE_HINT,,150,2,GainInfluence,,,0,30,,,,,15,,99,30,,,40,2000,25,
EG_GainInfluence2,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_GAIN_INFLUENCE_DESCR,TID_OBJECTIVE_GAIN_INFLUENCE_HINT,,150,2,GainInfluence,,,,20,,,,,15,100,249,60,,,80,2500,50,
EG_GainInfluence3,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_GAIN_INFLUENCE_DESCR,TID_OBJECTIVE_GAIN_INFLUENCE_HINT,,150,2,GainInfluence,,,,30,,2,,,15,250,399,80,,,150,3000,75,
EG_GainInfluence4,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_GAIN_INFLUENCE_DESCR,TID_OBJECTIVE_GAIN_INFLUENCE_HINT,,150,2,GainInfluence,,,1,,,2,,,15,400,500,120,,,200,3500,100,
EG_GainInfluence5,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_GAIN_INFLUENCE_DESCR,TID_OBJECTIVE_GAIN_INFLUENCE_HINT,,150,2,GainInfluence,,,2,,,2,,,15,501,,150,,,300,4000,150,
EG_JoinCorp,TID_OBJ_JOIN_CORP,TID_OBJ_JOIN_CORP_DESCR,TID_OBJ_JOIN_CORP_HINT,,100,3,JoinCorp,1,,1,,,,,8,30,250,,,,,80,0,0,25
EG_Salvage1,TID_OBJ_SALVAGE_ARTIFACTS,TID_OBJ_SALVAGE_ARTIFACTS_DESCR,TID_OBJ_SALVAGE_HINT,,100,4,SalvageArtifacts,,,1,,,,1,,15,,,3,,1!1,80,1500,100,
EG_Salvage2,TID_OBJ_SALVAGE_ARTIFACTS,TID_OBJ_SALVAGE_ARTIFACTS_DESCR,TID_OBJ_SALVAGE_HINT,,100,4,SalvageArtifacts,,,2,,,2,2,,15,,,5,,2!2,200,4000,300,
EG_Research1,TID_OBJ_RESEARCH_ARTIFACTS,TID_OBJ_RESEARCH_ARTIFACTS_DESCR,TID_OBJ_RESEARCH_HINT,,100,4,ResearchArtifacts,,,4,,,,1,,15,,,2,,1!1,80,2000,100,
EG_Research2,TID_OBJ_RESEARCH_ARTIFACTS,TID_OBJ_RESEARCH_ARTIFACTS_DESCR,TID_OBJ_RESEARCH_HINT,,100,4,ResearchArtifacts,,,8,,,2,2,,15,,,4,,2!2,200,3000,200,
EG_Mine1,TID_OBJ_MINE,TID_OBJ_MINE_DESC,TID_OBJ_MINE_HINT,,,6,MineHydrogen,,,4,,,,,8,11,,,200,5,,80,1500,200,
EG_Mine2,TID_OBJ_MINE,TID_OBJ_MINE_DESC,TID_OBJ_MINE_HINT,,,6,MineHydrogen,,,12,,,,,12,15,,,500,7,,200,2000,400,
EG_UpgradeMiners,TID_OBJ_UPGRADE_MINER,TID_OBJ_UPGRADE_MINER_DESCR,TID_OBJ_UPGRADE_MINER_HINT,,500,7,UpgradeShip,,,4,,,,,8,,,,2,,Miner,300,2500,400,
EG_Shipments1,TID_OBJ_DELIVER_SHIPMENTS,TID_OBJ_DELIVER_SHIPMENTS_DESCR,TID_OBJ_SHIPMENTS_HINT,,,8,Tut_DoShipments,,,1,,,,,5,8,,,40,,,80,2000,250,
EG_Shipments2,TID_OBJ_DELIVER_SHIPMENTS,TID_OBJ_DELIVER_SHIPMENTS_DESCR,TID_OBJ_SHIPMENTS_HINT,,,8,Tut_DoShipments,,,2,,,,,9,15,,,100,,,200,3500,500,
EG_UnlockSector1,TID_OBJ_REVEAL_SECTOR,TID_OBJ_REVEAL_SECTOR_DESCR,TID_OBJ_REVEAL_SECTOR_HINT,,150,9,UnlockSector,,,1,,,,,,7,,,,3,,150,1500,200,
EG_UnlockSector2,TID_OBJ_REVEAL_SECTOR,TID_OBJ_REVEAL_SECTOR_DESCR,TID_OBJ_REVEAL_SECTOR_HINT,,,9,UnlockSector,,,8,,,,,8,,,,,5,,300,2500,350,
EG_DestroyCerberus1,TID_OBJ_CLEAR_CERB_HOME_STAR,TID_OBJ_CLEAR_CERB_HOME_STAR_DESCR,TID_OBJ_CLEAR_CERB_HOME_STAR_HINT,,,10,DestroyCerberusInHomeStar,,,1,,,,,,9,,,,1,,80,1500,200,
EG_DestroyCerberus2,TID_OBJ_CLEAR_CERB_HOME_STAR,TID_OBJ_CLEAR_CERB_HOME_STAR_DESCR,TID_OBJ_CLEAR_CERB_HOME_STAR_HINT,,,10,DestroyCerberusInHomeStar,,,4,,,,,10,15,,,,3,,150,2500,350,
EG_ConstructSecondSRS,TID_CONSTRUCT_SPACE_STATION,TID_OBJ_SECOND_SRS_DESCR,TID_OBJ_SECOND_SRS_HINT,,10007,13,ConstructSecondSRS,,,24,,,,,10,30,,,,,,150,5000,250,
EG_BuildTimeModulator,TID_CONSTRUCT_SPACE_STATION,TID_OBJ_BUILD_TIME_MODULATOR_DESCR,TID_OBJ_BUILD_TIME_MODULATOR_HINT,,10008,14,ConstructTimeModulator,,,2,,,,,8,,,,,,,300,,,20
SalvageArtifacts,TID_OBJ_SALVAGE_ARTIFACTS,TID_OBJ_SALVAGE_ARTIFACTS_DESCR,,,50,1000,SalvageArtifacts,,1,,,,3,4,12,,,,2,,2!2,,5000,500,
,,,,,,,,,1,,,,3,5,,,,,4,,2!2,,7500,800,
,,,,,,,,,1,,,,4,6,,,,,6,,3!3,,10000,1200,
,,,,,,,,,1,,,,4,6,,,,,8,,3!3,,12500,1600,
,,,,,,,,,1,,,,4,6,,,,,10,,4!4,,15000,2000,
,,,,,,,,,1,,,,5,7,,,,,12,,4!4,,20000,2500,
,,,,,,,,,1,,,,5,7,,,,,14,,4!4,,25000,3000,
,,,,,,,,,1,,,,5,,,,,,16,,4!4,,30000,3500,
,,,,,,,,,2,,,,5,,,,,,24,,5!5,,35000,4000,
,,,,,,,,,2,,,,6,,,,,,24,,6!6,,40000,5000,
,,,,,,,,,2,,,,6,,,,,,28,,6!6,,45000,6000,
,,,,,,,,,2,,,,7,,,,,,24,,7!7,,50000,7000,
,,,,,,,,,2,,,,7,,,,,,20,,7!7,,55000,8000,
,,,,,,,,,3,,,,7,,,,,,36,,7!7,,60000,9000,
,,,,,,,,,3,,,,8,,,,,,32,,8!8,,65000,10000,
,,,,,,,,,3,,,,8,,,,,,34,,8!8,,70000,11000,
,,,,,,,,,3,,,,8,,,,,,36,,8!8,,75000,12000,
,,,,,,,,,3,,,,8,,,,,,38,,8!8,,80000,13000,
,,,,,,,,,3,,,,8,,,,,,40,,8!8,,85000,14000,
,,,,,,,,,3,,,,8,,,,,,42,,8!8,,90000,15000,
DestroySentinels,TID_OBJ_DESTROY_CERBERUS,TID_OBJ_DESTROY_CERBERUS_DESCR,,,100,2000,DestroyCerberusShips,,1,,,,,2,12,,,,4,,CerberusSentinel,,5000,500,
,,,,,,,,,1,,,,,3,,,,,7,,,,7500,800,
,,,,,,,,,1,,,,,,,,,,10,,,,10000,1200,
,,,,,,,,,1,,,,,,,,,,14,,,,12500,1600,
,,,,,,,,,1,,,,,,,,,,18,,,,15000,2000,
,,,,,,,,,1,,,,,,,,,,22,,,,20000,2500,
,,,,,,,,,1,,,,,,,,,,26,,,,25000,3000,
,,,,,,,,,2,,,,,,,,,,30,,,,30000,3500,
,,,,,,,,,2,,,,,,,,,,35,,,,35000,4000,
,,,,,,,,,2,,,,,,,,,,40,,,,40000,5000,
,,,,,,,,,2,,,,,,,,,,45,,,,45000,6000,
,,,,,,,,,2,,,,,,,,,,50,,,,50000,7000,
,,,,,,,,,2,,,,,,,,,,55,,,,55000,8000,
,,,,,,,,,2,,,,,,,,,,60,,,,60000,9000,
,,,,,,,,,3,,,,,,,,,,65,,,,65000,10000,
,,,,,,,,,3,,,,,,,,,,70,,,,70000,11000,
,,,,,,,,,3,,,,,,,,,,75,,,,75000,12000,
,,,,,,,,,3,,,,,,,,,,80,,,,80000,13000,
,,,,,,,,,3,,,,,,,,,,85,,,,85000,14000,
,,,,,,,,,3,,,,,,,,,,90,,,,90000,15000,
DestroyGuardians,TID_OBJ_DESTROY_CERBERUS,TID_OBJ_DESTROY_CERBERUS_DESCR,,,100,2000,DestroyCerberusShips,,1,,,,2,2,12,,,,2,,CerberusGuardian,,5000,500,
,,,,,,,,,1,,,,2,3,,,,,4,,,,7500,800,
,,,,,,,,,1,,,,2,,,,,,6,,,,10000,1200,
,,,,,,,,,1,,,,2,,,,,,8,,,,12500,1600,
,,,,,,,,,1,,,,2,,,,,,10,,,,15000,2000,
,,,,,,,,,1,,,,2,,,,,,13,,,,20000,2500,
,,,,,,,,,1,,,,2,,,,,,16,,,,25000,3000,
,,,,,,,,,2,,,,2,,,,,,19,,,,30000,3500,
,,,,,,,,,2,,,,2,,,,,,22,,,,35000,4000,
,,,,,,,,,2,,,,2,,,,,,25,,,,40000,5000,
,,,,,,,,,2,,,,2,,,,,,28,,,,45000,6000,
,,,,,,,,,2,,,,2,,,,,,31,,,,50000,7000,
,,,,,,,,,2,,,,2,,,,,,34,,,,55000,8000,
,,,,,,,,,2,,,,2,,,,,,37,,,,60000,9000,
,,,,,,,,,3,,,,2,,,,,,40,,,,65000,10000,
,,,,,,,,,3,,,,2,,,,,,43,,,,70000,11000,
,,,,,,,,,3,,,,2,,,,,,46,,,,75000,12000,
,,,,,,,,,3,,,,2,,,,,,49,,,,80000,13000,
,,,,,,,,,3,,,,2,,,,,,52,,,,85000,14000,
,,,,,,,,,3,,,,2,,,,,,55,,,,90000,15000,
DestroyColossus,TID_OBJ_DESTROY_CERBERUS,TID_OBJ_DESTROY_CERBERUS_DESCR,,,100,2000,DestroyCerberusShips,,1,,,,5,5,12,,,,1,,CerberusColossus,,5000,500,
,,,,,,,,,1,,,,5,6,,,,,2,,,,7500,800,
,,,,,,,,,1,,,,5,7,,,,,3,,,,10000,1200,
,,,,,,,,,1,,,,5,,,,,,4,,,,12500,1600,
,,,,,,,,,1,,,,5,,,,,,5,,,,15000,2000,
,,,,,,,,,1,,,,5,,,,,,6,,,,20000,2500,
,,,,,,,,,1,,,,5,,,,,,7,,,,25000,3000,
,,,,,,,,,2,,,,5,,,,,,8,,,,30000,3500,
,,,,,,,,,2,,,,5,,,,,,9,,,,35000,4000,
,,,,,,,,,2,,,,5,,,,,,10,,,,40000,5000,
,,,,,,,,,2,,,,5,,,,,,11,,,,45000,6000,
,,,,,,,,,2,,,,5,,,,,,12,,,,50000,7000,
,,,,,,,,,2,,,,5,,,,,,13,,,,55000,8000,
,,,,,,,,,2,,,,5,,,,,,14,,,,60000,9000,
,,,,,,,,,3,,,,5,,,,,,16,,,,65000,10000,
,,,,,,,,,3,,,,5,,,,,,18,,,,70000,11000,
,,,,,,,,,3,,,,5,,,,,,20,,,,75000,12000,
,,,,,,,,,3,,,,5,,,,,,22,,,,80000,13000,
,,,,,,,,,3,,,,5,,,,,,24,,,,85000,14000,
,,,,,,,,,3,,,,5,,,,,,26,,,,90000,15000,
DestroyInterceptor,TID_OBJ_DESTROY_CERBERUS,TID_OBJ_DESTROY_CERBERUS_DESCR,,,100,2000,DestroyCerberusShips,,1,,,,4,5,12,,,,1,,CerberusInterceptor,,5000,500,
,,,,,,,,,1,,,,4,6,,,,,2,,,,7500,800,
,,,,,,,,,1,,,,4,7,,,,,3,,,,10000,1200,
,,,,,,,,,1,,,,4,,,,,,5,,,,12500,1600,
,,,,,,,,,1,,,,4,,,,,,7,,,,15000,2000,
,,,,,,,,,1,,,,4,,,,,,9,,,,20000,2500,
,,,,,,,,,1,,,,4,,,,,,12,,,,25000,3000,
,,,,,,,,,2,,,,4,,,,,,15,,,,30000,3500,
,,,,,,,,,2,,,,4,,,,,,18,,,,35000,4000,
,,,,,,,,,2,,,,4,,,,,,21,,,,40000,5000,
,,,,,,,,,2,,,,4,,,,,,24,,,,45000,6000,
,,,,,,,,,2,,,,4,,,,,,27,,,,50000,7000,
,,,,,,,,,2,,,,4,,,,,,30,,,,55000,8000,
,,,,,,,,,2,,,,4,,,,,,33,,,,60000,9000,
,,,,,,,,,3,,,,4,,,,,,36,,,,65000,10000,
,,,,,,,,,3,,,,4,,,,,,39,,,,70000,11000,
,,,,,,,,,3,,,,4,,,,,,42,,,,75000,12000,
,,,,,,,,,3,,,,4,,,,,,45,,,,80000,13000,
,,,,,,,,,3,,,,4,,,,,,48,,,,85000,14000,
,,,,,,,,,3,,,,4,,,,,,51,,,,90000,15000,
DestroyPhoenix,TID_OBJ_DESTROY_CERBERUS,TID_OBJ_DESTROY_CERBERUS_DESCR,,,100,2000,DestroyCerberusShips,,1,,,,8,8,12,,,,1,,CerberusPhoenix,,30000,5000,
,,,,,,,,,1,,,,8,8,,,,,2,,,,35000,6000,
,,,,,,,,,1,,,,8,8,,,,,3,,,,40000,7000,
,,,,,,,,,1,,,,8,8,,,,,4,,,,45000,8000,
,,,,,,,,,1,,,,8,,,,,,5,,,,50000,9000,
,,,,,,,,,1,,,,8,,,,,,6,,,,55000,10000,
,,,,,,,,,1,,,,8,,,,,,7,,,,60000,11000,
,,,,,,,,,2,,,,8,,,,,,8,,,,65000,12000,
,,,,,,,,,2,,,,8,,,,,,9,,,,70000,13000,
,,,,,,,,,2,,,,8,,,,,,10,,,,80000,14000,
,,,,,,,,,2,,,,8,,,,,,11,,,,90000,16000,
,,,,,,,,,2,,,,8,,,,,,12,,,,100000,18000,
,,,,,,,,,2,,,,8,,,,,,13,,,,110000,20000,
ReachInfluence,TID_OBJECTIVE_GAIN_INFLUENCE,TID_OBJECTIVE_REACH_INFLUENCE_DESCR,,,100,100000,ReachInfluence,,1,,,,3,,12,,,750,800,,,,5000,500,
,,,,,,,,,1,,,,4,,,,1600,2400,2500,,,,10000,1000,
,,,,,,,,,2,,,,5,,,,3000,4400,4500,,,,20000,2000,
,,,,,,,,,2,,,,6,,,,7500,8900,9000,,,,30000,3500,
,,,,,,,,,2,,,,7,,,,9500,10900,11000,,,,40000,5000,
,,,,,,,,,3,,,,7,,,,11000,12900,13000,,,,50000,8000,
,,,,,,,,,3,,,,7,,,,13000,14900,15000,,,,60000,10000,
,,,,,,,,,3,,,,8,,,,15000,16900,17000,,,,70000,12500,
,,,,,,,,,4,,,,8,,,,18000,19900,20000,,,,80000,15000,
,,,,,,,,,4,,,,8,,,,21000,22900,23000,,,,100000,17500,
,,,,,,,,,5,,,,9,,,,23000,24900,25000,,,,120000,20000,
,,,,,,,,,5,,,,9,,,,25000,26900,27000,,,,150000,22500,
MineHydrogenInRS,TID_OBJ_MINE_RS,TID_OBJ_MINE_RS_DESC,,,100,3000,MineHydrogenInRS,,1,,,,3,4,12,,,,150,,,,5000,500,
,,,,,,,,,1,,,,,5,,,,,300,,,,7500,800,
,,,,,,,,,1,,,,,6,,,,,600,,,,10000,1200,
,,,,,,,,,1,,,,,7,,,,,1500,,,,12500,1600,
,,,,,,,,,1,,,,,8,,,,,3000,,,,15000,2000,
,,,,,,,,,1,,,,,9,,,,,4500,,,,20000,2500,
,,,,,,,,,1,,,,,,,,,,6000,,,,25000,3000,
,,,,,,,,,1,,,,,,,,,,7500,,,,30000,3500,
,,,,,,,,,1,,,,,,,,,,9000,,,,35000,4000,
,,,,,,,,,1,,,,,,,,,,12000,,,,40000,5000,
,,,,,,,,,1,,,,,,,,,,15000,,,,45000,6000,
,,,,,,,,,1,,,,,,,,,,18000,,,,50000,7000,
,,,,,,,,,1,,,,,,,,,,21000,,,,55000,8000,
,,,,,,,,,1,,,,,,,,,,24000,,,,60000,9000,
,,,,,,,,,1,,,,,,,,,,30000,,,,65000,10000,
,,,,,,,,,1,,,,,,,,,,36000,,,,70000,11000,
,,,,,,,,,1,,,,,,,,,,42000,,,,75000,12000,
,,,,,,,,,1,,,,,,,,,,48000,,,,80000,13000,
,,,,,,,,,1,,,,,,,,,,54000,,,,85000,14000,
,,,,,,,,,1,,,,,,,,,,60000,,,,90000,15000,
UploadHydroRS,TID_USE_MINING_MODULE,TID_UPLOAD_HYDRO_RS,,,100,3000,UploadHydrogenFromRS,,1,,,26,,4,12,,,,100,,,,5000,500,
,,,,,,,,,1,,,,,5,,,,,200,,,,7500,800,
,,,,,,,,,1,,,,,6,,,,,400,,,,10000,1200,
,,,,,,,,,1,,,,,,,,,,1000,,,,12500,1600,
,,,,,,,,,1,,,,,,,,,,2000,,,,15000,2000,
,,,,,,,,,1,,,,,,,,,,3000,,,,20000,2500,
,,,,,,,,,1,,,,,,,,,,4000,,,,25000,3000,
,,,,,,,,,1,,,,,,,,,,5000,,,,30000,3500,
,,,,,,,,,1,,,,,,,,,,6000,,,,35000,4000,
,,,,,,,,,1,,,,,,,,,,8000,,,,40000,5000,
,,,,,,,,,1,,,,,,,,,,10000,,,,45000,6000,
,,,,,,,,,1,,,,,,,,,,12000,,,,50000,7000,
,,,,,,,,,1,,,,,,,,,,14000,,,,55000,8000,
,,,,,,,,,1,,,,,,,,,,16000,,,,60000,9000,
,,,,,,,,,1,,,,,,,,,,20000,,,,65000,10000,
,,,,,,,,,1,,,,,,,,,,24000,,,,70000,11000,
,,,,,,,,,1,,,,,,,,,,28000,,,,75000,12000,
,,,,,,,,,1,,,,,,,,,,32000,,,,80000,13000,
,,,,,,,,,1,,,,,,,,,,36000,,,,85000,14000,
,,,,,,,,,1,,,,,,,,,,40000,,,,90000,15000,
EMPPEnemyShips,TID_USE_SUPPORT_MODULE,TID_USE_EMP,,,100,12000,EMPPEnemyShips,,1,,,4,,4,8,,,,4,,,,5000,500,
,,,,,,,,,1,,,,,5,,,,,8,,,,7500,800,
,,,,,,,,,1,,,,,6,,,,,12,,,,10000,1200,
,,,,,,,,,1,,,,,,,,,,16,,,,12500,1600,
,,,,,,,,,1,,,,,,,,,,20,,,,15000,2000,
,,,,,,,,,1,,,,,,,,,,25,,,,20000,2500,
,,,,,,,,,1,,,,,,,,,,30,,,,25000,3000,
,,,,,,,,,1,,,,,,,,,,35,,,,30000,3500,
,,,,,,,,,1,,,,,,,,,,40,,,,35000,4000,
,,,,,,,,,1,,,,,,,,,,45,,,,40000,5000,
,,,,,,,,,1,,,,,,,,,,50,,,,45000,6000,
,,,,,,,,,1,,,,,,,,,,60,,,,50000,7000,
,,,,,,,,,1,,,,,,,,,,70,,,,55000,8000,
,,,,,,,,,1,,,,,,,,,,80,,,,60000,9000,
,,,,,,,,,1,,,,,,,,,,90,,,,65000,10000,
,,,,,,,,,1,,,,,,,,,,100,,,,70000,11000,
,,,,,,,,,1,,,,,,,,,,120,,,,75000,12000,
,,,,,,,,,1,,,,,,,,,,140,,,,80000,13000,
,,,,,,,,,1,,,,,,,,,,160,,,,85000,14000,
,,,,,,,,,1,,,,,,,,,,180,,,,90000,15000,
RepairOtherPlayerShips,TID_USE_SUPPORT_MODULE,TID_USE_REPAIR,,,80,11000,RepairOtherPlayerShips,,1,,,5,,4,8,,,,2000,,,,5000,500,
,,,,,,,,,1,,,,,5,,,,,4000,,,,7500,800,
,,,,,,,,,1,,,,,6,,,,,8000,,,,10000,1200,
,,,,,,,,,1,,,,,,,,,,12000,,,,12500,1600,
,,,,,,,,,1,,,,,,,,,,16000,,,,15000,2000,
,,,,,,,,,1,,,,,,,,,,20000,,,,20000,2500,
,,,,,,,,,1,,,,,,,,,,30000,,,,25000,3000,
,,,,,,,,,1,,,,,,,,,,35000,,,,30000,3500,
,,,,,,,,,1,,,,,,,,,,40000,,,,35000,4000,
,,,,,,,,,1,,,,,,,,,,45000,,,,40000,5000,
,,,,,,,,,1,,,,,,,,,,50000,,,,45000,6000,
,,,,,,,,,1,,,,,,,,,,55000,,,,50000,7000,
,,,,,,,,,1,,,,,,,,,,60000,,,,55000,8000,
,,,,,,,,,1,,,,,,,,,,65000,,,,60000,9000,
,,,,,,,,,1,,,,,,,,,,70000,,,,65000,10000,
,,,,,,,,,1,,,,,,,,,,75000,,,,70000,11000,
,,,,,,,,,1,,,,,,,,,,80000,,,,75000,12000,
,,,,,,,,,1,,,,,,,,,,85000,,,,80000,13000,
,,,,,,,,,1,,,,,,,,,,90000,,,,85000,14000,
,,,,,,,,,1,,,,,,,,,,100000,,,,90000,15000,
UseAlphaRocket,TID_USE_SUPPORT_MODULE,TID_USE_ALPHA_ROCKET,,,100,11000,UseAlphaRocket,,1,,,41,,4,8,,,,5000,,,,15000,2000,
,,,,,,,,,1,,,,,5,,,,,8000,,,,20000,2500,
,,,,,,,,,1,,,,,6,,,,,12000,,,,25000,3000,
,,,,,,,,,1,,,,,,,,,,17000,,,,30000,3500,
,,,,,,,,,1,,,,,,,,,,22000,,,,35000,4000,
,,,,,,,,,1,,,,,,,,,,28000,,,,40000,4500,
,,,,,,,,,1,,,,,,,,,,34000,,,,45000,5000,
,,,,,,,,,1,,,,,,,,,,40000,,,,50000,5500,
,,,,,,,,,1,,,,,,,,,,46000,,,,55000,6000,
,,,,,,,,,1,,,,,,,,,,52000,,,,60000,7000,
,,,,,,,,,1,,,,,,,,,,60000,,,,65000,8000,
,,,,,,,,,1,,,,,,,,,,70000,,,,70000,10000,
,,,,,,,,,1,,,,,,,,,,80000,,,,75000,12000,
,,,,,,,,,1,,,,,,,,,,90000,,,,80000,14000,
,,,,,,,,,1,,,,,,,,,,100000,,,,85000,16000,
,,,,,,,,,1,,,,,,,,,,110000,,,,90000,20000,
,,,,,,,,,1,,,,,,,,,,120000,,,,95000,25000,
,,,,,,,,,1,,,,,,,,,,130000,,,,100000,30000,
,,,,,,,,,1,,,,,,,,,,140000,,,,105000,35000,
,,,,,,,,,1,,,,,,,,,,150000,,,,110000,40000,
EntrustArtifacts,TID_USE_SUPPORT_MODULE,TID_USE_ENTRUST,,,50,11000,EntrustInRS,,1,,,45,5,5,8,,,,2,5,,,20000,1000,
,,,,,,,,,1,,,,5,6,,,,,4,5,,,30000,2000,
,,,,,,,,,1,,,,6,,,,,,4,6,,,40000,3000,
,,,,,,,,,1,,,,6,,,,,,6,6,,,50000,4000,
,,,,,,,,,1,,,,7,,,,,,6,7,,,60000,5000,
,,,,,,,,,1,,,,7,,,,,,7,7,,,70000,6000,
,,,,,,,,,1,,,,7,,,,,,8,7,,,80000,8000,
,,,,,,,,,1,,,,8,,,,,,6,8,,,90000,12000,
,,,,,,,,,1,,,,8,,,,,,8,8,,,100000,16000,
,,,,,,,,,1,,,,9,,,,,,4,9,,,110000,20000,
UseDestinyNoSanct,TID_USE_SUPPORT_MODULE,TID_USE_DESTINY_NO_SANCT,,,100,12000,UseDestinyNoSanct,,1,,,23,5,5,8,,,,1,5,,,26000,2000,
,,,,,,,,,1,,,,5,5,,,,,2,5,,,30000,3000,
,,,,,,,,,1,,,,5,6,,,,,3,5,,,34000,4000,
,,,,,,,,,1,,,,5,6,,,,,4,5,,,38000,5000,
,,,,,,,,,1,,,,5,6,,,,,5,5,,,42000,6000,
,,,,,,,,,1,,,,5,7,,,,,6,5,,,46000,7000,
,,,,,,,,,1,,,,6,7,,,,,2,6,,,50000,8000,
,,,,,,,,,1,,,,6,7,,,,,3,6,,,55000,9000,
