"TID_INTRO_MESSAGE_TITLE","WELCOME TO HADES' STAR"
"TID_CMD_FAILED_TUTORIAL","This action is not available at this phase of the tutorial"
"TID_MSG_CANNOT_JUMP_SHIP","Jump Failed"
"TID_SHARE_MESSAGE_LABEL","MESSAGE"
"TID_SHARE_BUTTON_SUBMIT","SUBMIT"
"TID_SHARE_BUTTON_CANCEL","CANCEL"
"TID_SHARE_VIEW_DEFAULT_MSG","Check this out!"
"TID_SHARE_VIEW_DESCR","Select a view in this star system to share with your Corporation"
"TID_BACK_BUTTON","Back"
"TID_FINISH_REPAIR_CONFIRM","Finish repairing this ship now?"
"TID_PLAYER_JOIN_RED_STAR","{0} has joined this Red Star"
"TID_MAINTENANCE_MESSAGE","We apologize for the recent server outage. We have added {0} Crystals to your account as compensation. Thank you for your patience!\n\n- Hades' Star team"
"TID_FEATURE_DISABLED","This feature is temporarily disabled"
"TID_PERSONAL_DATA_PREF","Manage Personal Data"
"TID_KEYBOARD_SHORTCUT","Hotkey: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","You must expand further into your star system before you can build this station"
"TID_CMD_FAILED_GENERIC","Command Failed"
"TID_CMD_FAILED_PLAYER","Player Command Failed"
"TID_CMD_FAILED_SS","Star System Command Failed"
"TID_CMD_FAILED_RESOURCE_LIMIT","Insufficient Storage. Upgrade your planets to increase storage."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Server busy. Please try again in a few moments."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","You are trying to jump more Battleships than this Red Star can support"
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Cannot use this jump gate"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Not enough capacity to load this shipment"
"TID_NOT_ENOUGH_CRYSTALS","Not enough Crystals"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Cannot send ships outside your visibility range"
"TID_CMD_ROUTE_EMPTY_SECTOR","Cannot travel through unexplored space"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Cannot move this far into this star system"
"TID_CMD_CANT_UPGRADE_PLANET","This planet cannot be upgraded any further"
"TIC_CMD_ALREADY_UPGRADING_PLANET","Planet is already under upgrade"
"TID_CMD_BUILDING_LIMIT_REACHED","You cannot build any more of this Station type"
"TID_SCANNER_REQUIRED","You need a free Short Range Scanner in an adjacent sector"
"TID_SCANNER_ALREADY_BUSY","Your Short Range Scanner is already busy scanning another sector"
"TID_MODULE_ON_COOLDOWN","You need to wait for the module to cool down before you can use it again"
"TID_MODULE_ALREADY_ACTIVATED","This module is already active"
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","This module is passive and cannot be activated"
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","You must wait until construction of the Hub is complete"
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Both Hubs must be inactive for a new link to be established"
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","You must construct at least two Hubs before you can link them"
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","Cannot drop artifacts on other player's outposts"
"TID_CANNOT_EDIT_MODULES_ON_STAR","You cannot change a ship's modules away from your home star"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Only the planet's owner can use this shipment"
"TID_CMD_LEAP_NO_TARGET","Cannot find valid teleport location"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","This outpost cannot hold any more shipments"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","You cannot move directly to a star"
"TID_CMD_FAIL_CANTMOVE_BOND","Cannot move while under the influence of BOND"
"TID_ASTEROID_SPAWN_LIMIT","This sector cannot support more asteroid fields"
"TID_ENTRUST_NO_CARGO","Cannot use this module. The owner ship is not carrying any cargo."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","The target ship does not have capacity to receive any cargo"
"TID_ENTRUST_SHIPMENT_LOADING","Cannot use Entrust while cargo is loading"
"TID_GENESIS_INVALID_SECTOR","Cannot use Genesis on the Star sector"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Cannot use this module on a White Star Jump Gate sector"
"TID_CAN_USE_MODULE_ON_STAR","Cannot use this module on this star type"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","You can only use this module on public Red Star level {0} and higher"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","This module cannot be activated unless there are enemy ships in the sector"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","This module cannot be activated unless there are enemy ships in range"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Cannot activate, no valid teleport target found"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Cannot activate Shield while Vengeance is active"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","This module requires more Hydrogen collected on your Miner ship before it can be activated."
"TID_SYSTEM_IS_PRIVATE","This star system is private and cannot be visited at the moment"
"TID_FLAGHIP_NON_OFFICER","Only Officers can give orders to the Corporation Flagship."
"TID_FLAGSHIP_IN_ANOTHER_STAR","The Flagship is currently in another Star."
"TID_FLAGSHIP_IN_CURRENT_STAR","The Flagship is already in this Star."
"TID_FLAGSHIP_IN_COOLDOWN","The Flagship is currently on cooldown."
"TID_TUT_SECTION_REWARDS_LABEL","REWARDS"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUCT A SHIPYARD"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Shipyards allow you to create new ships."
"TID_TUT_SELECT_SHIPYARD","• Select your shipyard"
"TID_TUT_SELECT_PLANET","• Select your planet"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Your Empire has discovered a new Star System"
"TID_TUT_COLONIZE_FIRST_PLANET","ESTABLISH YOUR FIRST COLONY"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Your Empire grows by colonizing more planets.\n\nPlanets provide income via shipments, and allow you to build space stations."
"TID_TUT_CONSTRUCT_SHIP","CREATE A MINER SHIP"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Transport ships are vital to growing your economy. It's a good idea to keep at least one transport ship around each planet you have colonized. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Miner ships are vital for building infrastructure around your planets."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUCT A {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Trading Stations provide you with additional shipments that can be delivered to your planets for profit."
"TID_TUT_UPGRADE_PLANET","UPGRADE YOUR PLANET"
"TID_TUT_UPGRADE_PLANET_DESCR","Upgrading your planets improves shipment quality and increases the maximum amount of resources you can store"
"TID_TUT_KEEP_DOING_STUFF","KEEP DELIVERING SHIPMENTS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Use your Transport ships to deliver shipments between the planet and its moons.\n\nDelivering shipments helps you earn resources and experience."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONIZE A SECOND PLANET"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","Expanding to new planets is vital for growing your Empire.\n\nBefore you can colonize a planet, you have to move at least one of your ships to the surface. The more planets you have colonized, the more expensive colonizing the next one becomes."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONIZE THE NEW PLANET"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Colonized planets can also be used to repair your ships. Colonize the planet near your damaged Battleship to start the process."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Click on the {0} button"
"TID_TUT_PLACE_BUILDING_PROMPT","• Select position for your {0}"
"TID_TUT_SELECT_PRODUCTION","• Select BUILD"
"TID_TUT_SELECT_MINER_SHIP","• Select your Miner ship"
"TID_TUT_SELECT_SHIPMENTS","• Select SHIPMENTS"
"TID_TUT_SELECT_LOAD_SHIPMENT","• Click on a Shipment to load it"
"TID_TUT_CLOSE_SHIPMENTS","• Close the Shipments window"
"TID_TUT_CLOSE_PRODUCTION","• Close the Production window"
"TID_TUT_CLOSE_MISSION_WINDOW","• Close the window"
"TID_TUT_SELECT_MOVE","• Select MOVE"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Use the MOVE button or Right-click on the glowing shipment destination"
"TID_TUT_SELECT_PROFILE","• Open your Empire Window"
"TID_TUT_SELECT_OBJECTIVES_TAB","• Select OBJECTIVES"
"TID_TUT_SELECT_DESTINATION","• Select the shipment's glowing destination"
"TID_TUT_SELECT_DEPART_NOW","• Select DEPART"
"TID_TUT_SELECT_DEPART_NOW_PC","• Click DEPART or Right-click on the destination"
"TID_TUT_SELECT_CANCEL_DEPART","• Select CANCEL"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Use the Move command or drag your ship to the planet to pick up more shipments"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Click the MOVE button or Right-click on the planet to pick up more shipments"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Use the Move command or drag your ship to the moon to pick up more shipments"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Click the MOVE button or Right-click on the moon to pick up more shipments"
"TID_TUT_SELECT_BUILD_BUTTON","• Select {0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Finish production now"
"TID_TUT_SELECT_SECOND_PLANET","• Select the second planet"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Use the Move command or drag your ship to the new planet"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Click the MOVE button or Right-click on the new planet"
"TID_TUT_SELECT_TRANSPORT_SHIP","• Select your Transport Ship"
"TID_TUT_SELECT_NEW_BUILDING","• Select the Station"
"TIT_TUT_SELECT_MODULES","• Select MODULES"
"TID_TUT_CLOSE_MODULES_DLG","• Close the Modules window"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Close the window"
"TID_TUT_SELECT_TRANSPORT_MODULE","• Select CARGO BAY EXTENSION"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Select the empty slot"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Select INSTALL NEW MODULE"
"TID_TUT_SELECT_COLONIZE","• Select Colonize"
"TID_TUT_CLAIM_ACHIEVEMENT","Claim the Shipments achievement"
"TID_TUT_MINING_TITLE","START MINING"
"TID_TUT_MINING_DESCR","Asteroid fields contain valuable Hydrogen. You should always ensure your Empire has at least a few Miner ships that are busy mining around the clock."
"TID_TUT_MOVE_TO_ASTEROID","• Select an Asteroid field"
"TID_TUT_MINER_INFO","Miner ships collect Hydrogen from asteroid fields. They will keep collecting from the same asteroid field until it is depleted."
"TID_TUT_CREATE_SECOND_TRANSPORT","CREATE A SECOND TRANSPORT SHIP"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Transport ships are vital to growing your economy. It's a good idea to keep at least one transport ship around each planet you have colonized. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","The Short Range Scanner station allows you to explore nearby sectors, allowing you to see and travel deeper in this star system."
"TID_TUT_REVEAL_SECTOR","EXPLORE A NEW SECTOR"
"TID_TUT_REVEAL_SECTOR_INFO","Construct a Short Range Scanner and use it to find and colonize a third planet."
"TID_TUT_SELECT_NEARBY_SECTOR","• Select a nearby Sector"
"TID_TUT_SELECT_SCOUT_SECTOR","• Select your scanned sector"
"TID_SELECT_EXPLORE","• Select REVEAL"
"TID_SELECT_EXPLORATION_SPEEDUP","• Finish the Scan now"
"TID_TUT_DEFEAT_CERBERUS","DEFEAT THE CERBERUS SENTINEL"
"TID_TUT_DEFEAT_CERBERUS_INFO","Mysterious Cerberus ships appear throughout the Hades Galaxy. Fight back against them using Battleships."
"TID_TUT_CREATE_BATTLESHIP","CREATE A BATTLESHIP"
"TID_TUT_CREATE_BATTLESHIP_INFO","Battleships are crucial for maintaining the security of your other ships, and pushing back against Cerberus forces."
"TID_TUT_SELECT_BATTLESHIP","• Select your Battleship"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Use the Move command or drag your Battleship near the Cerberus Sentinel"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Click the MOVE button or Right-click to move your Battleship near the Cerberus Sentinel"
"TID_TUT_REDSTARSCANNER_INFO","The Red Star Scanner allows you to find and travel to new stars"
"TID_TUT_JUMP_TRANSPORT","JUMP YOUR TRANSPORT SHIP TO THE RED STAR"
"TID_TUT_JUMP_TRANSPORT_INFO","You can move ships between star systems by using Jumpgates."
"TID_TUT_SEARCH_FOR_MISSION","SCAN FOR A RED STAR"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Use your Red Star Scanner to discover a new star system."
"TID_TUT_SELECT_MISSION_BUILDING","• Select your Red Star Scanner"
"TID_TUT_SELECT_SCANNER_BUTTON","• Select SCAN"
"TID_TUT_SELECT_MISSION_SEARCH","Select START SCANNING"
"TID_TUT_CONFIRM_JUMP","• Confirm the Jump"
"TID_TUT_SELECT_JUMP","• Select JUMP"
"TID_TUT_MOVE_TO_STARGATE","• Select the Move command or drag your ship to the Red Star Scanner"
"TID_TUT_MOVE_TO_STARGATE_PC","• Click the MOVE button or Right-click to move your ship to the Red Star Scanner"
"TID_TUT_BRING_ARTIFACT","BRING BACK AN ARTIFACT FROM THE RED STAR"
"TID_TUT_BRING_ARTIFACT_INFO","Planets near Red Stars are rich in Artifacts. Bring back an Artifact so you can start researching it."
"TID_TUT_VIEW_MISSION_STAR","• Select GO TO STAR"
"TID_TUT_MOVE_BACK_TO_STARGATE","• Move your ship back to the Jump Gate"
"TID_TUT_MOVE_TO_PLANET","• Move your Transport ship to the planet"
"TID_TUT_SELECT_LOAD_ARTIFACT","• Click on the Artifact to start loading it"
"TID_TUT_RESEARCH_STATION_INFO","A research station allows you to study Artifacts. Construct one in your star system now."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Move your Transport ship to the Research Station"
"TID_TUT_SELECT_RESEARCH_STATION","• Select your Research Station"
"TID_TUT_SELECT_RESEARCH_BUTTON","Select Research"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Select the Artifact"
"TID_TAP_ON_START_RESEARCH","• Select START RESEARCH"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Select FINISH NOW"
"TID_COLLECT_ARTIFACT_REWARD","• Select VIEW RESULTS"
"TID_TUT_SELECT_UPGRADE","• Select UPGRADE"
"TID_TUT_DO_UPGRADE","• Confirm the upgrade"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Finish the upgrade now"
"TID_TUT_HINT_MOVEMENT","Once a ship has departed, you cannot change its course and must wait until it reaches its destination."
"TID_TUT_HINT_RS_SUPERNOVA","Red Stars will go supernova shortly after being discovered. Make sure your ships have returned to the Jump Gate before the timer runs out."
"TID_TUT_HINT_MINING","Your Miner ship will keep mining until all asteroid fields on its hex sector are depleted, or until your Hydrogen capacity is full."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Once construction completes, the Short Range scanner will allow you to start exploring new sectors in this star system."
"TID_TUT_RED_STAR_SCANNER","Once the Red Star Scanner detects a new star, it will act as a Stargate, allowing docked ships to jump to the new system."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Finish construction now"
"TID_TUT_HINT_COMBAT","Combat ships have an attack range you can see by selecting them. They will automatically attack enemy ships that enter that range."
"TID_TUT_HINT_HYDRO","Moving a ship costs Hydrogen. Keep an eye on your total Hydrogen supply, and ensure you constantly have Miners collecting new Hydrogen from Asteroid fields."
"TID_TUT_HINT_KEEPSHIPPING","You can keep delivering shipments to earn income while your Battleship is travelling."
"TID_TUT_HINT_REPAIR","Any damaged ship will slowly repair when docked on a colonized planet, moon or station."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Planets in Red Stars have Artifacts that can be researched. Unlike regular shipments, Artifacts take time to load onto your Transport ships."
"TID_TUT_HINT_RESEARCH_STATION","The Research station can store, research or salvage any Artifacts you retrieve."
"TID_TUT_RETURN_HOME","• Return to your Home Star"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","NOTIFICATIONS"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star can send notifications to your device for important events, such as when your Miner ship needs new orders.\n\nIf you choose not to allow such notifications, you can enable them later in your device's settings."
"TID_TUT_SHIPYARD_HINT","The shipyard allows you to create additional ships. It can be upgraded to increase your total fleet capacity."
"TID_TUT_UPGRADE_SHIPYARD","UPGRADE YOUR SHIPYARD"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Upgrade your shipyard to level {0}, to allow you to build more ships."
"TID_TUT_VIEW_OBJECTIVES","VIEW OBJECTIVES"
"TID_TUT_VIEW_OBJECTIVES_DESCR","The Objectives window provides additional goals and guidance for your journey in the Hades Galaxy."
"TID_TUT_INSTALL_MODULE","INSTALL A MODULE"
"TID_TUT_INSTALL_MODULE_DESCR","Ships can be upgraded by installing modules. Modules can be either activated or passive, and provide unique advantages to each ship."
"TID_TUT_OPEN_TECH_WINDOW","• Open the Technology window"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Close the selection tab"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Select your newly discovered module"
"TID_TUT_SELECT_BACK","• Go back"
"TID_TUT_FINISH_MODULE_UPGRADE","• Finish the upgrade now"
"TID_TUT_START_MODULE_UPGRADE","• Start the Module unlock process"
"TID_TUT_SELECT_EDIT_MODULES","• Select Install Modules"
"TID_TUT_CLAIM_OBJECTIVE","• Claim the completed objective"
"TID_BUILDING_SHIPYARD","SHIPYARD"
"TID_BUILDING_SHIPYARD_DESCR","Allows construction of ships. Upgrade to increase your Empire's total fleet capacity."
"TID_BUILDING_REDSTAR_SCANNER","RED STAR SCANNER"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Can detect nearby Red Stars."
"TID_BUILDING_REDSTAR_SCANNER_INFO","The Red Star Scanner can detect nearby stars that are going Supernova. Those stars usually have old planets with valuable artifacts, but are also guarded by Cerberus forces.\n\nOther players can use their Red Star Scanners to gain access to the same stars."
"TID_BUILDING_TRADINGSTATION","TRADE STATION"
"TID_BUILDING_TRADINGSTATION_DESCR","Creates and accepts shipments to and from your planets. Must be placed in an empty sector."
"TID_BUILDING_DIPLOMACY_CENTER","DIPLOMACY STATION"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","Allows establishing diplomatic relations with other players. Players in diplomatic relations can send ships to each other's system."
"TID_BUILDING_DIPLOMACY_CENTER_INFO","The Diplomacy Station can create a two way jump gate with another player's home system. Once linked, both players can send ships to the other side."
"TID_BUILDING_WARPLANE_HUB","WARP LANE HUB"
"TID_BUILDING_WARPLANE_HUB_DESCR","Two hubs that can connect to create a temporary Warp Lane in your system. An active Warp Lane allows ships to travel instantly and without consuming Hydrogen."
"TID_BUILDING_WARPLANE_HUB_INFO","This Warp Lane Hub can be connected to another Hub for one day, for a fixed Hydrogen cost. Once connected, ships can travel between the two end points instantly and without consuming Hydrogen."
"TID_BUILDING_STARGATE","JUMP GATE"
"TID_BUILDING_STARGATE_DESCR","Scattered throughout the Hades Galaxy, these mysterious structures allow ships to jump between star systems."
"TID_BUILDING_RESEARCH","RESEARCH STATION"
"TID_BUILDING_RESEARCH_DESCR","Analyzes Artifacts found in Red Stars."
"TID_BUILDING_RESEARCH_INFO","The Research Station can store and research Artifacts. Send your Transport ship here to automatically deposit new artifacts."
"TID_BUILDING_SHORT_RANGE_SCANNER","SHORT RANGE SCANNER"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","Can reveal hidden sectors adjacent to the sector it is placed on."
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","This scanner allows you to reveal adjacent sectors in your star system."
"TID_BLD_REDSTAR_UPGRADE","Upgrading the Red Star Scanner will allow it to find higher level Red Stars which contain better Artifacts, but are also guarded by stronger Cerberus forces."
"TID_BLD_SHIPYARD_UPGRADE","Upgrading the Shipyard allows you to operate a larger number of ships."
"TID_BLD_RESEARCH_STATION_UPGRADE","Upgrading the Research Station allows you to research higher order Artifacts"
"TID_BLD_WHITESTAR_SCANNER","WHITE STAR SCANNER"
"TID_BLD_WHITESTAR_SCANNER_DESCR","Allows you to locate and send ships to White Stars. You must be part of a Corporation to access White Stars."
"TID_BLD_TIME_MODULATOR","TIME MODULATOR"
"TID_BLD_TIME_MODULATOR_DESCR","Allows speeding up time over an entire Yellow Star System."
"TID_BLD_TIME_MODULATOR_INFO","An advanced station that draws power from a Yellow Star to manipulate time. Use it to speed up the passage of time in your Yellow Star. Upgrade to increase the speed up factor."
"TID_BUILDING_BLUESTAR_SCANNER","BLUE STAR SCANNER"
"TID_BUILDING_BLUESTAR_SCANNER_DESCR","Can detect nearby Blue Stars."
"TID_BUILDING_BLUESTAR_SCANNER_INFO","The scanner will send a single Battleship to a detected Blue Star. Blue Stars constantly collapse from the outside towards the star, have a very short lifetime, and offer no security: all participating player's Battleships will fire on each other, as well as the Cerberus forces in the system. The player with the last Battleship alive wins the mission."
"TID_BLUE_STAR_ANOMALY","ANOMALY"
"TID_BLUE_STAR_ANOMALY_DESCR","This non-functional portal seems to lead to distant stars. Construct a Blue Star scanner on it to allow Battleships to pass through."
"TID_HUD_MUST_PLACE_ON_ANOMALY","This station must be placed on an Anomaly"
"TID_HUD_CONFIRM_ANOMALY_UPGRADE","Start building a Blue Star scanner on the Anomaly?"
"TID_BLD_RELAY","SHIPMENT RELAY"
"TID_BLD_RELAY_DESCR","Allows some shipments to be delivered automatically, using Fragments retrieved in Blue Stars."
"TID_BLD_RELAY_INFO","Enables automatic shipment delivery on a per-sector basis, for a limited amount of time.\n\nThe sectors that the Relay is controlling will have Credits Shipments delivered automatically over time, regardless of the Shipment's destination. Upgrade the Relay to increase the amount of shipments and controlled sectors.\n\nThe Relay requires Star Fragments to operate. They can be earned by participating in Blue Star missions."
"TID_SHIP_TRANSPORT","Transport"
"TID_SHIP_TRANSPORT_DESCR","Picks up and delivers shipments between planets and Trade Stations"
"TID_SHIP_TRANSPORT_INFO","Transport ships are crucial for trade. Use them to deliver shipments between planets and moons, and to transfer Artifacts from Red Stars."
"TID_SHIP_MINER","Miner"
"TID_SHIP_MINER_DESCR","A slow and weak ship that can collect Hydrogen from asteroid fields"
"TID_SHIP_MINER_INFO","Miner ships can collect Hydrogen from asteroid fields"
"TID_SHIP_BATTLESHIP","Battleship"
"TID_SHIP_BATTLESHIP_DESCR","A combat ship that can be equipped with additional weapon modules"
"TID_SHIP_CERB_FIGHTER","Cerberus Sentinel"
"TID_SHIP_CERB_FIGHTER_DESCR","Sentinels have weak hulls but are equipped with a very powerful Battery. They pose little threat individually, but are deadly in large numbers or when covered behind stronger Cerberus ships.\n\nSentinels will always stay within their assigned sector."
"TID_SHIP_CERB_COLOSSUS","Cerberus Colossus"
"TID_SHIP_CERB_COLOSSUS_DESCR","A massive Cerberus ship that requires a lot of firepower and coordination to bring down.\n\nThis ship will always stay within its assigned sector."
"TID_SHIP_CERB_SECTOR_GUARDIAN","Cerberus Guardian"
"TID_SHIP_CERB_SECTOR_GUARDIAN_DESCR","A strong ship that Cerberus often use to provide cover for Sentinels.\n\nGuardians always stay within their assigned sector."
"TID_SHIP_CERB_INTERCEPTOR","Cerberus Interceptor"
"TID_SHIP_CERB_INTERCEPTOR_DESCR","A fast and powerful Cerberus ship that can simultaneously fire against 4 enemy ships.\n\nThe Interceptor will become Activated when an enemy ship enters its assigned sector or comes close enough to fire on it. Once Activated, it will hunt down enemy ships across all sectors, making it very dangerous against non-combat ships."
"TID_SHIP_CERB_DESTROYER","Cerberus Destroyer"
"TID_SHIP_CERB_DESTROYER_DESCR","These mysterious Cerberus ships are known to jump in Red Stars and destroy entire planets with their powerful beams. When the Destroyer is defeated or a planet destroyed, Area damage will be applied to all nearby player ships."
"TID_SHIP_CERB_PHOENIX","Cerberus Phoenix"
