"TID_INTRO_MESSAGE_TITLE","BOAS-VINDAS AO HADES' STAR"
"TID_CONNECTION_LOST_INACTIVITY","Sua sessão foi encerrada por inatividade."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","O servidor será desativado em alguns minutos para manutenção."
"TID_LABEL_SERVER_MAINTENANCE","Manutenção do servidor em\n{0}"
"TID_MAINTENANCE_TITLE","MANUTENÇÃO"
"TID_MAINTENANCE_INFO","Fazemos manutenções regulares para melhorar o jogo.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Mais Informações</a>"
"TID_ASTEROID_FIELD","Campo de Asteroides"
"TID_COLONIZATION_STARTING","Iniciando colonização em {0}."
"TID_DISBAND_FLEET_CONFIRM","Deseja mesmo destruir esta nave permanentemente? Isto aumentará a capacidade da sua frota."
"TID_STATUS_UPGRADING","Melhorando..."
"TID_STATUS_COLONIZING","Colonizando..."
"TID_DISTANCE","{0}UA"
"TID_CONFIRM_DLG_TITLE","CONFIRMAR"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Falha ao carregar sistema estelar"
"TID_MSG_QUIT_GAME","Deseja mesmo sair do jogo?"
"TID_CMD_FAILED_TUTORIAL","Esta ação não está disponível neste momento do tutorial."
"TID_MSG_CANNOT_JUMP_SHIP","Falha no salto"
"TID_SHARE_MESSAGE_LABEL","MENSAGEM"
"TID_SHARE_BUTTON_SUBMIT","ENVIAR"
"TID_SHARE_BUTTON_CANCEL","CANCELAR"
"TID_SHARE_VIEW_DEFAULT_MSG","Olha só isso!"
"TID_SHARE_VIEW_DESCR","Selecione uma visualização deste sistema estelar para compartilhar com a sua Corporação."
"TID_BACK_BUTTON","Voltar"
"TID_FINISH_REPAIR_CONFIRM","Concluir o reparo desta nave agora?"
"TID_PLAYER_JOIN_RED_STAR","{0} se juntou a esta Estrela Vermelha"
"TID_MAINTENANCE_MESSAGE","Pedimos desculpas pela inatividade recente do servidor. Adicionamos {0} Cristais na sua conta como indenização. Agradecemos a paciência!\n\n- equipe Hades' Star."
"TID_FEATURE_DISABLED","Este recurso está temporariamente indisponível."
"TID_PERSONAL_DATA_PREF","Gerenciar dados pessoais"
"TID_KEYBOARD_SHORTCUT","Atalho: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Você deve expandir mais pelo seu sistema estelar antes de poder construir esta estação"
"TID_CMD_FAILED_GENERIC","Falha no comando"
"TID_CMD_FAILED_PLAYER","Falha no comando do jogador"
"TID_CMD_FAILED_SS","Falha no comando do sistema estelar"
"TID_CMD_FAILED_RESOURCE_LIMIT","Armazenamento insuficiente. Melhore seus planetas para aumentar a capacidade de armazenamento."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Servidor ocupado. Tente novamente em alguns instantes."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Você está tentando saltar mais Encouraçados do que esta Estrela Vermelha permite."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Não é possível usar este Portal de Salto."
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Não há espaço para transportar este carregamento."
"TID_NOT_ENOUGH_CRYSTALS","Cristais insuficientes."
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Não é possível enviar naves para além do seu campo de visão."
"TID_CMD_ROUTE_EMPTY_SECTOR","Não é possível viajar por espaço inexplorado."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Não é possível viajar tão longe neste sistema estelar."
"TID_CMD_CANT_UPGRADE_PLANET","Este planeta não pode ser melhorado mais."
"TIC_CMD_ALREADY_UPGRADING_PLANET","O planeta já está sendo melhorado."
"TID_CMD_BUILDING_LIMIT_REACHED","Não é possível construir mais estações deste tipo."
"TID_SCANNER_REQUIRED","É preciso ter um Sensor de Curto Alcance livre em um setor adjacente."
"TID_SCANNER_ALREADY_BUSY","O Sensor de Curto Alcance está ocupado escaneando outro setor."
"TID_MODULE_ON_COOLDOWN","Aguarde o módulo esfriar antes de usá-lo novamente."
"TID_MODULE_ALREADY_ACTIVATED","Este módulo já está ativo."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Este módulo é passivo e não pode ser ativado."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Aguarde até a construção da Plataforma estar concluída."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","As duas Plataformas precisam estar inativas para que uma nova conexão seja estabelecida."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Você precisa construir pelo menos duas Plataformas para criar uma nova conexão."
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","Não é possível deixar artefatos nos postos avançados de outros jogadores."
"TID_CANNOT_EDIT_MODULES_ON_STAR","Não é possível alterar os módulos de uma nave longe da sua estrela de origem."
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Apenas o proprietário do planeta pode usar este carregamento."
"TID_CMD_LEAP_NO_TARGET","Local válido para teletransporte não encontrado."
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Este posto avançado não comporta mais carregamentos."
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","Não é possível se mover direto para uma estrela."
"TID_CMD_FAIL_CANTMOVE_BOND","Não é possível mover sob influência do VÍNCULO"
"TID_ASTEROID_SPAWN_LIMIT","Este setor não pode ter mais campos de asteroides."
"TID_ENTRUST_NO_CARGO","Não é possível ativar o módulo. A nave com este módulo está sem carga."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","A nave alvo não tem espaço para receber a carga."
"TID_ENTRUST_SHIPMENT_LOADING","Não é possível usar Encarregar durante o carregamento."
"TID_GENESIS_INVALID_SECTOR","Não é possível usar Gênesis neste setor."
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Não é possível usar este módulo em um setor de Portal de Salto em uma Estrela Branca."
"TID_CAN_USE_MODULE_ON_STAR","Não é possível usar este módulo neste tipo de estrela"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","Você só pode usar este módulo em Estrela Vermelha pública de nível {0} ou superior"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","Este módulo não pode ser ativado a menos que haja naves inimigas no setor"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","Este módulo não pode ser ativado a menos que haja naves inimigas ao alcance"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Não é possível ativar; nenhum teletransporte válido encontrado"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Não é possível ativar o escudo enquanto a Vingança está ativa"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Este módulo requer mais Hidrogênio coletado na sua nave mineradora antes de poder ser ativado."
"TID_SYSTEM_IS_PRIVATE","Este sistema estelar é particular; não é possível visitá-lo no momento"
"TID_FLAGHIP_NON_OFFICER","Apenas Oficiais podem dar ordens à nave-chefe da Corporação."
"TID_FLAGSHIP_IN_ANOTHER_STAR","A nave-chefe está em outra estrela no momento."
"TID_FLAGSHIP_IN_CURRENT_STAR","A nave-chefe já está nesta estrela."
"TID_FLAGSHIP_IN_COOLDOWN","A nave-chefe aguarda a reativação."
"TID_TUT_SECTION_REWARDS_LABEL","RECOMPENSAS"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUA UM ESTALEIRO"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Estaleiros permitem a construção de naves."
"TID_TUT_SELECT_SHIPYARD","• Selecione seu Estaleiros"
"TID_TUT_SELECT_PLANET","• Selecione seu planeta"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Seu Império descobriu um novo sistema estelar"
"TID_TUT_COLONIZE_FIRST_PLANET","ESTABELEÇA SUA PRIMEIRA COLÔNIA"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Seu Império cresce colonizando mais planetas.\n\nOs planetas te fornecem renda por meio de carregamentos e permitem a construção de estações espaciais."
"TID_TUT_CONSTRUCT_SHIP","CONSTRUA UMA NAVE MINERADORA"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Os Cargueiros são cruciais para desenvolver sua economia. Tente sempre deixar ao menos um cargueiro perto de cada planeta que você colonizou. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Naves Mineradoras são cruciais para a construção da infraestrutura em torno dos seus planetas."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUA: {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Estações comerciais fornecem carregamentos adicionais que podem ser entregues aos seus planetas para gerar lucro."
"TID_TUT_UPGRADE_PLANET","MELHORE SEU PLANETA"
"TID_TUT_UPGRADE_PLANET_DESCR","Melhorar seus planetas melhora a qualidade dos seus carregamentos e aumenta a quantia máxima de recursos que você pode armazenar."
"TID_TUT_KEEP_DOING_STUFF","CONTINUE ENTREGANDO CARREGAMENTOS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Use os Cargueiros para entregar carregamentos entre planetas e suas luas.\n\nEntregar carregamentos te ajuda a ganhar recursos e experiência."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONIZE OUTRO PLANETA"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","Expandir para novos planetas é vital para o crescimento do seu Império.\n\nAntes de colonizar um planeta, é preciso colocar pelo menos uma nave sua na superfície dele. Quanto mais colônias você tiver, mais cara será a próxima colonização."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONIZE O NOVO PLANETA"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Plantas colonizados também podem ser usados para consertar suas naves. Colonize o planeta próximo ao Encouraçado danificado para iniciar o processo."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Clique no botão {0}"
"TID_TUT_PLACE_BUILDING_PROMPT","• Selecione a posição de {0}"
"TID_TUT_SELECT_PRODUCTION","• Selecione CONSTRUIR"
"TID_TUT_SELECT_MINER_SHIP","• Selecione sua nave mineradora"
"TID_TUT_SELECT_SHIPMENTS","• Selecione CARREGAMENTOS"
"TID_TUT_SELECT_LOAD_SHIPMENT","• Clique em um carregamento para carregá-lo"
"TID_TUT_CLOSE_SHIPMENTS","• Feche a janela Carregamentos"
"TID_TUT_CLOSE_PRODUCTION","• Feche a janela Produção"
"TID_TUT_CLOSE_MISSION_WINDOW","• Feche a janela"
"TID_TUT_SELECT_MOVE","• Selecione MOVER"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Use o botão MOVER ou clique com o botão direito do mouse no destino de carregamento em destaque"
"TID_TUT_SELECT_PROFILE","• Abra a janela do seu Império"
"TID_TUT_SELECT_OBJECTIVES_TAB","• Selecione OBJETIVOS"
"TID_TUT_SELECT_DESTINATION","• Selecione o destino do carregamento em destaque"
"TID_TUT_SELECT_DEPART_NOW","• Selecione PARTIR"
"TID_TUT_SELECT_DEPART_NOW_PC","• Clique em PARTIR ou clique com o botão direito do mouse no destino"
"TID_TUT_SELECT_CANCEL_DEPART","• Selecione CANCELAR"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Use o comando Mover ou arraste sua nave para o planeta para pegar mais carregamentos"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Clique no botão MOVER ou com o botão direito do mouse no planeta para pegar mais carregamentos"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Use o comando Mover ou arraste sua nave para a lua para pegar mais carregamentos"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Clique no botão MOVER ou com o botão direito do mouse na lua para pegar mais carregamentos"
"TID_TUT_SELECT_BUILD_BUTTON","• Selecione {0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Conclua a produção agora"
"TID_TUT_SELECT_SECOND_PLANET","• Selecione o segundo planeta"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Use o comando Mover ou arraste sua nave para o novo planeta"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Clique no botão MOVER ou com o botão direito do mouse no novo planeta"
"TID_TUT_SELECT_TRANSPORT_SHIP","• Selecione seu Cargueiro"
"TID_TUT_SELECT_NEW_BUILDING","• Selecione a estação"
"TIT_TUT_SELECT_MODULES","• Selecione MÓDULOS"
"TID_TUT_CLOSE_MODULES_DLG","• Feche a janela Módulos"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Feche a janela"
"TID_TUT_SELECT_TRANSPORT_MODULE","• Selecione EXPANSÃO DO COMPARTIMENTO DE CARGA"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Selecione o nicho vazio"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Selecione INSTALAR NOVO MÓDULO"
"TID_TUT_SELECT_COLONIZE","• Selecione Colonizar"
"TID_TUT_CLAIM_ACHIEVEMENT","Resgatar a conquista de carregamentos"
"TID_TUT_MINING_TITLE","COMECE A MINERAR"
"TID_TUT_MINING_DESCR","Campos de asteroides contêm Hidrogênio valioso. Garanta que seu Império tenha pelo menos algumas Naves Mineradoras sempre ocupadas."
"TID_TUT_MOVE_TO_ASTEROID","• Selecione um Campo de Asteroides"
"TID_TUT_MINER_INFO","Naves Mineradoras coletam Hidrogênio em campos de asteroides. Elas coletarão sempre no mesmo campo de asteroides até que ele seja esgotado."
"TID_TUT_CREATE_SECOND_TRANSPORT","CRIE OUTRO CARGUEIRO"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Os Cargueiros são cruciais para desenvolver sua economia. Tente sempre deixar ao menos um cargueiro perto de cada planeta que você colonizou. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","A estação do Sensor de Curto Alcance permite a exploração de setores vizinhos, para que você desbrave e viaje ainda mais pelo sistema estelar."
"TID_TUT_REVEAL_SECTOR","EXPLORE UM NOVO SETOR"
"TID_TUT_REVEAL_SECTOR_INFO","Construa um Sensor de curto alcance e use-o para encontrar e colonizar um terceiro planeta."
"TID_TUT_SELECT_NEARBY_SECTOR","• Selecione um setor próximo"
"TID_TUT_SELECT_SCOUT_SECTOR","• Selecione o setor escaneado"
"TID_SELECT_EXPLORE","• Selecione REVELAR"
"TID_SELECT_EXPLORATION_SPEEDUP","• Conclua o escaneamento"
"TID_TUT_DEFEAT_CERBERUS","DERROTE A SENTINELA CERBERUS"
"TID_TUT_DEFEAT_CERBERUS_INFO","As misteriosas naves Cerberus aparecem por toda a galáxia de Hades. Use seus Encouraçados para contra-atacar."
"TID_TUT_CREATE_BATTLESHIP","CONSTRUA UM ENCOURAÇADO"
"TID_TUT_CREATE_BATTLESHIP_INFO","Encouraçados são cruciais para manter suas outras naves seguras e contra-atacar as forças Cerberus."
"TID_TUT_SELECT_BATTLESHIP","• Selecione seu Encouraçado"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Use o comando Mover ou arraste seu encouraçado para perto da Sentinela Cerberus"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Clique no botão MOVER ou com o botão direito do mouse no seu encouraçado perto da Sentinela Cerberus"
"TID_TUT_REDSTARSCANNER_INFO","O Sensor de Estrelas Vermelhas te ajuda a encontrar e viajar para novas estrelas."
"TID_TUT_JUMP_TRANSPORT","SALTE O CARGUEIRO PARA A ESTRELA VERMELHA"
"TID_TUT_JUMP_TRANSPORT_INFO","Mova naves entre sistemas estelares usando Portais de Salto."
"TID_TUT_SEARCH_FOR_MISSION","PROCURE UMA ESTRELA VERMELHA"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Use o Sensor de Estrelas Vermelhas para descobrir um novo sistema estelar."
"TID_TUT_SELECT_MISSION_BUILDING","• Selecione o Sensor de Estrelas Vermelhas"
"TID_TUT_SELECT_SCANNER_BUTTON","• Selecione ESCANEAR"
"TID_TUT_SELECT_MISSION_SEARCH","Selecione INICIAR ESCANEAMENTO"
"TID_TUT_CONFIRM_JUMP","• Confirme o salto"
"TID_TUT_SELECT_JUMP","• Selecione SALTAR"
"TID_TUT_MOVE_TO_STARGATE","• Use o comando Mover ou arraste sua nave até o Sensor de Estrelas Vermelhas"
"TID_TUT_MOVE_TO_STARGATE_PC","• Clique no botão MOVER ou com o botão direito do mouse para levar sua nave ao sensor de Estrelas Vermelhas"
"TID_TUT_BRING_ARTIFACT","TRAGA UM ARTEFATO DA ESTRELA VERMELHA"
"TID_TUT_BRING_ARTIFACT_INFO","Planetas próximos a Estrelas Vermelhas são ricos em Artefatos. Encontre um Artefato para começar a pesquisá-lo."
"TID_TUT_VIEW_MISSION_STAR","• Selecione IR PARA ESTRELA"
"TID_TUT_MOVE_BACK_TO_STARGATE","• Mova sua nave de volta ao Portal de Salto"
"TID_TUT_MOVE_TO_PLANET","• Mova seu Cargueiro até o planeta"
"TID_TUT_SELECT_LOAD_ARTIFACT","• Clique no artefato para carregá-lo"
"TID_TUT_RESEARCH_STATION_INFO","A Estação de Pesquisa estuda os Artefatos. Construa uma agora no seu sistema estelar."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Mova seu Cargueiro até a Estação de Pesquisa"
"TID_TUT_SELECT_RESEARCH_STATION","• Selecione a Estação de Pesquisa"
"TID_TUT_SELECT_RESEARCH_BUTTON","Selecione Pesquisar"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Selecione o Artefato"
"TID_TAP_ON_START_RESEARCH","• Selecione INICIAR PESQUISA"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Selecione CONCLUIR AGORA"
"TID_COLLECT_ARTIFACT_REWARD","• Selecione VER RESULTADOS"
"TID_TUT_SELECT_UPGRADE","• Selecione MELHORAR"
"TID_TUT_DO_UPGRADE","• Confirme a melhoria"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Conclua a melhoria agora"
"TID_TUT_HINT_MOVEMENT","Quando a nave parte, você não pode alterar o curso dela e precisa aguardar até que ela chegue ao destino."
"TID_TUT_HINT_RS_SUPERNOVA","Estrelas Vermelhas entrará em supernova em breve após serem descobertas. Certifique-se de que suas naves tenham retornado ao Portal de Salto antes do tempo acabar."
"TID_TUT_HINT_MINING","Sua nave mineradora continuará a minerar até que todos os campos de asteroides no setor dela se esgotem ou até que o seu armazenamento de Hidrogênio esteja lotado."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Quando a construção for concluída, o Sensor de Curto Alcance permitirá que você comece a explorar novos setores deste sistema estelar."
"TID_TUT_RED_STAR_SCANNER","Quando o Sensor de Estrelas Vermelhas detectar uma nova estrela, ele agirá como um Portal Estelar, permitindo que naves ancoradas saltem para o novo sistema."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Conclua a construção agora"
"TID_TUT_HINT_COMBAT","As naves de combate têm uma área de ataque. Para vê-la, basta selecionar uma nave. Elas atacarão automaticamente as naves inimigas que entrarem nessa área."
"TID_TUT_HINT_HYDRO","Mover uma nave custa Hidrogênio. Fique de olho na sua reserva de Hidrogênio e garanta que sempre haja mineradoras coletando Hidrogênio de Campos de Asteroides."
"TID_TUT_HINT_KEEPSHIPPING","Você pode continuar a entregar carregamentos para ganhar renda enquanto seu encouraçado está viajando."
"TID_TUT_HINT_REPAIR","Qualquer nave danificada se conserta aos poucos quando ancorada em um planeta colonizado, uma lua ou estação."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Planetas próximos a Estrelas Vermelhas têm Artefatos que podem ser pesquisados. Diferente de carregamentos comuns, os Artefatos levam um tempo para serem colocados nos Cargueiros."
"TID_TUT_HINT_RESEARCH_STATION","A Estação de Pesquisa pode armazenar, pesquisar ou reciclar qualquer Artefato que você resgatar."
"TID_TUT_RETURN_HOME","• Retorne para sua estrela de origem"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","NOTIFICAÇÕES"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","O Hades' Star pode enviar notificações de eventos importantes, como quando suas Naves Mineradoras precisarem de novas ordens.\n\nSe deseja habilitar essas notificações, acesse as configurações do seu celular."
"TID_TUT_SHIPYARD_HINT","O Estaleiros permite a construção de novas naves. Ele pode ser melhorado para aumentar a capacidade total da sua frota."
"TID_TUT_UPGRADE_SHIPYARD","MELHORE O SEU ESTALEIRO"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Melhore seu estaleiro para o nível {0} para que possa construir mais naves."
"TID_TUT_VIEW_OBJECTIVES","VER OBJETIVOS"
"TID_TUT_VIEW_OBJECTIVES_DESCR","A janela de Objetivos fornece objetivos adicionais e serve como guia para a sua jornada na galáxia de Hades."
"TID_TUT_INSTALL_MODULE","INSTALE UM MÓDULO"
"TID_TUT_INSTALL_MODULE_DESCR","Naves podem ser melhoradas com a instalação de módulos. Módulos podem ser ativos ou passivos, e eles fornecem vantagens específicas para cada nave."
"TID_TUT_OPEN_TECH_WINDOW","• Abra a janela Tecnologia"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Feche a guia de seleção"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Selecione o novo módulo"
"TID_TUT_SELECT_BACK","• Retorne"
"TID_TUT_FINISH_MODULE_UPGRADE","• Conclua a melhoria agora"
"TID_TUT_START_MODULE_UPGRADE","• Inicie o processo de desbloqueio do módulo"
"TID_TUT_SELECT_EDIT_MODULES","• Selecione Instalar Módulos"
"TID_TUT_CLAIM_OBJECTIVE","• Finalize o objetivo concluído"
"TID_BUILDING_SHIPYARD","ESTALEIRO"
"TID_BUILDING_SHIPYARD_DESCR","Permite a construção de naves. Melhore para aumentar o total da capacidade da frota do seu Império."
"TID_BUILDING_REDSTAR_SCANNER","SENSOR DE ESTRELAS VERMELHAS"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Detecta Estrelas Vermelhas próximas."
"TID_BUILDING_REDSTAR_SCANNER_INFO","O Sensor de Estrelas Vermelhas detecta estrelas próximas prestes a entrar em supernova. Estas estrelas costumam ter planetas antigos com artefatos valiosos, mas que também são protegidas por forças Cerberus.\n\nOutros jogadores também podem usar seus Sensores de Estrelas Vermelhas para ter acesso às mesmas estrelas."
"TID_BUILDING_TRADINGSTATION","ESTAÇÃO COMERCIAL"
"TID_BUILDING_TRADINGSTATION_DESCR","Cria e aceita carregamentos que entram e saem dos seus planetas. Deve ser posicionada em um setor vazio."
"TID_BUILDING_DIPLOMACY_CENTER","ESTAÇÃO DIPLOMÁTICA"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","Permite estabelecer relações diplomáticas com outros jogadores. Jogadores com relações diplomáticas podem enviar naves para os sistemas um do outro."
"TID_BUILDING_DIPLOMACY_CENTER_INFO","A Estação Diplomática pode criar um Portal de Salto de duas vias para o sistema de outro jogador. Uma vez conectados, os jogadores podem enviar naves um para o lado do outro."
"TID_BUILDING_WARPLANE_HUB","PLATAFORMA DE DOBRA ESPACIAL"
"TID_BUILDING_WARPLANE_HUB_DESCR","Duas Plataformas que podem ser conectadas para criar uma Via de Dobra Espacial temporária no seu sistema. Uma Via de Dobra Espacial ativa permite que as naves viajem instantaneamente sem consumir Hidrogênio."
"TID_BUILDING_WARPLANE_HUB_INFO","Esta Plataforma pode ser conectada a outra durante um dia em troca de um valor fixo em Hidrogênio. Uma vez conectadas, as naves podem viajar entre os dois pontos instantaneamente e sem gastar Hidrogênio."
"TID_BUILDING_STARGATE","PORTAL DE SALTO"
"TID_BUILDING_STARGATE_DESCR","Espalhados pela galáxia de Hades, essas misteriosas estruturas permitem que naves saltem entre sistemas estelares."
"TID_BUILDING_RESEARCH","ESTAÇÃO DE PESQUISA"
"TID_BUILDING_RESEARCH_DESCR","Analisa Artefatos encontrados em Estrelas Vermelhas."
"TID_BUILDING_RESEARCH_INFO","A Estação de Pesquisa pode armazenar e pesquisar Artefatos. Mova seu Cargueiro para cá para depositar automaticamente novos artefatos."
"TID_BUILDING_SHORT_RANGE_SCANNER","SENSOR DE CURTO ALCANCE"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","Pode revelar setores ocultos adjacentes ao setor onde está posicionado."
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","Este sensor revela setores vizinhos no seu sistema estelar."
"TID_BLD_REDSTAR_UPGRADE","Melhorar o Sensor de Estrelas Vermelhas permite que você encontre estrelas de nível maior, com artefatos melhores, porém protegidas por forças Cerberus mais poderosas."
"TID_BLD_SHIPYARD_UPGRADE","Melhorar o Estaleiro permite que você comande um número maior de naves."
