"TID_INTRO_MESSAGE_TITLE","欢迎来到HADES' STAR"
"TID_CONNECTION_ERROR_SERVER_HEAVY_LOAD","服务器现负荷过重。请稍候再试一次。"
"TID_CONNECTION_ERROR_STEAM_NOT_RUNNING","无法通过Steam完成验证。请从Steam中启动游戏，并确保您的网络连接正常。"
"TID_CONNECTION_ERROR_OUT_OF_SYNC","致命不同步错误。需要重启游戏。"
"TID_CONNECTION_ERROR_MAINTENANCE","服务器正在维护。请在几分钟之后再次尝试。"
"TID_CONNECTION_LOST_INACTIVITY","您已因不活动而断开与服务器的链接。"
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","服务器将在几分钟后关闭进行维护。"
"TID_LABEL_SERVER_MAINTENANCE","服务器维护将在\n{0}后开始"
"TID_MAINTENANCE_TITLE","维护"
"TID_MAINTENANCE_INFO","我们定期对服务器进行维护以改善游戏。\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>更多信息</a>"
"TID_ASTEROID_FIELD","小行星带"
"TID_COLONIZATION_STARTING","开始向{0}殖民"
"TID_DISBAND_FLEET_CONFIRM","您确定要永久性摧毁这艘船吗？这将增加您的船舰上限。"
"TID_STATUS_UPGRADING","升级中……"
"TID_STATUS_COLONIZING","殖民中……"
"TID_DISTANCE","{0}天文单位"
"TID_CONFIRM_DLG_TITLE","确认"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","恒星系统加载失败"
"TID_MSG_QUIT_GAME","您确定要退出游戏吗？"
"TID_CMD_FAILED_TUTORIAL","该操作在此教学阶段不可用"
"TID_MSG_CANNOT_JUMP_SHIP","星际跳跃失败"
"TID_SHARE_MESSAGE_LABEL","消息"
"TID_SHARE_BUTTON_SUBMIT","提交"
"TID_SHARE_BUTTON_CANCEL","取消"
"TID_SHARE_VIEW_DEFAULT_MSG","先睹为快！"
"TID_SHARE_VIEW_DESCR","在该恒星系统中选择一个视图并与您的星际集团分享"
"TID_BACK_BUTTON","后退"
"TID_FINISH_REPAIR_CONFIRM","立刻完成此舰维修？"
"TID_PLAYER_JOIN_RED_STAR","{0}已加入该红巨星"
"TID_MAINTENANCE_MESSAGE","我们很抱歉最近服务器出现中断。作为补偿，我们已向您的账户添加了{0}水晶。感谢您的耐心！\n\n- Hades' Star团队"
"TID_FEATURE_DISABLED","此功能暂时禁用"
"TID_PERSONAL_DATA_PREF","管理个人数据"
"TID_KEYBOARD_SHORTCUT","热键： <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","您必须先进一步在自己的恒星系统中扩张，才能建造此太空站"
"TID_CMD_FAILED_GENERIC","命令失败"
"TID_CMD_FAILED_PLAYER","玩家命令失败"
"TID_CMD_FAILED_SS","恒星系统命令失败"
"TID_CMD_FAILED_RESOURCE_LIMIT","储存空间不足。升级您的星球以增加储存空间。"
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","服务器繁忙。请稍候再试一次。"
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","您要进行星际跳跃的战斗舰超出该红巨星支持的数量"
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","不能使用该星际跳跃门"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","容量不足，无法装载此货物"
"TID_NOT_ENOUGH_CRYSTALS","水晶不足"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","不能将船舰派至您的能见范围外"
"TID_CMD_ROUTE_EMPTY_SECTOR","不能穿过未探索空间"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","不能在该恒星系统中移动过远"
"TID_CMD_CANT_UPGRADE_PLANET","该星球无法再升级了"
"TIC_CMD_ALREADY_UPGRADING_PLANET","星球已在升级中"
"TID_CMD_BUILDING_LIMIT_REACHED","您无法建造更多此类空间站"
"TID_SCANNER_REQUIRED","您需要在相邻星区有一座空闲的短距扫描仪"
"TID_SCANNER_ALREADY_BUSY","您的短距扫描仪已在扫描另一个星区"
"TID_MODULE_ON_COOLDOWN","您需要等待模组冷却才能再次使用"
"TID_MODULE_ALREADY_ACTIVATED","该模组已激活"
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","被动模组不可被激活"
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","您必须等待枢纽建设完成"
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","要新建链接，两个枢纽须均处于未激活状态"
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","您必须先建造至少两个枢纽才能加以链接"
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","无法将神器放置在其他玩家哨站"
"TID_CANNOT_EDIT_MODULES_ON_STAR","您无法在母星外变更船舰模组"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","只有星球拥有者才能使用此货物"
"TID_CMD_LEAP_NO_TARGET","找不到有效传送位置"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","该哨站无法储存更多货物"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","您不能直接驶向恒星"
"TID_CMD_FAIL_CANTMOVE_BOND","被捆绑效果作用期间无法移动"
"TID_ASTEROID_SPAWN_LIMIT","该星区无法支持更多小行星带"
"TID_ENTRUST_NO_CARGO","不能使用该模组。此船舰并未装载任何货物。"
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","目标船舰容量不足，无法接收任何货物"
"TID_ENTRUST_SHIPMENT_LOADING","装载货物时无法使用委任模组"
"TID_GENESIS_INVALID_SECTOR","无法在恒星星区使用创世纪模组"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","无法在白星跳跃门星区使用该模组"
"TID_CAN_USE_MODULE_ON_STAR","无法在该种类恒星上使用该模组"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","您只能在等级至少为{0}的公共红巨星上使用该模组"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","该模组只能在星区中出现敌舰时激活"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","该模组只能在射程内出现敌舰时激活"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","未找到有效传送目标，无法激活模组"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","报仇雪恨激活时无法启用护盾"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","您的采矿舰上收集的氢气不足，无法激活该模组。"
"TID_SYSTEM_IS_PRIVATE","这是私人恒星系统，暂时无法访问"
"TID_FLAGHIP_NON_OFFICER","只有干事能对星际集团旗舰下达指令。"
"TID_FLAGSHIP_IN_ANOTHER_STAR","旗舰当前处于另一颗白星中。"
"TID_FLAGSHIP_IN_CURRENT_STAR","旗舰已处于该恒星处。"
"TID_FLAGSHIP_IN_COOLDOWN","旗舰当前正在冷却。"
"TID_TUT_SECTION_REWARDS_LABEL","奖励"
"TID_TUT_CONSTRUCT_SHIPYARD","建造船坞"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","船坞允许您建造新船舰。"
"TID_TUT_SELECT_SHIPYARD","• 选择您的船坞"
"TID_TUT_SELECT_PLANET","• 选择您的星球"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","您的帝国发现了一个新的恒星系统"
"TID_TUT_COLONIZE_FIRST_PLANET","建立您第一个殖民地"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","您的帝国会随着殖民更多星球而壮大。\n\n星球可通过货运产生收入，允许您建造各类太空站。"
"TID_TUT_CONSTRUCT_SHIP","建造一艘采矿舰"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","运输舰对发展您的经济十分重要。最好在每个殖民星球周围保持有至少一艘运输舰。 "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","采矿舰对建造您星球周围的基础设施十分重要。"
"TID_TUT_CONSTRUCT_SPACE_STATION","建造一个{0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","太空交易站为您提供额外货物，将这些货物运送至您的星球可获得收益。"
"TID_TUT_UPGRADE_PLANET","升级您的星球"
"TID_TUT_UPGRADE_PLANET_DESCR","升级您的星球可改善货物质量，增加最大资源储量"
"TID_TUT_KEEP_DOING_STUFF","不断运送货物"
"TID_TUT_KEEP_DOING_STUFF_DESCR","使用您的运输舰在星球和卫星之间运送货物。\n\n运送货物能为您赚取资源和经验。"
"TID_TUT_COLONIZE_SECOND_PLANET","殖民第二个星球"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","拓展新星球对您的帝国发展十分重要。\n\n在能对星球进行殖民之前，您必须至少将一艘船舰移动至星球表面。您殖民的星球越多，下一次殖民的成本就越高。"
"TID_TUT_COLONIZE_THIRD_PLANET","殖民新的星球"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","已殖民的星球可用来维修您的船舰。殖民您受损战斗舰附近的星球开始维修。"
"TID_TUT_TAP_ON_BUILDING_BUTTON","• 点击{0}按钮"
"TID_TUT_PLACE_BUILDING_PROMPT","• 选择您{0}的位置"
"TID_TUT_SELECT_PRODUCTION","• 选择建造"
"TID_TUT_SELECT_MINER_SHIP","• 选择您的采矿舰"
"TID_TUT_SELECT_SHIPMENTS","• 选择货物"
"TID_TUT_SELECT_LOAD_SHIPMENT","• 点击货物进行装载"
"TID_TUT_CLOSE_SHIPMENTS","• 关闭货物窗口"
"TID_TUT_CLOSE_PRODUCTION","• 关闭生产窗口"
"TID_TUT_CLOSE_MISSION_WINDOW","• 关闭窗口"
"TID_TUT_SELECT_MOVE","• 选择移动"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• 使用移动按钮或右键单击发光的货物目的地"
"TID_TUT_SELECT_PROFILE","• 打开您的帝国窗口"
"TID_TUT_SELECT_OBJECTIVES_TAB","• 选择目标"
"TID_TUT_SELECT_DESTINATION","• 选择闪烁的货物目的地"
"TID_TUT_SELECT_DEPART_NOW","• 选择启航"
"TID_TUT_SELECT_DEPART_NOW_PC","• 单击“启航”或右键单击目的地"
"TID_TUT_SELECT_CANCEL_DEPART","• 选择取消"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• 使用移动命令或将您的船拖拽至星球，以装载更多的货物"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• 单击移动按钮或右键单击该星球以拾取更多货物"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• 使用移动命令或将您的船拖拽至卫星，以装载更多的货物"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• 单击移动按钮或右键单击卫星以拾取更多货物"
"TID_TUT_SELECT_BUILD_BUTTON","• 选择{0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• 立刻完成生产"
"TID_TUT_SELECT_SECOND_PLANET","• 选择第二个星球"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• 使用移动命令或将您的船拖拽至新的星球"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• 单击移动按钮或右键单击新的星球"
"TID_TUT_SELECT_TRANSPORT_SHIP","• 选择您的运输舰"
"TID_TUT_SELECT_NEW_BUILDING","• 选择太空站"
"TIT_TUT_SELECT_MODULES","• 选择模组"
"TID_TUT_CLOSE_MODULES_DLG","• 关闭模组窗口"
"TID_TUT_CLOSE_WINDOW_GENERIC","• 关闭窗口"
"TID_TUT_SELECT_TRANSPORT_MODULE","• 选择货舱拓展"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• 选择空栏位"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• 选择安装新模组"
"TID_TUT_SELECT_COLONIZE","• 选择殖民"
"TID_TUT_CLAIM_ACHIEVEMENT","获得货物成就"
"TID_TUT_MINING_TITLE","开始采矿"
"TID_TUT_MINING_DESCR","小行星带含有珍贵的氢气资源。您应当保证自己的帝国至少有几艘采矿舰总在忙着采矿。"
"TID_TUT_MOVE_TO_ASTEROID","• 选择一个小行星带"
"TID_TUT_MINER_INFO","采矿舰从小行星带采集氢气。它们会持续从同一个小行星带采集，直到资源耗尽。"
"TID_TUT_CREATE_SECOND_TRANSPORT","建造第二艘运输舰"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","运输舰对发展您的经济十分重要。最好在每个殖民星球周围保持有至少一艘运输舰。 "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","短距扫描仪太空站允许您探索附近星区，让您能在这个恒星系统中看得和行驶得更远。"
"TID_TUT_REVEAL_SECTOR","探索新的星区"
"TID_TUT_REVEAL_SECTOR_INFO","建造一架短距扫描仪，使用它找到并殖民第三颗星球。"
"TID_TUT_SELECT_NEARBY_SECTOR","• 选择附近的一个星区"
"TID_TUT_SELECT_SCOUT_SECTOR","• 选择您已扫描的星区"
"TID_SELECT_EXPLORE","• 选择揭示"
"TID_SELECT_EXPLORATION_SPEEDUP","• 立刻完成扫描"
"TID_TUT_DEFEAT_CERBERUS","击败冥犬哨兵舰"
"TID_TUT_DEFEAT_CERBERUS_INFO","Hades宇宙遍布神秘的冥犬船舰。使用战斗舰击败它们。"
"TID_TUT_CREATE_BATTLESHIP","建造一艘战斗舰"
"TID_TUT_CREATE_BATTLESHIP_INFO","战斗舰对保护您其他船舰的安全、击退冥犬舰队十分重要。"
"TID_TUT_SELECT_BATTLESHIP","• 选择您的战斗舰"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• 使用移动命令或将您的战斗舰拖拽至冥犬哨兵舰附近"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• 单击移动按钮或右键单击将您的战斗舰移动到冥犬哨兵舰附近"
"TID_TUT_REDSTARSCANNER_INFO","红巨星扫描仪让您能找到并行驶至新的恒星系统"
"TID_TUT_JUMP_TRANSPORT","令您的运输舰跳跃至红巨星"
"TID_TUT_JUMP_TRANSPORT_INFO","您可以使用星际跳跃门在恒星系统之间移动。"
"TID_TUT_SEARCH_FOR_MISSION","扫描红巨星"
"TID_TUT_SEARCH_FOR_MISSION_INFO","使用您的红巨星扫描仪发现一个新的恒星系统。"
"TID_TUT_SELECT_MISSION_BUILDING","• 选择您的红巨星扫描仪"
"TID_TUT_SELECT_SCANNER_BUTTON","• 选择扫描"
"TID_TUT_SELECT_MISSION_SEARCH","选择开始扫描"
"TID_TUT_CONFIRM_JUMP","• 确认星际跳跃"
"TID_TUT_SELECT_JUMP","• 选择跳跃"
"TID_TUT_MOVE_TO_STARGATE","• 使用移动命令或将您的船拖拽至红巨星扫描仪"
"TID_TUT_MOVE_TO_STARGATE_PC","• 单击移动按钮或右键单击将您的船舰移动到红巨星扫描仪"
"TID_TUT_BRING_ARTIFACT","从红巨星取回神器"
"TID_TUT_BRING_ARTIFACT_INFO","红巨星周围的星球上有许多神器。带回一件神器开始进行研究。"
"TID_TUT_VIEW_MISSION_STAR","• 选择前往恒星"
"TID_TUT_MOVE_BACK_TO_STARGATE","• 将您的船舰移回星际跳跃门"
"TID_TUT_MOVE_TO_PLANET","• 将您的运输舰移至该星球"
"TID_TUT_SELECT_LOAD_ARTIFACT","• 点击神器开始装载"
"TID_TUT_RESEARCH_STATION_INFO","太空研究站允许您研究神器。立刻在您的恒星系统中建造一个。"
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• 将您的运输舰移至太空研究站"
"TID_TUT_SELECT_RESEARCH_STATION","• 选择您的太空研究站"
"TID_TUT_SELECT_RESEARCH_BUTTON","选择研究"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• 选择神器"
"TID_TAP_ON_START_RESEARCH","• 选择开始研究"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• 选择立刻完成"
"TID_COLLECT_ARTIFACT_REWARD","• 选择查看成果"
"TID_TUT_SELECT_UPGRADE","• 选择升级"
"TID_TUT_DO_UPGRADE","• 确认升级"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• 立刻完成升级"
"TID_TUT_HINT_MOVEMENT","船舰一旦启航，您就不能再改变航线，必须等待船舰到达目的地。"
"TID_TUT_HINT_RS_SUPERNOVA","红巨星在被发现之后很快会发生超新星爆炸。在爆炸发生之前请确保您的所有船舰已返回至星际跳跃门。"
"TID_TUT_HINT_MINING","您的采矿舰会持续采矿，直到其所处星区所有的小行星带资源耗尽，或您的氢气储量已满。"
"TID_TUT_HINT_SHORT_RANGE_SCANNER","建造完成后，短距扫描仪能允许您开始探索该恒星系统内新的星区。"
"TID_TUT_RED_STAR_SCANNER","一旦红巨星扫描仪侦测到新的恒星，就会变成一扇星际跳跃门，允许泊靠的船舰跳跃至新的星系。"
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• 立刻完成建造"
"TID_TUT_HINT_COMBAT","点选战斗舰可看到其攻击范围。战斗舰会自动攻击其攻击范围内的敌舰。"
"TID_TUT_HINT_HYDRO","移动船舰需要消耗氢气。请注意总体氢气供应，确保您一直有采矿舰在小行星带中收集新的氢气资源。"
"TID_TUT_HINT_KEEPSHIPPING","在战斗舰航行时，您可以持续运输货物以赚取收入。"
"TID_TUT_HINT_REPAIR","任何受损的船舰在泊靠于殖民星球、卫星或太空站时会渐渐修复。"
"TID_TUT_PLANETS_WITH_ARTIFACTS","红巨星周围的星球上有可供研究的神器。与普通货物不同，神器需要一定时间才能装载至您的运输舰上。"
"TID_TUT_HINT_RESEARCH_STATION","太空研究站能储存、研究或分解任何您找到的神器。"
"TID_TUT_RETURN_HOME","• 返回您的母星"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","通知"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star可向您的设备发送重要事件通知，例如当您的采矿舰需要新命令的时候。\n\n如果您决定禁用此类通知，可以在将来于设备设置中再启用。"
"TID_TUT_SHIPYARD_HINT","船坞允许您建造额外的船舰。升级船坞可增加您的总船舰上限。"
"TID_TUT_UPGRADE_SHIPYARD","升级您的船坞"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","将您的船坞升至第{0}级，建造更多船舰。"
"TID_TUT_VIEW_OBJECTIVES","查看目标"
"TID_TUT_VIEW_OBJECTIVES_DESCR","目标窗口为您在Hades宇宙的旅程提供额外的指引和向导。"
"TID_TUT_INSTALL_MODULE","安装一个模组"
"TID_TUT_INSTALL_MODULE_DESCR","船舰可通过安装模组进行升级。模组分可主动和被动两种，为每艘船提供独特的优势。"
"TID_TUT_OPEN_TECH_WINDOW","• 打开科技窗口"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• 关闭选项卡"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• 选择您新研发的模组"
"TID_TUT_SELECT_BACK","• 返回"
"TID_TUT_FINISH_MODULE_UPGRADE","• 立刻完成升级"
"TID_TUT_START_MODULE_UPGRADE","• 开始模组解锁程序"
"TID_TUT_SELECT_EDIT_MODULES","• 选择安装模组"
"TID_TUT_CLAIM_OBJECTIVE","• 获取目标完成奖励"
"TID_BUILDING_SHIPYARD","船坞"
"TID_BUILDING_SHIPYARD_DESCR","允许建造船舰。升级船坞可增加您帝国的总船舰上限。"
"TID_BUILDING_REDSTAR_SCANNER","红巨星扫描仪"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","可侦测附近的红巨星。"
"TID_BUILDING_REDSTAR_SCANNER_INFO","红巨星扫描仪可侦测到附近即将发生超新星爆炸的恒星。这些恒星周围常有蕴藏珍贵神器的古老星球，但也有冥犬舰队的看守。\n\n其他玩家也可使用红巨星扫描仪访问同一个恒星。"
"TID_BUILDING_TRADINGSTATION","太空贸易站"
"TID_BUILDING_TRADINGSTATION_DESCR","创建、接收并向您的星球发送货物。必须置于空的星区之中。"
"TID_BUILDING_DIPLOMACY_CENTER","太空外交站"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","允许与其他玩家建立外交关系。建立了外交关系的玩家可向对方星系派遣船舰。"
"TID_BUILDING_DIPLOMACY_CENTER_INFO","太空外交站可在两位玩家的母星系之间建造双向星际跳跃门。外交站一旦链接，两位玩家都可向对方派遣船舰。"
"TID_BUILDING_WARPLANE_HUB","太空曲道枢纽"
"TID_BUILDING_WARPLANE_HUB_DESCR","两个枢纽相链接后，能在您的系统中创造一个暂时的太空曲道。运转中的太空曲道可让船舰瞬间航行，无需耗费氢气。"
"TID_BUILDING_WARPLANE_HUB_INFO","您可花费一定的氢气，将这个太空曲道枢纽链接至另一个枢纽，持续一天。一旦链接，船舰就可在两个端点之间瞬间航行，无需耗费氢气。"
"TID_BUILDING_STARGATE","星际跳跃门"
"TID_BUILDING_STARGATE_DESCR","这些神秘的建筑物散落在整个Hades宇宙中，可允许船舰在不同恒星系统之间跳跃。"
"TID_BUILDING_RESEARCH","太空研究站"
"TID_BUILDING_RESEARCH_DESCR","分析在红巨星上找到的神器。"
"TID_BUILDING_RESEARCH_INFO","太空研究站能够储存并研究神器。将您的运输舰派至研究站可自动存入新神器。"
"TID_BUILDING_SHORT_RANGE_SCANNER","短距扫描仪"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","可揭示与所在星区相邻的隐藏星区。"
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","扫描仪允许您揭示自己恒星系统临近的星区。"
"TID_BLD_REDSTAR_UPGRADE","升级红巨星扫描仪可让您找到更高等级的红巨星，其中有更好的神器，但守卫的冥犬舰队也更强大。"
"TID_BLD_SHIPYARD_UPGRADE","升级船坞允许您操作数量更多的船舰。"
"TID_BLD_RESEARCH_STATION_UPGRADE","升级太空研究站允许您研究更高等级的神器。"
"TID_BLD_WHITESTAR_SCANNER","白星扫描仪"
"TID_BLD_WHITESTAR_SCANNER_DESCR","允许您找到白星并向其派遣船舰。您必须加入一个星际集团才能访问白星。"
"TID_BLD_TIME_MODULATOR","时间调制器"
"TID_BLD_TIME_MODULATOR_DESCR","允许加速整个黄星系统的时间流逝。"
"TID_BLD_TIME_MODULATOR_INFO","高级太空站，能汲取黄星能量，操控时间。使用时间调制器加速您黄星系统中的时间流逝速度。升级此太空站可进一步加速时间流逝。"
"TID_BUILDING_BLUESTAR_SCANNER","蓝星扫描仪"
"TID_BUILDING_BLUESTAR_SCANNER_DESCR","可侦测附近的蓝星。"
"TID_BUILDING_BLUESTAR_SCANNER_INFO","扫描仪会向侦测到的蓝星派遣一架战斗舰。蓝星寿命很短，会一直不断地向恒星内坍缩，且参与蓝星的所有玩家战斗舰都会相互开火，星系内的冥犬势力也会发动攻击，毫无安全可言。玩家的战斗舰若能存活到最后，即取得任务胜利。"
"TID_BLUE_STAR_ANOMALY","异象"
"TID_BLUE_STAR_ANOMALY_DESCR","这是一处出了故障的传送门，似乎通往遥远的恒星。要令战斗舰穿过传送门，请在异象上建造一个蓝星扫描仪。"
"TID_HUD_MUST_PLACE_ON_ANOMALY","此扫描仪必须建在异象之上"
"TID_HUD_CONFIRM_ANOMALY_UPGRADE","要开始在异象上建造蓝星扫描仪吗？"
"TID_BLD_RELAY","货运中继"
"TID_BLD_RELAY_DESCR","允许使用蓝星中找到的碎片自动交付部分货物。"
"TID_BLD_RELAY_INFO","在有限时间内启用自动货运，以星区为单位计算。\n\n货运中继控制的星区内，无论货物目的地在哪里，星币货物都会自动交付。要增加货物和受控星区数量，请升级货运中继。\n\n货运中继需要恒星碎片才能运行。参加蓝星任务可获取恒星碎片。"
"TID_SHIP_TRANSPORT","运输舰"
"TID_SHIP_TRANSPORT_DESCR","在星球和太空贸易站之间搭载并运送货物"
"TID_SHIP_TRANSPORT_INFO","运输舰对贸易来说非常重要。使用运输舰在星球和卫星之间运送货物，从红巨星上运送神器。"
"TID_SHIP_MINER","采矿舰"
"TID_SHIP_MINER_DESCR","一种能从小行星带采集氢气的缓慢脆弱的船舰"
"TID_SHIP_MINER_INFO","采矿舰能从小行星带采集氢气"
"TID_SHIP_BATTLESHIP","战斗舰"
"TID_SHIP_BATTLESHIP_DESCR","一种能装备额外武器模组的战斗舰"
"TID_SHIP_CERB_FIGHTER","冥犬哨兵舰"
"TID_SHIP_CERB_FIGHTER_DESCR","哨兵舰船体脆弱，但装备有非常强大的火炮。哨兵舰单独出现时威胁很小，但大量聚集或有更强冥犬船舰做掩护时有致命的杀伤力。\n\n哨兵舰总是待在自己指定的星区中。"
"TID_SHIP_CERB_COLOSSUS","冥犬巨型舰"
"TID_SHIP_CERB_COLOSSUS_DESCR","一种庞大的冥犬船舰，需要强大的火力和指挥才能拿下。\n\n冥犬巨型舰总是待在自己指定的星区中。"
"TID_SHIP_CERB_SECTOR_GUARDIAN","冥犬护卫舰"
"TID_SHIP_CERB_SECTOR_GUARDIAN_DESCR","一种重型冥犬船舰，经常用来掩护哨兵舰。\n\n冥犬护卫舰总是待在自己指定的星区中。"
"TID_SHIP_CERB_INTERCEPTOR","冥犬截击舰"
"TID_SHIP_CERB_INTERCEPTOR_DESCR","一种速度快、火力强的冥犬船舰，可以同时向4艘敌舰开火。\n\n当有敌舰进入其驻守星区或火力射程范围内时，冥犬截击舰将被激活。一旦激活，冥犬截击舰将穿越所有星区猎杀敌舰，对于非战斗舰来说非常危险。"
"TID_SHIP_CERB_DESTROYER","冥犬歼灭舰"
"TID_SHIP_CERB_DESTROYER_DESCR","这些神秘的冥犬船舰能够跳跃进红巨星中，用强大的激光束摧毁整个星球。如果歼灭舰被击败或星球被摧毁，所有附近玩家船舰都会遭到区域性伤害。"
