"TID_INTRO_MESSAGE_TITLE","Hades' Starへようこそ"
"TID_TUT_SELECT_BUILD_BUTTON","• {0}を選択してください"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• 生産を今すぐ完了してください"
"TID_TUT_SELECT_SECOND_PLANET","• 2つ目の惑星を選択してください"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• 「移動」コマンドを使うか、船をドラッグ して、船を新たな惑星へ移動させてください"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• 「移動」ボタンを押すか、新しい「惑星」を右クリッしてください"
"TID_TUT_SELECT_TRANSPORT_SHIP","• 輸送船を選択してください"
"TID_TUT_SELECT_NEW_BUILDING","• ステーションを選択してください"
"TIT_TUT_SELECT_MODULES","• 「モジュール」を選択してください"
"TID_TUT_CLOSE_MODULES_DLG","• 「モジュール」ウィンドウを閉じてください"
"TID_TUT_CLOSE_WINDOW_GENERIC","• ウィンドウを閉じてください"
"TID_TUT_SELECT_TRANSPORT_MODULE","• 「貨物ベイ拡張」を選択してください"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• 空きスロットを選択してください"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• 「新たなモジュールをインストール」を選択してください"
"TID_TUT_SELECT_COLONIZE","• 「入植」を選択してください"
"TID_TUT_CLAIM_ACHIEVEMENT","貨物輸送の実績を獲得してください"
"TID_TUT_MINING_TITLE","採掘を開始する"
"TID_TUT_MINING_DESCR","小惑星帯は貴重な水素を有しています。帝国内において、常に数隻の採掘船を稼働させておくと良いでしょう。"
"TID_TUT_MOVE_TO_ASTEROID","• 小惑星帯を選択してください"
"TID_TUT_MINER_INFO","採掘船は小惑星帯から水素を回収します。採掘船は水素が枯渇するまで、同じ小惑星帯から水素を回収し続けます。"
"TID_TUT_CREATE_SECOND_TRANSPORT","2隻目の輸送船を建造する"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","輸送船は経済を発展させる上で必要不可欠です。入植したそれぞれの惑星に、最低1隻の輸送船を割り当てると良いでしょう。 "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","ショートレンジ・スキャナーは隣接するセクターを調査します。これにより、恒星系内のより遠くの場所へ進出できるようになります。"
"TID_TUT_REVEAL_SECTOR","新たなセクターを調査する"
"TID_TUT_REVEAL_SECTOR_INFO","ショートレンジ・スキャナーを建設してから使用して、第三惑星を入植してください"
"TID_TUT_SELECT_NEARBY_SECTOR","• 近くのセクターを選択してください"
"TID_TUT_SELECT_SCOUT_SECTOR","• スキャンしたセクターを選択してください"
"TID_SELECT_EXPLORE","• 「開放」を選択してください"
"TID_SELECT_EXPLORATION_SPEEDUP","• スキャンを今すぐ完了させてください"
"TID_TUT_DEFEAT_CERBERUS","ケルベロス・センチネルを倒す"
"TID_TUT_DEFEAT_CERBERUS_INFO","ハデス銀河では、謎に包まれた「ケルベロスの戦艦」が現れます。戦艦を使用することで敵を撃破できます。"
"TID_TUT_CREATE_BATTLESHIP","戦艦を建造する"
"TID_TUT_CREATE_BATTLESHIP_INFO","戦艦は、他の船の安全を守り、ケルベロス軍に立ち向かうために必要不可欠です。"
"TID_TUT_SELECT_BATTLESHIP","• 戦艦を選択してください"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• 「移動」コマンドを使うか、戦艦をドラッグして、船をケルベロス・センチネルへ移動させてください"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• 「移動」ボタンを押すか、戦艦をケルベロス・センチネルの近くに移動するために右クリックしてください"
"TID_TUT_REDSTARSCANNER_INFO","レッドスター・スキャナーを使用することで、新たな恒星を発見し、またその場所へ移動することができます"
"TID_TUT_JUMP_TRANSPORT","輸送船をレッドスターへジャンプさせる"
"TID_TUT_JUMP_TRANSPORT_INFO","ジャンプゲートを使用することで、恒星系の間を移動できます。"
"TID_TUT_SEARCH_FOR_MISSION","レッドスターをスキャンする"
"TID_TUT_SEARCH_FOR_MISSION_INFO","レッドスター・スキャナーを使用することで、新たな恒星系を発見できます。"
"TID_TUT_SELECT_MISSION_BUILDING","• レッドスター・スキャナーを選択してください"
"TID_TUT_SELECT_SCANNER_BUTTON","• 「スキャン」を選択してください"
"TID_TUT_SELECT_MISSION_SEARCH","「スキャン開始」を選択してください"
"TID_TUT_CONFIRM_JUMP","• ジャンプを確認してください"
"TID_TUT_SELECT_JUMP","• 「ジャンプ」を選択してください"
"TID_TUT_MOVE_TO_STARGATE","• 「移動」コマンドを使うか、船をドラッグして、船をレッドスター・スキャナーへ移動させてください"
"TID_TUT_MOVE_TO_STARGATE_PC","• 「移動」ボタンを押すか、船をレッドスター・スキャナーに移動するために右クリッしてください"
"TID_TUT_BRING_ARTIFACT","レッドスターからアーティファクトを持ち帰る"
"TID_TUT_BRING_ARTIFACT_INFO","レッドスターの周囲にある惑星には、アーティファクトが豊富に含まれています。アーティファクトを持ち帰ることで、アーティファクトを研究することができます。"
"TID_TUT_VIEW_MISSION_STAR","• 「恒星へ移動」を選択してください"
"TID_TUT_MOVE_BACK_TO_STARGATE","• 船をジャンプゲートに移動させてください"
"TID_TUT_MOVE_TO_PLANET","• 輸送船を惑星に移動させてください"
"TID_TUT_SELECT_LOAD_ARTIFACT","• アーティファクトをクリックして、積み込みを開始してください"
"TID_TUT_RESEARCH_STATION_INFO","研究ステーションを建設することで、アーティファクトの研究が可能になります。恒星系内に研究ステーションを建設しましょう。"
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• 輸送船を研究ステーションに移動させてください"
"TID_TUT_SELECT_RESEARCH_STATION","• 研究ステーションを選択してください"
"TID_TUT_SELECT_RESEARCH_BUTTON","「研究」を選択してください"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• アーティファクトを選択してください"
"TID_TAP_ON_START_RESEARCH","• 「研究開始」を選択してください"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• 「今すぐ完了」を選択してください"
"TID_COLLECT_ARTIFACT_REWARD","• 「結果を表示する」を選択してください"
"TID_TUT_SELECT_UPGRADE","• 「アップグレード」を選択してください"
"TID_TUT_DO_UPGRADE","• アップグレード内容を確認してください"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• アップグレードを今すぐ完了してください"
"TID_TUT_HINT_MOVEMENT","艦船が出航した後は、その航路を変えることはできません。"
"TID_TUT_HINT_RS_SUPERNOVA","レッドスターは発見された直後に超新星と化します。タイムアップする前に船をジャンプゲートに帰還させてください。"
"TID_TUT_HINT_MINING","採掘船は、同じセクターにある全ての小惑星帯から水素を回収します。回収は水素が枯渇するまで続けられます。"
"TID_TUT_HINT_SHORT_RANGE_SCANNER","建設が完了すると、ショートレンジ・スキャナーを使って恒星系内の新たなセクターを調査できるようになります。"
"TID_TUT_RED_STAR_SCANNER","レッドスター・スキャナーが新たな恒星を検出すると、スキャナーはスターゲートとして動作し、停泊している艦船を新たな恒星系へジャンプさせられるようになります。"
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• 建設を今すぐ完了してください"
"TID_TUT_HINT_COMBAT","戦艦には攻撃範囲があります。攻撃範囲は、戦艦を選択することで確認できます。戦艦は、攻撃範囲に入った敵艦を自動的に攻撃します。"
"TID_TUT_HINT_HYDRO","船を移動させるには水素を消費します。総水素供給量を注意を払いながら、常に採掘船が小惑星帯から新たな水素を収集してるようにしましょう。"
"TID_TUT_HINT_KEEPSHIPPING","戦艦が移動中であっても、貨物の輸送を継続して収入を得ることは可能です。"
"TID_TUT_HINT_REPAIR","損傷した戦艦は、入植した惑星に停泊している間に少しずつ修復されていきます。"
"TID_TUT_PLANETS_WITH_ARTIFACTS","レッドスターの周りにある惑星にはアーティファクトが存在します。入手したアーティファクトは研究することができます。アーティファクトは通常の貨物とは異なり、輸送船に積み込む際に時間がかかります。"
"TID_TUT_HINT_RESEARCH_STATION","研究ステーションでは、入手したアーティファクトを貯蔵、研究、回収できます。"
"TID_TUT_RETURN_HOME","• 母恒星に戻ってください"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","通知"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Starは、例えば採掘船に新たな指示を出すこと必要になった場合などの、重要なイベントをデバイスに通知できます。\n\n通知を停止した場合も、デバイスの設定から再度有効にすることができます。"
"TID_TUT_SHIPYARD_HINT","造船所では、新たな艦船を建造することができます。造船所をアップグレードすれば、所有できる艦船数が増加します。"
"TID_TUT_UPGRADE_SHIPYARD","造船所をアップグレードする"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","造船所をレベル{0}までアップグレードすれば、さらに多くの船を作れます。"
"TID_TUT_VIEW_OBJECTIVES","目標を確認する"
"TID_TUT_VIEW_OBJECTIVES_DESCR","目標ウィンドウは追加目標やハデス銀河での冒険に関するヒントを提供してくれます。"
"TID_TUT_INSTALL_MODULE","モジュールをインストールする"
"TID_TUT_INSTALL_MODULE_DESCR","艦船はモジュールをインストールすることで性能を強化できます。モジュールは作動させる必要があるものと、常時作動しているもの（パッシブ）があります。各艦船はモジュールを装着することで特長を獲得します。"
"TID_TUT_OPEN_TECH_WINDOW","• 「テクノロジー」ウィンドウを開いてください"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• 選択タブを閉じてください"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• 新たに発見したモジュールを選択してください"
"TID_TUT_SELECT_BACK","• 戻ってください"
"TID_TUT_FINISH_MODULE_UPGRADE","• アップグレードを今すぐ完了してください"
"TID_TUT_START_MODULE_UPGRADE","• モジュールのアンロックを開始してください"
"TID_TUT_SELECT_EDIT_MODULES","• 「モジュールのインストール」を選択してください"
"TID_TUT_CLAIM_OBJECTIVE","• 達成した目標の報酬を受け取る"
"TID_BUILDING_SHIPYARD","造船所"
"TID_BUILDING_SHIPYARD_DESCR","艦船を建造を可能とする。造船所をアップグレードすれば、帝国の艦船数が増加します。"
"TID_BUILDING_REDSTAR_SCANNER","レッドスター・スキャナー"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","近傍のレッドスターを検出する"
"TID_BUILDING_REDSTAR_SCANNER_INFO","レッドスター・スキャナーは、スーバーノヴァを迎えようとしている近傍の恒星を検出できる。通常、こうした恒星の周囲には貴重なアーティファクトを有する古い惑星が存在するが、こうした惑星はケルベロス軍よって守られている。\n\n他のプレーヤーもレッドスター・スキャナーを使って同じ恒星にたどり着くことがある。"
"TID_BUILDING_TRADINGSTATION","交易ステーション"
"TID_BUILDING_TRADINGSTATION_DESCR","貨物の生産や、惑星との間で貨物輸送を行う。空きセクターに設置する必要がある"
"TID_BUILDING_DIPLOMACY_CENTER","外交ステーション"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","他のプレーヤーとの外交関係を樹立するために用いる。外交関係のあるプレイヤー同士はお互いに船を贈り合えます。"
"TID_BUILDING_DIPLOMACY_CENTER_INFO","外交ステーションを用いることで、他のプレーヤーの恒星系との間に双方向のジャンプゲートを設置することができる。リンクを確立すると、双方のプレーヤーが艦船を反対側へ送ることが可能になる。"
"TID_BUILDING_WARPLANE_HUB","ワープレーンハブ"
"TID_BUILDING_WARPLANE_HUB_DESCR","相互接続することで恒星系内に一時的なワープレーンを作り出す、一組のハブ。稼働中のワープレーンは水素なくしても船を瞬間移動させることができます。"
"TID_BUILDING_WARPLANE_HUB_INFO","ワープレーンハブは水素を一定量消費することで、もう一方のハブと1日間接続される。接続すると、艦船は2つの端点を一瞬で、水素を消費せずに移動できるようになる。"
"TID_BUILDING_STARGATE","ジャンプゲート"
"TID_BUILDING_STARGATE_DESCR","ハデス銀河に遍在する謎の構造物。艦船はこのジャンプゲートを利用することで恒星系の間をジャンプできる。"
"TID_BUILDING_RESEARCH","研究ステーション"
"TID_BUILDING_RESEARCH_DESCR","レッドスターで発見したアーティファクトを分析します。"
"TID_BUILDING_RESEARCH_INFO","研究ステーションでは、アーティファクトを貯蔵、研究することができる。輸送船を研究ステーションに送れば、新たに発見したアーティファクトは自動的に船から降ろされる。"
"TID_BUILDING_SHORT_RANGE_SCANNER","ショートレンジ・スキャナー"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","配置されたセクターの隣にある隠れたセクターを開放します。"
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","ショートレンジ・スキャナーを用いることで、恒星系内の隣接セクターを開放することができる。"
"TID_BLD_REDSTAR_UPGRADE","レッドスター・スキャナーをアップグレードすることで、よりレベルの高いレッドスターを発見できるようになります。よりレベルの高いレッドスターにはより良いアーティファクトが存在しますが、待ち受けているケルベロス軍もより強力です。"
"TID_BLD_SHIPYARD_UPGRADE","造船所をアップグレードすることで、より多くの艦船を運用できるようになります。"
"TID_BLD_RESEARCH_STATION_UPGRADE","研究ステーションをアップグレードすることで、より高度なアーティファクトを研究できるようになります。"
"TID_BLD_WHITESTAR_SCANNER","ホワイトスター・スキャナー"
"TID_BLD_WHITESTAR_SCANNER_DESCR","ホワイトスターを発見し、艦船を送ることができるホワイトスターに行くためには、コーポレーションに参加する必要がある。"
"TID_BLD_TIME_MODULATOR","タイムモジュレーター"
