"TID_INTRO_MESSAGE_TITLE","BIENVENIDO A HADES' STAR"
"TID_CMD_FAILED_RESOURCE_LIMIT","Almacenamiento insuficiente. Mejora tus planetas para aumentar el almacenamiento."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Servidor ocupado. Vuelve a intentarlo dentro de un rato."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Estás intentando que salten más naves de combate de las que permite esta estrella roja."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","No puedes usar este portal de salto."
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","No hay suficiente capacidad para cargar este envío."
"TID_NOT_ENOUGH_CRYSTALS","No hay suficientes cristales."
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","No puedes enviar naves fuera de tu campo de visión."
"TID_CMD_ROUTE_EMPTY_SECTOR","No puedes viajar por el espacio inexplorado."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","No puedes desplazarte tan lejos en este sistema estelar."
"TID_CMD_CANT_UPGRADE_PLANET","Este planeta ya no se puede mejorar más."
"TIC_CMD_ALREADY_UPGRADING_PLANET","El planeta ya se está mejorando."
"TID_CMD_BUILDING_LIMIT_REACHED","No puedes construir más estaciones de este tipo."
"TID_SCANNER_REQUIRED","Necesitas un escáner de corto alcance en un sector adyacente."
"TID_SCANNER_ALREADY_BUSY","Tu escáner de corto alcance ya está escaneando otro sector."
"TID_MODULE_ON_COOLDOWN","Espera a que el módulo se enfríe antes de volver a usarlo."
"TID_MODULE_ALREADY_ACTIVATED","Este módulo ya está activo."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Este módulo es pasivo y no se puede activar."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Debes esperar a que se complete la construcción del hub."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Ambos hubs deben estar inactivos para establecer un nuevo enlace."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Debes construir al menos dos hubs para poder enlazarlos."
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","No puedes soltar artefactos en los puestos avanzados de otro jugador."
"TID_CANNOT_EDIT_MODULES_ON_STAR","No puedes cambiar los módulos de una nave lejos de tu estrella natal."
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Este envío solo lo puede utilizar el propietario del planeta."
"TID_CMD_LEAP_NO_TARGET","Imposible encontrar ubicación de teletransporte válida."
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Este puesto avanzado no puede albergar más envíos."
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","No puedes moverte directamente a una estrella."
"TID_CMD_FAIL_CANTMOVE_BOND","No te puedes mover mientras estés bajo la influencia de VÍNCULO."
"TID_ASTEROID_SPAWN_LIMIT","Este sector no puede albergar más campos de asteroides."
"TID_ENTRUST_NO_CARGO","No se puede usar este módulo. La nave del propietario no lleva ningún cargamento."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","La nave objetivo no tiene capacidad para recibir ningún cargamento."
"TID_ENTRUST_SHIPMENT_LOADING","No se puede usar Confiar mientras se esté cargando el cargamento."
"TID_GENESIS_INVALID_SECTOR","No se puede usar Génesis en el sector estelar."
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","No puedes usar este módulo en un sector del portal de salto en estrellas blancas"
"TID_CAN_USE_MODULE_ON_STAR","No puedes usar este módulo en este tipo de estrellas."
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","Solo puedes usar este módulo en estrellas rojas públicas de nivel {0} o superior."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","No se puede activar este módulo hasta que haya naves enemigas en el sector."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","No puedes activar este módulo a menos que haya naves enemigas al alcance."
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","No se puede activar, no se ha encontrado un objetivo de teletransporte válido"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","No puedes activar el escudo con la venganza activa."
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Hace falta que tu nave minera recoja más hidrógeno antes de poder activar este módulo."
"TID_SYSTEM_IS_PRIVATE","Este sistema estelar es privado y no se puede visitar en este momento"
"TID_FLAGHIP_NON_OFFICER","Los oficiales son los únicos que pueden dar órdenes a la nave insignia de la corporación."
"TID_FLAGSHIP_IN_ANOTHER_STAR","La nave insignia está en otra estrella."
"TID_FLAGSHIP_IN_CURRENT_STAR","La nave insignia ya está en esta estrella."
"TID_FLAGSHIP_IN_COOLDOWN","La nave insignia está en tiempo de enfriamiento."
"TID_TUT_SECTION_REWARDS_LABEL","RECOMPENSAS"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUIR UN ASTILLERO"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Los astilleros te permiten crear nuevas naves."
"TID_TUT_SELECT_SHIPYARD","• Elige tu astillero."
"TID_TUT_SELECT_PLANET","• Elige tu planeta."
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Tu imperio ha descubierto un nuevo sistema estelar."
"TID_TUT_COLONIZE_FIRST_PLANET","ESTABLECER TU PRIMERA COLONIA"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Tu imperio crece al colonizar nuevos planetas.\n\nLos planetas generan ganancias con los envíos y te permiten construir estaciones espaciales."
"TID_TUT_CONSTRUCT_SHIP","CREAR UNA NAVE MINERA"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Las naves de transporte son vitales para que tu economía prospere. Es recomendable conservar al menos una nave de transporte cerca de cada planeta colonizado. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Las naves mineras son vitales para construir infraestructuras en tus planetas."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUIR {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Las estaciones comerciales te dan envíos adicionales para entregar en tus planetas a cambio de recompensas."
"TID_TUT_UPGRADE_PLANET","MEJORAR TU PLANETA"
"TID_TUT_UPGRADE_PLANET_DESCR","Al mejorar tus planetas, se enriquece la calidad de los envíos y aumenta la cantidad máxima de recursos que puedes almacenar."
"TID_TUT_KEEP_DOING_STUFF","SEGUIR ENTREGANDO ENVÍOS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Usa tus naves de transporte para entregar envíos entre el planeta y sus lunas.\n\nLa entrega de envíos te sirve para obtener recursos y experiencia."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONIZAR UN SEGUNDO PLANETA"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","La expansión a nuevos planetas es vital para que tu imperio crezca.\n\nAntes de colonizar un planeta, tienes que mover al menos una de tus naves a la superficie. Cuantos más planetas hayas colonizado, más cara será la colonización del siguiente."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONIZAR UN PLANETA NUEVO"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Los planetas colonizados también se pueden usar para reparar tus naves. Coloniza el planeta que está cerca de tu nave de combate dañada para empezar el proceso."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Haz clic en el botón {0}."
"TID_TUT_PLACE_BUILDING_PROMPT","• Selecciona la posición de tu {0}."
"TID_TUT_SELECT_PRODUCTION","• Selecciona CONSTRUIR."
"TID_TUT_SELECT_MINER_SHIP","• Selecciona tu nave minera."
"TID_TUT_SELECT_SHIPMENTS","• Selecciona ENVÍOS."
"TID_TUT_SELECT_LOAD_SHIPMENT","• Haz clic en un envío para cargarlo."
"TID_TUT_CLOSE_SHIPMENTS","• Cierra la ventana Envíos."
"TID_TUT_CLOSE_PRODUCTION","• Cierra la ventana Producción."
"TID_TUT_CLOSE_MISSION_WINDOW","• Cierra la ventana."
"TID_TUT_SELECT_MOVE","• Selecciona MOVER."
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Usa el botón MOVER o haz clic derecho en el destino de envío iluminado."
"TID_TUT_SELECT_PROFILE","• Abre la ventana de Tu imperio."
"TID_TUT_SELECT_OBJECTIVES_TAB","• Selecciona OBJETIVOS."
"TID_TUT_SELECT_DESTINATION","• Selecciona el destino iluminado del envío."
"TID_TUT_SELECT_DEPART_NOW","• Selecciona DESPEGAR."
"TID_TUT_SELECT_DEPART_NOW_PC","• Haz clic en DESPEGAR o clic derecho en el destino."
"TID_TUT_SELECT_CANCEL_DEPART","• Selecciona CANCELAR."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Usa la orden Mover o arrastra tu nave hasta el planeta para recoger más envíos."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Haz clic en el botón MOVER o clic derecho en el planeta para coger más envíos."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Usa la orden Mover o arrastra tu nave hasta la luna para recoger más envíos."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Haz clic en el botón MOVER o clic derecho en la luna para coger más envíos."
"TID_TUT_SELECT_BUILD_BUTTON","• Selecciona {0}."
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Finaliza la producción ahora."
"TID_TUT_SELECT_SECOND_PLANET","• Selecciona el segundo planeta."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Usa la orden Mover o arrastra tu nave hasta el nuevo planeta."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Haz clic en el botón MOVER o clic derecho en el nuevo planeta."
"TID_TUT_SELECT_TRANSPORT_SHIP","• Selecciona tu nave de transporte."
"TID_TUT_SELECT_NEW_BUILDING","• Selecciona la estación."
"TIT_TUT_SELECT_MODULES","• Selecciona MÓDULOS"
"TID_TUT_CLOSE_MODULES_DLG","• Cierra la ventana Módulos."
"TID_TUT_CLOSE_WINDOW_GENERIC","• Cierra la ventana."
"TID_TUT_SELECT_TRANSPORT_MODULE","• Selecciona AMPLIACIÓN DE BODEGA."
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Selecciona la ranura vacía."
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Selecciona INSTALAR MÓDULO NUEVO."
"TID_TUT_SELECT_COLONIZE","• Selecciona COLONIZAR."
"TID_TUT_CLAIM_ACHIEVEMENT","Reclama el logro de los envíos."
"TID_TUT_MINING_TITLE","INICIAR EXTRACCIÓN"
"TID_TUT_MINING_DESCR","Los campos de asteroides contienen hidrógeno valioso. Comprueba que siempre haya naves mineras extrayendo recursos en tu imperio de forma constante."
"TID_TUT_MOVE_TO_ASTEROID","• Selecciona un campo de asteroides."
"TID_TUT_MINER_INFO","Las naves mineras recogen hidrógeno en los campos de asteroides. Seguirán extrayendo recursos en el mismo campo de asteroides hasta que se agoten."
"TID_TUT_CREATE_SECOND_TRANSPORT","CREAR UNA SEGUNDA NAVE DE TRANSPORTE"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Las naves de transporte son vitales para que tu economía prospere. Es recomendable conservar al menos una nave de transporte cerca de cada planeta colonizado. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","La estación del escáner de corto alcance te permitirá explorar sectores cercanos y adentrarte más en este sistema estelar."
"TID_TUT_REVEAL_SECTOR","EXPLORAR UN NUEVO SECTOR"
"TID_TUT_REVEAL_SECTOR_INFO","Construye un escáner de corto alcance y úsalo para encontrar y colonizar un tercer planeta."
"TID_TUT_SELECT_NEARBY_SECTOR","• Selecciona un sector cercano."
"TID_TUT_SELECT_SCOUT_SECTOR","• Selecciona tu sector escaneado."
"TID_SELECT_EXPLORE","• Selecciona DESCUBRIR."
"TID_SELECT_EXPLORATION_SPEEDUP","• Finaliza el escaneo ya."
"TID_TUT_DEFEAT_CERBERUS","DERROTAR AL CENTINELA CERBERO"
"TID_TUT_DEFEAT_CERBERUS_INFO","Las misteriosas naves de Cerbero aparecen a lo largo de la galaxia de Hades. Enfréntate a ellas con las naves de combate."
"TID_TUT_CREATE_BATTLESHIP","CREAR UNA NAVE DE COMBATE"
"TID_TUT_CREATE_BATTLESHIP_INFO","Las naves de combate son cruciales para mantener la seguridad de tus otras naves y ahuyentar a las fuerzas de Cerbero."
"TID_TUT_SELECT_BATTLESHIP","• Selecciona tu nave de combate."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Usa la orden Mover o arrastra tu nave de combate cerca del centinela Cerbero."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Haz clic en el botón MOVER o clic derecho para mover tu nave de combate cerca del centinela Cerbero."
"TID_TUT_REDSTARSCANNER_INFO","El escáner de estrellas rojas te permite encontrar y viajar a nuevas estrellas."
"TID_TUT_JUMP_TRANSPORT","SALTAR CON TU NAVE DE TRANSPORTE A LA ESTRELLA ROJA"
"TID_TUT_JUMP_TRANSPORT_INFO","Puedes mover naves entre sistemas estelares mediante los portales de salto."
"TID_TUT_SEARCH_FOR_MISSION","ESCANEAR EN BUSCAR DE UNA ESTRELLA ROJA"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Usa tu escáner de estrellas rojas para descubrir un nuevo sistema estelar."
"TID_TUT_SELECT_MISSION_BUILDING","• Selecciona tu escáner de estrellas rojas."
"TID_TUT_SELECT_SCANNER_BUTTON","• Selecciona ESCANEAR."
"TID_TUT_SELECT_MISSION_SEARCH","Selecciona INICIAR ESCANEO."
"TID_TUT_CONFIRM_JUMP","• Confirma el salto."
"TID_TUT_SELECT_JUMP","• Selecciona SALTAR."
"TID_TUT_MOVE_TO_STARGATE","• Usa la orden Mover o arrastra tu nave hasta el escáner de estrellas rojas."
"TID_TUT_MOVE_TO_STARGATE_PC","• Haz clic en el botón MOVER o clic derecho para mover tu nave de combate hacia el escáner de estrellas rojas."
"TID_TUT_BRING_ARTIFACT","TRAER UN ARTEFACTO DE LA ESTRELLA ROJA"
"TID_TUT_BRING_ARTIFACT_INFO","Los planetas próximos a las estrellas rojas son ricos en artefactos. Trae un artefacto para poder empezar a investigarlo."
"TID_TUT_VIEW_MISSION_STAR","• Selecciona IR A ESTRELLA."
"TID_TUT_MOVE_BACK_TO_STARGATE","• Haz retroceder a tu nave hasta el portal de salto."
"TID_TUT_MOVE_TO_PLANET","• Mueve tu nave de transporte hasta el planeta."
"TID_TUT_SELECT_LOAD_ARTIFACT","• Haz clic en el artefacto para empezar a cargarlo."
"TID_TUT_RESEARCH_STATION_INFO","Las estaciones de investigación te permiten estudiar los artefactos. Construye ahora una en tu sistema estelar."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Mueve tu nave de transporte hasta la estación de investigación."
"TID_TUT_SELECT_RESEARCH_STATION","• Selecciona tu estación de investigación."
"TID_TUT_SELECT_RESEARCH_BUTTON","Selecciona Investigar."
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Selecciona el artefacto."
"TID_TAP_ON_START_RESEARCH","• Selecciona INICIAR INVESTIGACIÓN."
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Selecciona FINALIZAR AHORA"
"TID_COLLECT_ARTIFACT_REWARD","• Selecciona VER RESULTADOS"
"TID_TUT_SELECT_UPGRADE","• Selecciona MEJORAR."
"TID_TUT_DO_UPGRADE","• Confirma la mejora"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Finaliza la mejora ahora"
"TID_TUT_HINT_MOVEMENT","Cuando una nave haya despegado, no podrás cambiar su rumbo. Tendrás que esperar a que llegue a su destino."
"TID_TUT_HINT_RS_SUPERNOVA","Las estrellas rojas se convertirán en supernova poco después de que se descubran. Asegúrate de que tus naves vuelvan al portal de salto antes de que se detenga el temporizador."
"TID_TUT_HINT_MINING","Tu nave minera seguirá extrayendo recursos hasta que todos los campos de asteroides de su sector hexagonal se hayan agotado o hasta que la capacidad de hidrógeno llegue al máximo."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Cuando se complete la construcción, el escáner de corto alcance te permitirá empezar a explorar nuevos sectores en este sistema estelar."
"TID_TUT_RED_STAR_SCANNER","Cuando el escáner de estrellas rojas detecte una nueva estrella, actuará como un portal estelar y permitirá que las naves atracadas salten al nuevo sistema."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Finaliza la construcción ya"
"TID_TUT_HINT_COMBAT","Las naves de combate tienen una distancia de ataque que podrás ver al seleccionarlas. Atacarán automáticamente a las naves enemigas que estén dentro de esa distancia."
"TID_TUT_HINT_HYDRO","Mover una nave cuesta hidrógeno. Mantén controlado tu suministro total de hidrógeno y asegúrate de que siempre tienes naves mineras recogiendo hidrógeno de los campos de asteroides."
"TID_TUT_HINT_KEEPSHIPPING","Puedes seguir entregando envíos para obtener ingresos mientras tu nave de combate esté viajando."
"TID_TUT_HINT_REPAIR","Las naves dañadas se repararán poco a poco al atracar en un planeta colonizado, una luna o una estación."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Los planetas de las estrellas rojas tienen artefactos que se pueden investigar. A diferencia de los envíos normales, los artefactos tardan un tiempo para cargarse en las naves de transporte."
"TID_TUT_HINT_RESEARCH_STATION","La estación de investigación puede almacenar, investigar o rescatar todos los artefactos que recuperes."
"TID_TUT_RETURN_HOME","• Regresa a tu estrella natal"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","NOTIFICACIONES"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star puede enviar notificaciones a tu dispositivo para eventos importantes, por ejemplo si tu nave minera necesita órdenes.\n\nSi no quieres recibirlas, puedes activarlas luego en los ajustes del dispositivo."
"TID_TUT_SHIPYARD_HINT","Los astilleros te permiten crear naves adicionales. Se pueden mejorar para aumentar la capacidad total de tu flota."
"TID_TUT_UPGRADE_SHIPYARD","MEJORAR TU ASTILLERO"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Mejora tu astillero al nivel {0} para poder construir más naves."
"TID_TUT_VIEW_OBJECTIVES","VER OBJETIVOS"
"TID_TUT_VIEW_OBJECTIVES_DESCR","La ventana Objetivos ofrece metas adicionales y orientación en tu viaje por la galaxia de Hades."
"TID_TUT_INSTALL_MODULE","INSTALAR UN MÓDULO"
"TID_TUT_INSTALL_MODULE_DESCR","Las naves se pueden mejorar instalando módulos. Los módulos pueden ser activos o pasivos y ofrecen ventajas únicas para cada nave."
"TID_TUT_OPEN_TECH_WINDOW","• Abre la ventana de Tecnología"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Cierra la pestaña de selección"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Selecciona tu módulo recién descubierto"
"TID_TUT_SELECT_BACK","• Regresa"
"TID_TUT_FINISH_MODULE_UPGRADE","• Finaliza la mejora ahora"
"TID_TUT_START_MODULE_UPGRADE","• Inicia el proceso de desbloqueo del módulo"
"TID_TUT_SELECT_EDIT_MODULES","• Selecciona Instalar módulos"
"TID_TUT_CLAIM_OBJECTIVE","• Reclama el objetivo completado."
"TID_BUILDING_SHIPYARD","ASTILLERO"
"TID_BUILDING_SHIPYARD_DESCR","Permite la construcción de naves. Mejóralo para aumentar la capacidad total de la flota de tu imperio."
"TID_BUILDING_REDSTAR_SCANNER","ESCÁNER DE ESTRELLAS ROJAS"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Puede detectar estrellas rojas cercanas."
"TID_BUILDING_REDSTAR_SCANNER_INFO","El escáner de estrellas rojas puede detectar estrellas cercanas que vayan a convertirse en supernovas. Esas estrellas suelen tener planetas con artefactos valiosos, pero están custodiadas por las fuerzas de Cerbero.\n\nOtros jugadores pueden usar sus escáneres de estrellas rojas para acceder a las mismas estrellas."
"TID_BUILDING_TRADINGSTATION","ESTACIÓN COMERCIAL"
"TID_BUILDING_TRADINGSTATION_DESCR","Crea y acepta envíos para y desde tus planetas. Tienes que situarla en un sector vacío."
"TID_BUILDING_DIPLOMACY_CENTER","ESTACIÓN DIPLOMÁTICA"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","Permite establecer relaciones diplomáticas con otros jugadores. Los jugadores que mantengan relaciones diplomáticas pueden enviar naves a los sistemas aliados."
"TID_BUILDING_DIPLOMACY_CENTER_INFO","La estación diplomática puede crear un portal de salto bidireccional con el sistema natal de otro jugador. Una vez enlazados, ambos jugadores pueden enviar naves al otro lado."
"TID_BUILDING_WARPLANE_HUB","HUB DE LA RUTA DE SALTO"
"TID_BUILDING_WARPLANE_HUB_DESCR","Dos hubs que se pueden conectar para crear una ruta de salto temporal en tu sistema. Una ruta de salto activa permite que las naves viajen al momento y sin consumir hidrógeno."
"TID_BUILDING_WARPLANE_HUB_INFO","Este hub de la ruta de salto se puede conectar a otro hub durante un día por un coste fijo de hidrógeno. Una vez conectados, las naves pueden viajar entre los dos extremos al instante y sin consumir hidrógeno."
"TID_BUILDING_STARGATE","PORTAL DE SALTO"
"TID_BUILDING_STARGATE_DESCR","Estas estructuras misteriosas, desperdigadas por toda la galaxia de Hades, permiten a las naves saltar entre sistemas estelares."
"TID_BUILDING_RESEARCH","ESTACIÓN DE INVESTIGACIÓN"
"TID_BUILDING_RESEARCH_DESCR","Analiza artefactos que se encuentran en estrellas rojas."
"TID_BUILDING_RESEARCH_INFO","La estación de investigación puede almacenar e investigar artefactos. Envía tu nave de transporte aquí para depositar automáticamente nuevos artefactos."
"TID_BUILDING_SHORT_RANGE_SCANNER","ESCÁNER DE CORTO ALCANCE"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","Puede descubrir sectores secretos adyacentes al sector en el que se sitúa dicho escáner."
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","Este escáner te permite descubrir sectores adyacentes a tu sistema estelar."
"TID_BLD_REDSTAR_UPGRADE","Al mejorar el escáner de estrellas rojas, podrás encontrar estrellas rojas de más nivel que contienen mejores artefactos, pero que están custodiadas por fuerzas de Cerbero."
"TID_BLD_SHIPYARD_UPGRADE","Al mejorar el astillero, podrás gestionar un mayor número de naves."
