"TID_INTRO_MESSAGE_TITLE","BIENVENUE DANS HADES' STAR"
"TID_RS_ASTEROID_FIELD_DESCR","Les ceintures d'astéroïdes dans les étoiles rouges contiennent de l'hydrogène qui ne peut être récupéré par des vaisseaux de forage et utilisé pour activer des modules que dans l'étoile rouge. L'hydrogène récupéré ne peut pas être transféré hors de l'étoile rouge.\n\nChaque joueur dans l'étoile rouge possède son propre stock d'hydrogène. Vous ne pouvez pas voler ou partager l'hydrogène avec d'autres joueurs."
"TID_CLONED_ASTEROID","Astéroïde scanné"
"TID_CLONED_ASTEROID_DESCR","Les astéroïdes scannés ont une durée de vie limitée. Leur hydrogène pourra être récupéré avant leur expiration."
"TID_COLONIZATION_STARTING","Début de la colonisation dans {0}"
"TID_DISBAND_FLEET_CONFIRM","Voulez-vous vraiment détruire ce vaisseau pour toujours ? Ceci augmentera la capacité de votre flotte."
"TID_DISBAND_WS_CONFIRM","Le démantèlement de vaisseaux dans des étoiles blanches entraîne une lourde pénalité de suspension. Vous ne pourrez pas remplacer les vaisseaux dans cette étoile blanche avant longtemps.\n\nPoursuivre le démantèlement ?"
"TID_DISBAND_DRONE_CONFIRM","Voulez-vous vraiment détruire ce drone dès maintenant ?"
"TID_STATUS_UPGRADING","Amélioration en cours..."
"TID_STATUS_COLONIZING","Colonisation en cours..."
"TID_DISTANCE","{0}UA"
"TID_CONFIRM_DLG_TITLE","CONFIRMER"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Échec du chargement du système stellaire"
"TID_MSG_QUIT_GAME","Voulez-vous vraiment quitter le jeu ?"
"TID_CMD_FAILED_TUTORIAL","Cette action n'est pas disponible à cette étape du didacticiel."
"TID_MSG_CANNOT_JUMP_SHIP","Échec du saut"
"TID_SHARE_MESSAGE_LABEL","MESSAGE"
"TID_SHARE_BUTTON_SUBMIT","ENVOYER"
"TID_SHARE_BUTTON_CANCEL","ANNULER"
"TID_SHARE_VIEW_DEFAULT_MSG","Regardez un peu ça !"
"TID_SHARE_VIEW_DESCR","Sélectionnez une vue dans ce système stellaire pour la partager avec votre corporation"
"TID_BACK_BUTTON","Retour"
"TID_FINISH_REPAIR_CONFIRM","Terminer les réparations du vaisseau immédiatement ?"
"TID_PLAYER_JOIN_RED_STAR","{0} a rejoint cette étoile rouge"
"TID_PLAYER_ABANDON_RED_STAR","{0} a abandonné votre étoile rouge"
"TID_MAINTENANCE_MESSAGE","Veuillez nous excuser pour la récente panne de serveur. Nous avons ajouté {0} cristaux à votre compte en guise de dédommagement. Nous vous remercions de votre patience !\n\n- L'équipe d'Hades' Star"
"TID_FEATURE_DISABLED","Cette fonction est temporairement indisponible."
"TID_KEYBOARD_SHORTCUT","Raccourci : <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Vous devez étendre davantage votre système stellaire avant de pouvoir construire cette station"
"TID_BONUS_INDICATOR","BONUS"
"TID_LEVEL_GENERIC","NIVEAU {0}"
"TID_LEVEL_ARTIFACT","ÉTOILE ROUGE DE NIVEAU {0}"
"TID_WS_CONFIRM_DLG_COOLDOWN","Temps de récupération : {0}"
"TID_WS_CONFIRM_DLG_COOLDOWN_INFO","Pour cette étoile blanche, le temps de récupération sera maintenu pour le même module, même si vous utilisez un tout nouveau vaisseau."
"TID_CMD_FAILED_GENERIC","Échec de l'ordre"
"TID_CMD_FAILED_PLAYER","Échec de l'ordre du joueur"
"TID_CMD_FAILED_SS","Échec de l'ordre du système stellaire"
"TID_CMD_FAILED_RESOURCE_LIMIT","Vous ne pouvez pas dépenser plus de crédits que votre capacité de stockage ne le permet. Améliorez vos planètes pour augmenter votre stockage."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Le serveur est occupé. Veuillez réessayer dans quelques minutes."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Vous essayez d'envoyer plus de cuirassés que cette étoile rouge ne peut en contenir."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Vous ne pouvez pas utiliser cette porte de saut."
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Capacité insuffisante pour charger cette cargaison"
"TID_NOT_ENOUGH_CRYSTALS","Cristaux insuffisants"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Vous ne pouvez pas envoyer de vaisseaux en dehors de votre champ de visibilité."
"TID_CMD_ROUTE_EMPTY_SECTOR","Vous ne pouvez pas traverser une zone inexplorée."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Vous ne pouvez pas aller aussi loin dans ce système stellaire."
"TID_CMD_CANT_UPGRADE_PLANET","Cette planète ne peut pas être améliorée davantage."
"TIC_CMD_ALREADY_UPGRADING_PLANET","Cette planète est déjà en cours d'amélioration."
"TID_CMD_PLANET_UPGRADE_REQUIRES_RS","Vous devez améliorer votre scanner d'étoile rouge au niveau {0} avant de pouvoir améliorer cette planète."
"TID_CMD_BUILDING_LIMIT_REACHED","Vous ne pouvez pas construire plus de stations de ce type."
"TID_SCANNER_REQUIRED","Vous avez besoin d'un scanner à courte portée disponible dans un secteur adjacent."
"TID_SCANNER_ALREADY_BUSY","Votre scanner à courte portée est déjà en train de scanner un autre secteur."
"TID_MODULE_ON_COOLDOWN","Vous devez attendre que le module refroidisse avant de pouvoir le réutiliser."
"TID_MODULE_ALREADY_ACTIVATED","Le module est déjà actif."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Ce module est passif et ne peut pas être activé."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Vous devez attendre que la construction du noyau soit terminée."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Les deux noyaux doivent être inactifs pour pouvoir établir un nouveau lien."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Vous devez construire au moins deux noyaux avant de pouvoir les relier."
"TID_CANNOT_EDIT_MODULES_ON_STAR","Vous ne pouvez modifier les modules d'un vaisseau que sur votre étoile d'origine."
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Seul le propriétaire de la planète peut utiliser cette cargaison."
"TID_CMD_LEAP_NO_TARGET","Lieu de téléportation valide introuvable"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Cet avant-poste ne peut plus accueillir de cargaisons."
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","Vous ne pouvez pas vous rendre directement sur une étoile."
"TID_CMD_FAIL_CANTMOVE_BOND","Impossible de se déplacer lorsque vous êtes sous l'influence de LIEN"
"TID_ASTEROID_SPAWN_LIMIT","Ce secteur ne peut pas héberger d'autres champs d'astéroïdes"
"TID_GENESIS_INVALID_SECTOR","Impossible d'utiliser Genèse dans le secteur de l'étoile"
"TID_GENESIS_SYSTEM_MAX","Vous devez attendre que l'effet de Genèse existant expire."
"TID_RS_WRONG_MODULE_SECTOR","Ce module ne peut être utilisé que sur un secteur d'étoile rouge qui crée des astéroïdes exploitables."
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Ce module est inutilisable dans un secteur avec porte de saut sur une étoile blanche"
"TID_CAN_USE_MODULE_ON_STAR","Ce module est inutilisable sur ce type d'étoile"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","Ce module ne peut pas être activé s'il n'y a pas de vaisseaux ennemis dans le secteur"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","Ce module ne peut pas être activé s'il n'y a pas de vaisseaux ennemis à portée"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Activation impossible. Aucune cible de téléportation valide trouvée"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Impossible d'activer le bouclier tant que Vengeance est active"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Vous devez récupérer plus d'hydrogène sur votre vaisseau de forage avant de pouvoir activer ce module."
"TID_MODULE_CANT_ACTIVATE_NEED_CARGO_ONBOARD","Vous devez posséder un type de cargaison spécifique avant de pouvoir activer ce module."
"TID_SYSTEM_IS_PRIVATE","Ce système stellaire est privé et il est impossible de s'y rendre pour le moment"
"TID_FLAGHIP_NON_OFFICER","Seuls les officiers peuvent donner des ordres au vaisseau amiral de la corporation."
"TID_FLAGSHIP_IN_ANOTHER_STAR","Le vaisseau amiral est actuellement dans une autre étoile."
"TID_FLAGSHIP_IN_CURRENT_STAR","Le vaisseau amiral est déjà dans cette étoile."
"TID_FLAGSHIP_ANOTHER_JUMPED_IN","Vous ne pouvez téléporter qu'un seul vaisseau amiral vers une étoile blanche."
"TID_FLAGSHIP_IN_COOLDOWN","Le vaisseau amiral subit actuellement un temps de récupération."
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_SC","Vous devez déverrouiller le module I.A. DE CARGAISON avant de pouvoir envoyer un drone de cargaison."
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_TB","Vous devez déverrouiller le module POUSSÉE D'ÉCHANGES avant de pouvoir envoyer un drone de cargaison."
"TID_WS_SHIP_UNUSEABLE","Ce vaisseau ne peut pas être utilisé en dehors des Étoiles Blanches."
"TID_START_NEW_GAME","COMMENCER UNE NOUVELLE PARTIE"
"TID_TRANSFER_EXISTING_GAME","RESTAURER UNE PARTIE EXISTANTE"
"TID_STEAM_ACCOUNT_LABEL","Compte Steam®"
"TID_GAMECENTER_ACCOUNT_LABEL","Compte Game Center"
"TID_GAMECENTER_SIGNIN_INSTRUCTIONS","Pour vous connecter à Game Center, ouvrez l'application Réglages iOS et faites défiler jusqu'à Game Center. Assurez-vous que Game Center est activé, et connectez-vous avec votre identifiant Apple. Une fois la connexion établie, relancez Hades' Star."
"TID_GOOGLEPLAY_ACCOUNT_LABEL","Compte Google Play"
"TID_STAR_DISCOVERED_ON_TID_MONTH_YEAR","Découverte en {0} {1}"
"TID_DLG_TITLE_ERROR","ERREUR"
"TID_ERROR_MUST_LOGIN_IOS","Vous devez vous connecter à Game Center pour pouvoir charger une partie précédente. Ouvrez l'application Réglages iOS, puis faites défiler jusqu'à l'option Game Center."
"TID_ERROR_MUST_LOGIN_ANDROID","Vous devez vous connecter avec Google Play pour pouvoir charger une partie précédente."
"TID_NEW_GAME_SIGNIN_HINT","Connectez-vous pour sauvegarder votre progression et accéder au jeu depuis plusieurs appareils."
"TID_NEW_GAME_INTRO_TEXT","Votre flotte a atteint la galaxie d'Hades."
"TID_TUT_SECTION_REWARDS_LABEL","RÉCOMPENSES"
"TID_TUT_SECTION_NEXT_OBJECTIVE_LABEL","OBJECTIF SUIVANT"
"TID_TUT_SECTION_SPECIAL_OBJECTIVE_LABEL","OBJECTIF SPÉCIAL"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUIRE UN CHANTIER SPATIAL"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Les chantiers spatiaux vous permettent de créer de nouveaux vaisseaux."
"TID_TUT_SELECT_SHIPYARD","• Sélectionnez votre chantier spatial"
"TID_TUT_SELECT_RELAY","• Sélectionnez votre RELAIS DE CARGAISON."
"TID_TUT_SELECT_SHIP","• Sélectionnez votre vaisseau."
"TID_TUT_SELECT_PLANET","• Sélectionnez votre planète"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Votre empire a découvert un nouveau système stellaire"
"TID_TUT_COLONIZE_FIRST_PLANET","ÉTABLISSEZ VOTRE PREMIÈRE COLONIE"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Les planètes sont essentielles à la croissance et à l'économie de votre Empire.\n\nElles vous fournissent un revenu grâce aux cargaisons et vous permettent de construire des stations spatiales."
"TID_TUT_CONSTRUCT_SHIP","CONSTRUISEZ UN VAISSEAU DE FORAGE"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Les vaisseaux de transport sont esssentiels au développement de votre économie. Il est conseillé d'en avoir au moins un autour de chaque planète que vous avez colonisée. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Les vaisseaux de forage sont nécessaires à la construction d'infrastructures autour de vos planètes."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUISEZ 1 {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Les stations d'échange vous offrent des cargaisons supplémentaires qui peuvent être livrées à vos planètes pour gagner de l'argent."
"TID_TUT_UPGRADE_PLANET","AMÉLIOREZ VOTRE PLANÈTE"
"TID_TUT_UPGRADE_PLANET_DESCR","Améliorez vos planètes pour augmenter la qualité de vos cargaisons ainsi que la quantité maximale de ressources que vous pouvez stocker."
"TID_TUT_KEEP_DOING_STUFF","CONTINUEZ À LIVRER DES CARGAISONS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Utilisez vos vaisseaux de transport pour livrer des cargaisons entre une planètes et ses lunes.\n\nLa livraison de cargaisons vous fait gagner de l'expérience et de précieuses ressources."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONISEZ UNE DEUXIÈME PLANÈTE"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","Il est vital de coloniser de nouvelles planètes afin d'agrandir votre empire.\n\nVous devez avoir placé au moins l'un de vos vaisseaux à la surface d'une planète pour pouvoir la coloniser. Plus vous colonisez de planètes, plus le prix de colonisation des planètes suivantes augmente."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONISEZ LA NOUVELLE PLANÈTE"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Les planètes colonisées peuvent être utilisées pour réparer vos vaisseaux. Colonisez la planète près de votre cuirassé endommagé afin de lancer le processus."
"TID_TUT_PLACE_BUILDING_PROMPT","• Sélectionnez une position pour votre {0}"
"TID_TUT_SELECT_PRODUCTION","• Sélectionnez PRODUCTION."
"TID_TUT_SELECT_SHIPS_TAB","• Ouvrez l'onglet VAISSEAUX."
"TID_TUT_RETURN_TO_PREV_SCREEN","• Appuyez sur RETOUR."
"TID_TUT_SELECT_MINER_SHIP","• Sélectionnez votre vaisseau de forage"
"TID_TUT_SELECT_SHIPMENTS","• Sélectionnez CARGAISONS"
"TID_TUT_SELECT_USE_RELAY","• Sélectionnez ACTIVER LE RELAIS."
"TID_TUT_SELECT_LOAD_SHIPMENT","• Cliquez sur une cargaison pour la charger"
"TID_TUT_SELECT_MOVE","• Sélectionnez DÉPLACER"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Utilisez le bouton DÉPLACER ou faites un clic droit sur la destination de la cargaison en surbrillance"
"TID_TUT_SELECT_PROFILE","• Ouvrez votre fenêtre d'empire"
"TID_TUT_SELECT_OBJECTIVES_TAB","• Sélectionnez OBJECTIFS"
"TID_TUT_SELECT_DESTINATION","• Sélectionnez la destination en surbrillance de la cargaison"
"TID_TUT_SELECT_DEPART_NOW","• Sélectionnez DÉPART"
"TID_TUT_SELECT_DEPART_NOW_PC","• Cliquez sur DÉPART ou faites un clic droit sur la destination"
"TID_TUT_SELECT_DEPART_NOW_GP","• Appuyez <sprite index=2> sur la destination pour partir immédiatement."
"TID_TUT_SELECT_CANCEL_DEPART","• Sélectionnez ANNULER"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la planète pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la planète pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_GP","• Maintenez <sprite index=2> et relâchez sur la planète de destination pour vous y rendre."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la lune pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la lune pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_GP","• Maintenez <sprite index=2> et relâchez sur la lune de destination pour vous y rendre."
"TID_TUT_SELECT_BUILD_BUTTON","• Sélectionnez {0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Terminez la production immédiatement"
"TID_TUT_SELECT_SECOND_PLANET","• Sélectionnez la deuxième planète"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la nouvelle planète"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la nouvelle planète"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_GP","• Maintenez <sprite index=2> et relâchez sur la planète de destination."
"TID_TUT_SELECT_TRANSPORT_SHIP","• Sélectionnez votre vaisseau de transport"
"TID_TUT_SELECT_NEW_BUILDING","• Sélectionnez la station"
"TIT_TUT_SELECT_MODULES","• Sélectionnez MODULES"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Fermez la fenêtre"
"TID_TUT_SELECT_TRANSPORT_MODULE","• Sélectionnez EXTENSION DE L'AIRE DE CHARGEMENT"
"TID_TUT_SELECT_MODULE","• Sélectionnez {0}."
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Sélectionnez l'emplacement du module."
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Sélectionnez INSTALLER UN NOUVEAU MODULE"
"TID_TUT_SELECT_REPLACE_MODULE","• Sélectionnez REMPLACER."
"TID_TUT_SELECT_COLONIZE","• Sélectionnez Coloniser"
"TID_TUT_CLAIM_ACHIEVEMENT","Récupérez l'exploit de la cargaison"
"TID_TUT_MINING_TITLE","COMMENCEZ À FORER"
"TID_TUT_MINING_DESCR","Les ceintures d'astéroïdes contiennent du précieux hydrogène. Votre empire devrait toujours avoir quelques vaisseaux de forage en activité à tout moment."
"TID_TUT_MOVE_TO_ASTEROID","• Sélectionnez une ceinture d'astéroïdes"
"TID_TUT_MINER_INFO","Les vaisseaux de forage récupèrent de l'hydrogène dans les ceintures d'astéroïdes. Ils restent sur la même ceinture d'astéroïdes jusqu'à récupérer tout l'hydrogène qu'elle contient."
"TID_TUT_CREATE_SECOND_TRANSPORT","CRÉEZ UN DEUXIÈME VAISSEAU DE TRANSPORT"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Les vaisseaux de transport sont esssentiels au développement de votre économie. Il est conseillé d'en avoir au moins un autour de chaque planète que vous avez colonisée. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","Le scanner à courte portée vous permet d'explorer les secteurs à proximité afin de pouvoir voir et voyager plus loin dans le système stellaire."
"TID_TUT_REVEAL_SECTOR","EXPLOREZ UN NOUVEAU SECTEUR"
"TID_TUT_REVEAL_SECTOR_INFO","Fabriquez un scanner à courte portée et utilisez-le afin de trouver et de coloniser une troisième planète."
"TID_TUT_SELECT_NEARBY_SECTOR","• Sélectionnez un secteur à proximité"
"TID_TUT_SELECT_SHIPMENTS_SECTOR","• Sélectionnez un secteur avec des cargaisons."
"TID_TUT_SELECT_SCOUT_SECTOR","• Sélectionnez le secteur scanné"
"TID_SELECT_EXPLORE","• Sélectionnez DÉVOILER"
"TID_SELECT_EXPLORATION_SPEEDUP","• Terminez le scan immédiatement"
"TID_TUT_DEFEAT_CERBERUS","BATTEZ LA SENTINELLE CERBÈRE"
"TID_TUT_DEFEAT_CERBERUS_INFO","De mystérieux vaisseaux Cerbères peuvent apparaître à travers la galaxie d'Hades. Repoussez-les en utilisant vos cuirassés."
"TID_TUT_CREATE_BATTLESHIP","CRÉEZ UN CUIRASSÉ"
"TID_TUT_CREATE_BATTLESHIP_INFO","Les cuirassés sont nécessaires pour garder vos autres vaisseaux en sécurité et repousser les forces Cerbères."
"TID_TUT_SELECT_BATTLESHIP","• Sélectionnez votre cuirassé"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Utilisez l'ordre de déplacement ou bien faites glisser votre cuirassé près de la sentinelle Cerbère"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit pour déplacer votre cuirassé près de la sentinelle Cerbère"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_GP","• Maintenez <sprite index=2> et relâchez près d'une sentinelle Cerbère pour vous y rendre."
"TID_TUT_REDSTARSCANNER_INFO","Le scanner d'étoile rouge vous permet de trouver et de voyager vers de nouveaux systèmes."
"TID_TUT_JUMP_TRANSPORT","FAITES SAUTER VOTRE VAISSEAU DE TRANSPORT VERS L'ÉTOILE ROUGE"
"TID_TUT_JUMP_TRANSPORT_INFO","Vous pouvez déplacer des vaisseaux entre des systèmes stellaires en utilisant des portes de saut."
"TID_TUT_SEARCH_FOR_MISSION","SCANNEZ POUR TROUVER UNE ÉTOILE ROUGE"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Utilisez votre scanner d'étoile rouge pour découvrir un nouveau système stellaire."
"TID_TUT_SELECT_MISSION_BUILDING","• Sélectionnez votre scanner d'étoile rouge"
"TID_TUT_SELECT_BLS_SCANNER","• Sélectionnez votre scanner d'étoile bleue."
"TID_TUT_SELECT_SCANNER_BUTTON","• Sélectionnez SCANNER"
"TID_TUT_SELECT_MISSION_SEARCH","• Sélectionnez LANCER LE SCAN."
"TID_TUT_SELECT_DISMISS","• Sélectionnez FERMER."
"TID_TUT_SELECT_JUMP_SHIPS","• Sélectionnez TÉLÉPORTER LES VAISSEAUX."
"TID_TUT_CONFIRM_JUMP","• Confirmez le saut"
"TID_TUT_SELECT_JUMP","• Sélectionnez SAUTER"
"TID_TUT_MOVE_TO_STARGATE","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers le scanner d'étoile rouge"
"TID_TUT_MOVE_TO_BLS_SCANNER","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers le scanner d'étoile bleue."
"TID_TUT_MOVE_TO_STARGATE_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit pour déplacer votre vaisseau jusqu'au scanner d'étoile rouge"
"TID_TUT_MOVE_TO_STARGATE_GP","• Maintenez <sprite index=2> et relâchez sur le scanner d'étoile rouge pour vous y rendre."
"TID_TUT_BRING_ARTIFACT","RÉCUPÉREZ UN ARTÉFACT SUR L'ÉTOILE ROUGE"
"TID_TUT_BRING_ARTIFACT_INFO","Les planètes près des étoiles rouges sont riches en artéfacts. Récupérez un artéfact afin de pouvoir commencer à le rechercher."
"TID_TUT_VIEW_MISSION_STAR","• Sélectionnez ALLER À L'ÉTOILE"
"TID_TUT_GO_TO_RED_STAR","• Visitez votre ÉTOILE ROUGE active."
"TID_TUT_GO_TO_BLUE_STAR","• Visitez votre ÉTOILE BLEUE active."
"TID_TUT_MOVE_BACK_TO_STARGATE","• Déplacez votre vaisseau jusqu'à la porte de saut"
"TID_TUT_MOVE_TO_PLANET","• Déplacez votre vaisseau de transport jusqu'à la planète"
"TID_TUT_SELECT_LOAD_ARTIFACT","• Cliquez sur l'artéfact pour commencer à le charger"
"TID_TUT_RESEARCH_STATION_INFO","Vous avez besoin d'une station de recherche pour étudier ces artéfacts. Construisez-en une dans votre système stellaire dès maintenant."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Déplacez votre vaisseau de transport jusqu'à la station de recherche"
"TID_TUT_SELECT_RESEARCH_STATION","• Sélectionnez votre station de recherche"
"TID_TUT_SELECT_RESEARCH_BUTTON","• Sélectionnez RECHERCHER."
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Sélectionnez l'artéfact"
"TID_TAP_ON_START_RESEARCH","• Sélectionnez LANCER LA RECHERCHE"
