"TID_INTRO_MESSAGE_TITLE","欢迎来到HADES' STAR"
"TID_CMD_FAILED_GENERIC","命令失败"
"TID_CMD_FAILED_PLAYER","玩家命令失败"
"TID_CMD_FAILED_SS","恒星系统命令失败"
"TID_CMD_FAILED_RESOURCE_LIMIT","花费的星币数量不能超过储存空间允许的上限。升级您的星球以增加储存空间。"
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","服务器繁忙。请稍候再试一次。"
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","您要进行星际跳跃的战斗舰超出该红巨星支持的数量"
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","不能使用该星际跳跃门"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","容量不足，无法装载此货物"
"TID_NOT_ENOUGH_CRYSTALS","水晶不足"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","不能将船舰派至您的能见范围外"
"TID_CMD_ROUTE_EMPTY_SECTOR","不能穿过未探索空间"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","不能在该恒星系统中移动过远"
"TID_CMD_CANT_UPGRADE_PLANET","该星球无法再升级了"
"TIC_CMD_ALREADY_UPGRADING_PLANET","星球已在升级中"
"TID_CMD_PLANET_UPGRADE_REQUIRES_RS","你必须先将红巨星扫描仪升到{0}级才能升级该星球。"
"TID_CMD_BUILDING_LIMIT_REACHED","您无法建造更多此类空间站"
"TID_SCANNER_REQUIRED","您需要在相邻星区有一座空闲的短距扫描仪"
"TID_SCANNER_ALREADY_BUSY","您的短距扫描仪已在扫描另一个星区"
"TID_MODULE_ON_COOLDOWN","您需要等待模组冷却才能再次使用"
"TID_MODULE_ALREADY_ACTIVATED","该模组已激活"
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","被动模组不可被激活"
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","您必须等待枢纽建设完成"
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","要新建链接，两个枢纽须均处于未激活状态"
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","您必须先建造至少两个枢纽才能加以链接"
"TID_CANNOT_EDIT_MODULES_ON_STAR","您无法在母星外变更船舰模组"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","只有星球拥有者才能使用此货物"
"TID_CMD_LEAP_NO_TARGET","找不到有效传送位置"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","该哨站无法储存更多货物"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","您不能直接驶向恒星"
"TID_CMD_FAIL_CANTMOVE_BOND","被捆绑效果作用期间无法移动"
"TID_ASTEROID_SPAWN_LIMIT","该星区无法支持更多小行星带"
"TID_GENESIS_INVALID_SECTOR","无法在恒星星区使用创世纪模组"
"TID_GENESIS_SYSTEM_MAX","你必须先等待已有的“创世纪”效果失效。"
"TID_RS_WRONG_MODULE_SECTOR","该模组只能用于可生成采矿用小行星的红巨星星区。"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","无法在白星跳跃门星区使用该模组"
"TID_CAN_USE_MODULE_ON_STAR","无法在该种类恒星上使用该模组"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","该模组只能在星区中出现敌舰时激活"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","该模组只能在射程内出现敌舰时激活"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","未找到有效传送目标，无法激活模组"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","报仇雪恨激活时无法启用护盾"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","您的采矿舰上收集的氢气不足，无法激活该模组。"
"TID_MODULE_CANT_ACTIVATE_NEED_CARGO_ONBOARD","该模组需要有特定的货物类型才能激活。"
"TID_SYSTEM_IS_PRIVATE","这是私人恒星系统，暂时无法访问"
"TID_FLAGHIP_NON_OFFICER","只有干事能对星际集团旗舰下达指令。"
"TID_FLAGSHIP_IN_ANOTHER_STAR","旗舰当前处于另一颗白星中。"
"TID_FLAGSHIP_IN_CURRENT_STAR","旗舰已处于该恒星处。"
"TID_FLAGSHIP_ANOTHER_JUMPED_IN","一颗白星只能容得下你的一艘旗舰。"
"TID_FLAGSHIP_IN_COOLDOWN","旗舰当前正在冷却。"
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_SC","你必须先解锁“货运计算机”模组，然后才能发射运输无人舰。"
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_TB","你必须先解锁“贸易爆发”模组，然后才能发射运输无人舰。"
"TID_START_NEW_GAME","开始新游戏"
"TID_TRANSFER_EXISTING_GAME","恢复已有的游戏"
"TID_STEAM_ACCOUNT_LABEL","Steam®账户"
"TID_GAMECENTER_ACCOUNT_LABEL","GameCenter账户"
"TID_GAMECENTER_SIGNIN_INSTRUCTIONS","要登录GameCenter，请打开iOS设置，然后下滑找到GameCenter。确保GameCenter已启用，然后用你的Apple ID进行登录。登录完成后，请重启《Hades' Star》。"
"TID_GOOGLEPLAY_ACCOUNT_LABEL","Google Play账户"
"TID_STAR_DISCOVERED_ON_TID_MONTH_YEAR","发现于{1}年{0}月"
"TID_DLG_TITLE_ERROR","错误"
"TID_ERROR_MUST_LOGIN_IOS","你必须先登录GameCenter账户才能载入先前的游戏。请打开iOS设置，然后下滑找到GameCenter选项。"
"TID_ERROR_MUST_LOGIN_ANDROID","你必须先登录Google Play账户才能载入先前的游戏。"
"TID_NEW_GAME_SIGNIN_HINT","登录账户以保护你的进度并在多台设备上访问你的游戏。"
"TID_NEW_GAME_INTRO_TEXT","你的舰队已抵达Hades宇宙。"
"TID_TUT_SECTION_REWARDS_LABEL","奖励"
"TID_TUT_SECTION_NEXT_OBJECTIVE_LABEL","下一个目标"
"TID_TUT_SECTION_SPECIAL_OBJECTIVE_LABEL","特殊目标"
"TID_TUT_CONSTRUCT_SHIPYARD","建造船坞"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","船坞允许您建造新船舰。"
"TID_TUT_SELECT_SHIPYARD","• 选择您的船坞"
"TID_TUT_SELECT_RELAY","• 选择你的货运中继。"
"TID_TUT_SELECT_SHIP","• 选择你的飞船。"
"TID_TUT_SELECT_PLANET","• 选择您的星球"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","您的帝国发现了一个新的恒星系统"
"TID_TUT_COLONIZE_FIRST_PLANET","建立您第一个殖民地"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","星球对您的帝国和经济发展至关重要。\n\n它们会通过货物产生收入，也让您能够建造太空站。"
"TID_TUT_CONSTRUCT_SHIP","建造一艘采矿舰"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","运输舰对发展您的经济十分重要。最好在每个殖民星球周围保持有至少一艘运输舰。 "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","采矿舰对建造您星球周围的基础设施十分重要。"
"TID_TUT_CONSTRUCT_SPACE_STATION","建造一个{0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","太空交易站为您提供额外货物，将这些货物运送至您的星球可获得收益。"
"TID_TUT_UPGRADE_PLANET","升级您的星球"
"TID_TUT_UPGRADE_PLANET_DESCR","升级您的星球可改善货物质量，增加最大资源储量"
"TID_TUT_KEEP_DOING_STUFF","不断运送货物"
"TID_TUT_KEEP_DOING_STUFF_DESCR","使用您的运输舰在星球和卫星之间运送货物。\n\n运送货物能为您赚取资源和经验。"
"TID_TUT_COLONIZE_SECOND_PLANET","殖民第二个星球"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","拓展新星球对您的帝国发展十分重要。\n\n在能对星球进行殖民之前，您必须至少将一艘船舰移动至星球表面。您殖民的星球越多，下一次殖民的成本就越高。"
"TID_TUT_COLONIZE_THIRD_PLANET","殖民新的星球"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","已殖民的星球可用来维修您的船舰。殖民您受损战斗舰附近的星球开始维修。"
"TID_TUT_PLACE_BUILDING_PROMPT","• 选择您{0}的位置"
"TID_TUT_SELECT_PRODUCTION","• 选择生产。"
"TID_TUT_SELECT_SHIPS_TAB","• 打开“船舰”选项卡。"
"TID_TUT_RETURN_TO_PREV_SCREEN","• 点击“返回”。"
"TID_TUT_SELECT_MINER_SHIP","• 选择您的采矿舰"
"TID_TUT_SELECT_SHIPMENTS","• 选择货物"
"TID_TUT_SELECT_USE_RELAY","• 选择“激活货运中继”。"
"TID_TUT_SELECT_LOAD_SHIPMENT","• 点击货物进行装载"
"TID_TUT_SELECT_MOVE","• 选择移动"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• 使用移动按钮或右键单击发光的货物目的地"
"TID_TUT_SELECT_PROFILE","• 打开您的帝国窗口"
"TID_TUT_SELECT_OBJECTIVES_TAB","• 选择目标"
"TID_TUT_SELECT_DESTINATION","• 选择闪烁的货物目的地"
"TID_TUT_SELECT_DEPART_NOW","• 选择启航"
"TID_TUT_SELECT_DEPART_NOW_PC","• 单击“启航”或右键单击目的地"
"TID_TUT_SELECT_DEPART_NOW_GP","• 对着目的地点击<sprite index=2>，立即起航。"
"TID_TUT_SELECT_CANCEL_DEPART","• 选择取消"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• 使用移动命令或将您的船拖拽至星球，以装载更多的货物"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• 单击移动按钮或右键单击该星球以拾取更多货物"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_GP","• 按住<sprite index=2>然后对着目的地星球松开，移动到那里。"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• 使用移动命令或将您的船拖拽至卫星，以装载更多的货物"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• 单击移动按钮或右键单击卫星以拾取更多货物"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_GP","• 按住<sprite index=2>然后对着目的地卫星松开，移动到那里。"
"TID_TUT_SELECT_BUILD_BUTTON","• 选择{0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• 立刻完成生产"
"TID_TUT_SELECT_SECOND_PLANET","• 选择第二个星球"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• 使用移动命令或将您的船拖拽至新的星球"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• 单击移动按钮或右键单击新的星球"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_GP","• 按住<sprite index=2>然后对着目的地星球松开。"
"TID_TUT_SELECT_TRANSPORT_SHIP","• 选择您的运输舰"
"TID_TUT_SELECT_NEW_BUILDING","• 选择太空站"
"TIT_TUT_SELECT_MODULES","• 选择模组"
"TID_TUT_CLOSE_WINDOW_GENERIC","• 关闭窗口"
"TID_TUT_SELECT_TRANSPORT_MODULE","• 选择货舱拓展"
"TID_TUT_SELECT_MODULE","• 选择{0}。"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• 选择模组槽位。"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• 选择安装新模组"
"TID_TUT_SELECT_REPLACE_MODULE","• 选择“替换”。"
"TID_TUT_SELECT_COLONIZE","• 选择殖民"
"TID_TUT_CLAIM_ACHIEVEMENT","获得货物成就"
"TID_TUT_MINING_TITLE","开始采矿"
"TID_TUT_MINING_DESCR","小行星带含有珍贵的氢气资源。您应当保证自己的帝国至少有几艘采矿舰总在忙着采矿。"
"TID_TUT_MOVE_TO_ASTEROID","• 选择一个小行星带"
"TID_TUT_MINER_INFO","采矿舰从小行星带采集氢气。它们会持续从同一个小行星带采集，直到资源耗尽。"
"TID_TUT_CREATE_SECOND_TRANSPORT","建造第二艘运输舰"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","运输舰对发展您的经济十分重要。最好在每个殖民星球周围保持有至少一艘运输舰。 "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","短距扫描仪太空站允许您探索附近星区，让您能在这个恒星系统中看得和行驶得更远。"
"TID_TUT_REVEAL_SECTOR","探索新的星区"
"TID_TUT_REVEAL_SECTOR_INFO","建造一架短距扫描仪，使用它找到并殖民第三颗星球。"
"TID_TUT_SELECT_NEARBY_SECTOR","• 选择附近的一个星区"
"TID_TUT_SELECT_SHIPMENTS_SECTOR","• 选择一个有货物的星区。"
"TID_TUT_SELECT_SCOUT_SECTOR","• 选择您已扫描的星区"
"TID_SELECT_EXPLORE","• 选择揭示"
"TID_SELECT_EXPLORATION_SPEEDUP","• 立刻完成扫描"
"TID_TUT_DEFEAT_CERBERUS","击败冥犬哨兵舰"
"TID_TUT_DEFEAT_CERBERUS_INFO","Hades宇宙遍布神秘的冥犬船舰。使用战斗舰击败它们。"
"TID_TUT_CREATE_BATTLESHIP","建造一艘战斗舰"
"TID_TUT_CREATE_BATTLESHIP_INFO","战斗舰对保护您其他船舰的安全、击退冥犬舰队十分重要。"
"TID_TUT_SELECT_BATTLESHIP","• 选择您的战斗舰"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• 使用移动命令或将您的战斗舰拖拽至冥犬哨兵舰附近"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• 单击移动按钮或右键单击将您的战斗舰移动到冥犬哨兵舰附近"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_GP","• 按住<sprite index=2>然后在冥犬哨兵舰附近松开，移动到那里。"
"TID_TUT_REDSTARSCANNER_INFO","红巨星扫描仪让您能找到并行驶至新的恒星系统"
"TID_TUT_JUMP_TRANSPORT","令您的运输舰跳跃至红巨星"
"TID_TUT_JUMP_TRANSPORT_INFO","您可以使用星际跳跃门在恒星系统之间移动。"
"TID_TUT_SEARCH_FOR_MISSION","扫描红巨星"
"TID_TUT_SEARCH_FOR_MISSION_INFO","使用您的红巨星扫描仪发现一个新的恒星系统。"
"TID_TUT_SELECT_MISSION_BUILDING","• 选择您的红巨星扫描仪"
"TID_TUT_SELECT_BLS_SCANNER","• 选择你的蓝星扫描仪。"
"TID_TUT_SELECT_SCANNER_BUTTON","• 选择扫描"
"TID_TUT_SELECT_MISSION_SEARCH","• 选择开始扫描。"
"TID_TUT_SELECT_DISMISS","• 选择“关闭”。"
"TID_TUT_SELECT_JUMP_SHIPS","• 选择“飞船跃迁”。"
"TID_TUT_CONFIRM_JUMP","• 确认星际跳跃"
"TID_TUT_SELECT_JUMP","• 选择跳跃"
"TID_TUT_MOVE_TO_STARGATE","• 使用移动命令或将您的船拖拽至红巨星扫描仪"
"TID_TUT_MOVE_TO_BLS_SCANNER","• 选择“移动”命令或将你的飞船拖动到蓝星扫描仪上。"
"TID_TUT_MOVE_TO_STARGATE_PC","• 单击移动按钮或右键单击将您的船舰移动到红巨星扫描仪"
"TID_TUT_MOVE_TO_STARGATE_GP","• 按住<sprite index=2>然后对着红巨星扫描仪松开，移动到那里。"
"TID_TUT_BRING_ARTIFACT","从红巨星取回神器"
"TID_TUT_BRING_ARTIFACT_INFO","红巨星周围的星球上有许多神器。带回一件神器开始进行研究。"
"TID_TUT_VIEW_MISSION_STAR","• 选择前往恒星"
"TID_TUT_GO_TO_RED_STAR","• 访问你已激活的红巨星。"
"TID_TUT_GO_TO_BLUE_STAR","• 访问你已激活的蓝星。"
"TID_TUT_MOVE_BACK_TO_STARGATE","• 将您的船舰移回星际跳跃门"
"TID_TUT_MOVE_TO_PLANET","• 将您的运输舰移至该星球"
"TID_TUT_SELECT_LOAD_ARTIFACT","• 点击神器开始装载"
"TID_TUT_RESEARCH_STATION_INFO","太空研究站允许您研究神器。立刻在您的恒星系统中建造一个。"
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• 将您的运输舰移至太空研究站"
"TID_TUT_SELECT_RESEARCH_STATION","• 选择您的太空研究站"
"TID_TUT_SELECT_RESEARCH_BUTTON","• 选择研究。"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• 选择神器"
"TID_TAP_ON_START_RESEARCH","• 选择开始研究"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• 选择立刻完成"
"TID_TUT_SELECT_SALVAGE","• 选择“分解”。"
"TID_COLLECT_ARTIFACT_REWARD","• 选择获取。"
"TID_TUT_SELECT_UPGRADE","• 选择升级"
"TID_TUT_DO_UPGRADE","• 确认升级"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• 立刻完成升级"
"TID_TUT_HINT_MOVEMENT","船舰一旦启航，您就不能再改变航线，必须等待船舰到达目的地。"
"TID_TUT_HINT_RS_SUPERNOVA","红巨星在被发现之后很快会发生超新星爆炸。请确保您的所有船舰都在爆炸发生前返回星际跃迁门，否则您将失去它们。"
"TID_TUT_HINT_MINING","您的采矿舰会持续收集氢气，直到其所处星区的所有小行星带资源耗尽，或您的氢气储量已满。"
"TID_TUT_HINT_SHORT_RANGE_SCANNER","建造完成后，短距扫描仪能允许您开始探索该恒星系统内新的星区。"
"TID_TUT_RED_STAR_SCANNER","一旦红巨星扫描仪侦测到新的恒星，就会变成一扇星际跳跃门，允许泊靠的船舰跳跃至新的星系。"
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• 立刻完成建造"
"TID_TUT_HINT_COMBAT","点选战斗舰可看到其攻击范围。战斗舰会自动攻击其攻击范围内的敌舰。"
"TID_TUT_HINT_HYDRO","移动运输舰需要消耗氢气。请注意总体氢气供应，确保您一直有采矿舰在小行星带中收集新的氢气资源。"
"TID_TUT_HINT_REPAIR","停泊于没有冥犬船舰的星区时，所有受损船舰都将缓慢修复。"
"TID_TUT_PLANETS_WITH_ARTIFACTS","红巨星周围的星球上有可供研究的神器。与普通货物不同，神器需要一定时间才能装载至您的运输舰上。"
"TID_TUT_OTHER_PLAYERS_IN_RS","红巨星内可能会有其他活动的玩家。你们可以合作来击败冥犬船舰。红巨星中玩家不能对战。"
"TID_TUT_PLANETS_WITH_ARTIFACTS_2","每名参与的玩家都能从每颗红巨星星球上获得独特的神器。您不可窃取其他玩家的神器。与其他玩家合作可提高你的成功率。"
"TID_TUT_HINT_RESEARCH_STATION","太空研究站能储存、研究或分解任何您找到的神器。"
"TID_TUT_RETURN_HOME","• 返回您的母星"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","通知"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star可向您的设备发送重要事件通知，例如当您的采矿舰需要新命令的时候。\n\n如果您决定禁用此类通知，可以在将来于设备设置中再启用。"
"TID_TUT_SHIPYARD_HINT","船坞允许您建造额外的船舰。升级船坞可增加您的总船舰上限。"
"TID_TUT_UPGRADE_SHIPYARD","升级您的船坞"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","将您的船坞升至第{0}级，建造更多船舰。"
"TID_TUT_VIEW_OBJECTIVES","查看目标"
"TID_TUT_VIEW_OBJECTIVES_DESCR","目标窗口为您在Hades宇宙的旅程提供额外的指引和向导。"
"TID_TUT_INSTALL_MODULE","安装一个模组"
"TID_TUT_INSTALL_MODULE_DESCR","船舰可通过安装模组进行升级。模组分可主动和被动两种，为每艘船提供独特的优势。"
"TID_TUT_OPEN_TECH_WINDOW","• 打开模组窗口。"
"TID_TUT_OPEN_STAR_WINDOW","• 打开“恒星”窗口。"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• 关闭选项卡"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• 选择您新研发的模组"
"TID_TUT_SELECT_BACK","• 返回"
"TID_TUT_FINISH_MODULE_UPGRADE","• 立刻完成升级"
"TID_TUT_START_MODULE_UPGRADE","• 开始模组解锁程序"
"TID_TUT_SELECT_EDIT_MODULES","• 选择安装模组"
"TID_TUT_CLAIM_OBJECTIVE","• 获取目标完成奖励"
"TID_TUT_STEER_SHIP_IN_BLS","• 移动你的战斗舰来避开红色区域，并确保它是最后一艘活下来的战斗舰。"
"TID_TUT_SCREEN_ACTIVATED_MODULES_TITLE","已激活的模组"
"TID_TUT_SCREEN_ACTIVATED_MODULES_TEXT","阿尔法护盾以及许多模组必须手动进行激活。选中飞船后，按下“模组”按钮即可将其激活。"
"TID_BUILDING_SHIPYARD","船坞"
"TID_BUILDING_SHIPYARD_DESCR","允许建造船舰。升级船坞可增加您帝国的总船舰上限。"
"TID_BUILDING_REDSTAR_SCANNER","红巨星扫描仪"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","可侦测附近的红巨星。"
"TID_BUILDING_REDSTAR_SCANNER_INFO","红巨星扫描仪可侦测到附近即将发生超新星爆炸的恒星。这些恒星周围常有蕴藏珍贵神器的古老星球，但也有冥犬舰队的看守。\n\n其他玩家也可使用红巨星扫描仪访问同一个恒星。"
"TID_BUILDING_TRADINGSTATION","太空贸易站"
"TID_BUILDING_TRADINGSTATION_DESCR","太空贸易站创建并接收进出您星球的高价值货物。必须将其放置在空星区的中心，且不能与已包含太空贸易站的星区相邻。"
"TID_BUILDING_DIPLOMACY_CENTER","太空外交站"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","允许与其他玩家建立外交关系。建立了外交关系的玩家可向对方星系派遣船舰。"
"TID_BUILDING_DIPLOMACY_CENTER_INFO","太空外交站可在两位玩家的母星系之间建造双向星际跳跃门。外交站一旦链接，两位玩家都可向对方派遣船舰。"
"TID_BUILDING_WARPLANE_HUB","太空曲道枢纽"
"TID_BUILDING_WARPLANE_HUB_DESCR","两个枢纽相链接后，能在您的系统中创造一个暂时的太空曲道。运转中的太空曲道可让船舰瞬间航行，无需耗费氢气。"
