"TID_INTRO_MESSAGE_TITLE","BIENVENIDO A HADES' STAR"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Error al cargar sistema estelar"
"TID_MSG_QUIT_GAME","¿Seguro que quieres salir del juego?"
"TID_CMD_FAILED_TUTORIAL","Esta acción no está disponible en esta fase del tutorial."
"TID_MSG_CANNOT_JUMP_SHIP","Salto fallido"
"TID_SHARE_MESSAGE_LABEL","ENVIAR MENSAJE"
"TID_SHARE_BUTTON_SUBMIT","ENVIAR"
"TID_SHARE_BUTTON_CANCEL","CANCELAR"
"TID_SHARE_VIEW_DEFAULT_MSG","¡Echa un vistazo!"
"TID_SHARE_VIEW_DESCR","Elige una vista de este sistema estelar para compartirla con tu corporación."
"TID_BACK_BUTTON","Atrás"
"TID_FINISH_REPAIR_CONFIRM","¿Finalizar ya la reparación de esta nave?"
"TID_PLAYER_JOIN_RED_STAR","{0} se ha unido a esta estrella roja."
"TID_PLAYER_ABANDON_RED_STAR","{0} ha abandonado tu estrella roja"
"TID_MAINTENANCE_MESSAGE","Pedimos disculpas por la reciente desconexión del servidor. Como compensación, hemos añadido {0} cristales a tu cuenta. ¡Gracias por tu paciencia!\n\nEl equipo de Hades' Star"
"TID_FEATURE_DISABLED","Esta función está deshabilitada temporalmente."
"TID_KEYBOARD_SHORTCUT","Acceso rápido: <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Debes expandirte más en tu sistema estelar antes de poder construir esta estación"
"TID_BONUS_INDICATOR","BONIFICACIÓN"
"TID_LEVEL_GENERIC","NIVEL {0}"
"TID_LEVEL_ARTIFACT","ESTRELLA ROJA DE NIVEL {0}"
"TID_WS_CONFIRM_DLG_COOLDOWN","Enfriamiento: {0}"
"TID_WS_CONFIRM_DLG_COOLDOWN_INFO","En el caso de esta estrella blanca, el enfriamiento seguirá presente en todo el módulo, aunque saltes con una nave nueva."
"TID_CMD_FAILED_GENERIC","Orden fallida"
"TID_CMD_FAILED_PLAYER","Orden del jugador fallida"
"TID_CMD_FAILED_SS","Orden del sistema estelar fallida"
"TID_CMD_FAILED_RESOURCE_LIMIT","No puedes gastar más créditos de los que permite tu almacenamiento. Mejora tus planetas para aumentar el almacenamiento."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Servidor ocupado. Vuelve a intentarlo dentro de un rato."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Estás intentando que salten más naves de combate de las que permite esta estrella roja."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","No puedes usar este portal de salto."
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","No hay suficiente capacidad para cargar este envío."
"TID_NOT_ENOUGH_CRYSTALS","No hay suficientes cristales."
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","No puedes enviar naves fuera de tu campo de visión."
"TID_CMD_ROUTE_EMPTY_SECTOR","No puedes viajar por el espacio inexplorado."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","No puedes desplazarte tan lejos en este sistema estelar."
"TID_CMD_CANT_UPGRADE_PLANET","Este planeta ya no se puede mejorar más."
"TIC_CMD_ALREADY_UPGRADING_PLANET","El planeta ya se está mejorando."
"TID_CMD_PLANET_UPGRADE_REQUIRES_RS","Debes mejorar tu escáner de estrellas rojas al nivel {0} para poder mejorar este planeta."
"TID_CMD_BUILDING_LIMIT_REACHED","No puedes construir más estaciones de este tipo."
"TID_SCANNER_REQUIRED","Necesitas un escáner de corto alcance en un sector adyacente."
"TID_SCANNER_ALREADY_BUSY","Tu escáner de corto alcance ya está escaneando otro sector."
"TID_MODULE_ON_COOLDOWN","Espera a que el módulo se enfríe antes de volver a usarlo."
"TID_MODULE_ALREADY_ACTIVATED","Este módulo ya está activo."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Este módulo es pasivo y no se puede activar."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Debes esperar a que se complete la construcción del hub."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Ambos hubs deben estar inactivos para establecer un nuevo enlace."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Debes construir al menos dos hubs para poder enlazarlos."
"TID_CANNOT_EDIT_MODULES_ON_STAR","No puedes cambiar los módulos de una nave lejos de tu estrella natal."
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Este envío solo lo puede utilizar el propietario del planeta."
"TID_CMD_LEAP_NO_TARGET","Imposible encontrar ubicación de teletransporte válida."
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Este puesto avanzado no puede albergar más envíos."
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","No puedes moverte directamente a una estrella."
"TID_CMD_FAIL_CANTMOVE_BOND","No te puedes mover mientras estés bajo la influencia de VÍNCULO."
"TID_ASTEROID_SPAWN_LIMIT","Este sector no puede albergar más campos de asteroides."
"TID_GENESIS_INVALID_SECTOR","No se puede usar Génesis en el sector estelar."
"TID_GENESIS_SYSTEM_MAX","Debes esperar a que termine el efecto de Génesis actual."
"TID_RS_WRONG_MODULE_SECTOR","Este módulo solo se puede usar en un sector de estrella roja que genere asteroides explotables."
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","No puedes usar este módulo en un sector del portal de salto en estrellas blancas"
"TID_CAN_USE_MODULE_ON_STAR","No puedes usar este módulo en este tipo de estrellas."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","No se puede activar este módulo hasta que haya naves enemigas en el sector."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","No puedes activar este módulo a menos que haya naves enemigas al alcance."
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","No se puede activar, no se ha encontrado un objetivo de teletransporte válido"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","No puedes activar el escudo con la venganza activa."
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Hace falta que tu nave minera recoja más hidrógeno antes de poder activar este módulo."
"TID_MODULE_CANT_ACTIVATE_NEED_CARGO_ONBOARD","Hace falta un tipo de cargamento en concreto para poder activar este módulo."
"TID_SYSTEM_IS_PRIVATE","Este sistema estelar es privado y no se puede visitar en este momento"
"TID_FLAGHIP_NON_OFFICER","Los oficiales son los únicos que pueden dar órdenes a la nave insignia de la corporación."
"TID_FLAGSHIP_IN_ANOTHER_STAR","La nave insignia está en otra estrella."
"TID_FLAGSHIP_IN_CURRENT_STAR","La nave insignia ya está en esta estrella."
"TID_FLAGSHIP_ANOTHER_JUMPED_IN","Solo puedes saltar con una de tus naves insignia a una única estrella blanca."
"TID_FLAGSHIP_IN_COOLDOWN","La nave insignia está en tiempo de enfriamiento."
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_SC","Debes desbloquear el módulo de ORDENADOR DE ENVÍOS antes de enviar un dron de envíos."
"TID_MODULE_DRONE_CANT_ACTIVATE_NEED_TB","Debes desbloquear el módulo de ESTALLIDO COMERCIAL antes de enviar un dron de envíos."
"TID_START_NEW_GAME","EMPEZAR PARTIDA NUEVA"
"TID_TRANSFER_EXISTING_GAME","RECUPERAR PARTIDA EXISTENTE"
"TID_STEAM_ACCOUNT_LABEL","Cuenta de Steam®"
"TID_GAMECENTER_ACCOUNT_LABEL","Cuenta de GameCenter"
"TID_GAMECENTER_SIGNIN_INSTRUCTIONS","Para iniciar sesión en GameCenter, abre la aplicación Ajustes de iOS y desplázate hasta GameCenter. Asegúrate de que GameCenter está habilitado e inicia sesión con tu Apple ID. Una vez hayas iniciado sesión, vuelve a iniciar Hades' Star."
"TID_GOOGLEPLAY_ACCOUNT_LABEL","Cuenta de Google Play"
"TID_STAR_DISCOVERED_ON_TID_MONTH_YEAR","Descubierta en {0} de {1}"
"TID_DLG_TITLE_ERROR","ERROR"
"TID_ERROR_MUST_LOGIN_IOS","Debes iniciar sesión en GameCenter para cargar una partida anterior. Abre la aplicación Ajustes de iOS y desplázate hasta la opción GameCenter."
"TID_ERROR_MUST_LOGIN_ANDROID","Debes iniciar sesión con Google Play para cargar una partida anterior."
"TID_NEW_GAME_SIGNIN_HINT","Inicia sesión para proteger tu progreso y acceder al juego desde diferentes dispositivos."
"TID_NEW_GAME_INTRO_TEXT","Tu flota ha llegado a la galaxia de Hades."
"TID_TUT_SECTION_REWARDS_LABEL","RECOMPENSAS"
"TID_TUT_SECTION_NEXT_OBJECTIVE_LABEL","SIGUIENTE OBJETIVO"
"TID_TUT_SECTION_SPECIAL_OBJECTIVE_LABEL","OBJETIVO ESPECIAL"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUIR UN ASTILLERO"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Los astilleros te permiten crear nuevas naves."
"TID_TUT_SELECT_SHIPYARD","• Elige tu astillero."
"TID_TUT_SELECT_RELAY","• Elige tu RELÉ DE ENVÍOS."
"TID_TUT_SELECT_SHIP","• Selecciona tu nave."
"TID_TUT_SELECT_PLANET","• Elige tu planeta."
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Tu imperio ha descubierto un nuevo sistema estelar."
"TID_TUT_COLONIZE_FIRST_PLANET","ESTABLECER TU PRIMERA COLONIA"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Los planetas son cruciales para el crecimiento y la economía de tu imperio.\n\nProporcionan ingresos mediante los envíos y te permiten construir estaciones espaciales."
"TID_TUT_CONSTRUCT_SHIP","CREAR UNA NAVE MINERA"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Las naves de transporte son vitales para que tu economía prospere. Es recomendable conservar al menos una nave de transporte cerca de cada planeta colonizado. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Las naves mineras son vitales para construir infraestructuras en tus planetas."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUIR {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Las estaciones comerciales te dan envíos adicionales para entregar en tus planetas a cambio de recompensas."
"TID_TUT_UPGRADE_PLANET","MEJORAR TU PLANETA"
"TID_TUT_UPGRADE_PLANET_DESCR","Al mejorar tus planetas, se enriquece la calidad de los envíos y aumenta la cantidad máxima de recursos que puedes almacenar."
"TID_TUT_KEEP_DOING_STUFF","SEGUIR ENTREGANDO ENVÍOS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Usa tus naves de transporte para entregar envíos entre el planeta y sus lunas.\n\nLa entrega de envíos te sirve para obtener recursos y experiencia."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONIZAR UN SEGUNDO PLANETA"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","La expansión a nuevos planetas es vital para que tu imperio crezca.\n\nAntes de colonizar un planeta, tienes que mover al menos una de tus naves a la superficie. Cuantos más planetas hayas colonizado, más cara será la colonización del siguiente."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONIZAR UN PLANETA NUEVO"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Los planetas colonizados también se pueden usar para reparar tus naves. Coloniza el planeta que está cerca de tu nave de combate dañada para empezar el proceso."
"TID_TUT_PLACE_BUILDING_PROMPT","• Selecciona la posición de tu {0}."
"TID_TUT_SELECT_PRODUCTION","• Selecciona PRODUCCIÓN."
"TID_TUT_SELECT_SHIPS_TAB","• Abre la pestaña NAVES."
"TID_TUT_RETURN_TO_PREV_SCREEN","• Pulsa ATRÁS."
"TID_TUT_SELECT_MINER_SHIP","• Selecciona tu nave minera."
"TID_TUT_SELECT_SHIPMENTS","• Selecciona ENVÍOS."
"TID_TUT_SELECT_USE_RELAY","• Selecciona ACTIVAR RELÉ."
"TID_TUT_SELECT_LOAD_SHIPMENT","• Haz clic en un envío para cargarlo."
"TID_TUT_SELECT_MOVE","• Selecciona MOVER."
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Usa el botón MOVER o haz clic derecho en el destino de envío iluminado."
"TID_TUT_SELECT_PROFILE","• Abre la ventana de Tu imperio."
"TID_TUT_SELECT_OBJECTIVES_TAB","• Selecciona OBJETIVOS."
"TID_TUT_SELECT_DESTINATION","• Selecciona el destino iluminado del envío."
"TID_TUT_SELECT_DEPART_NOW","• Selecciona DESPEGAR."
"TID_TUT_SELECT_DEPART_NOW_PC","• Haz clic en DESPEGAR o clic derecho en el destino."
"TID_TUT_SELECT_DEPART_NOW_GP","• Pulsa <sprite index=2> sobre el destino para despegar de inmediato."
"TID_TUT_SELECT_CANCEL_DEPART","• Selecciona CANCELAR."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Usa la orden Mover o arrastra tu nave hasta el planeta para recoger más envíos."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Haz clic en el botón MOVER o clic derecho en el planeta para coger más envíos."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_GP","• Mantén pulsado <sprite index=2> y suelta sobre el planeta de destino para desplazarte allí."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Usa la orden Mover o arrastra tu nave hasta la luna para recoger más envíos."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Haz clic en el botón MOVER o clic derecho en la luna para coger más envíos."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_GP","• Mantén pulsado <sprite index=2> y suelta sobre la luna de destino para desplazarte allí."
"TID_TUT_SELECT_BUILD_BUTTON","• Selecciona {0}."
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Finaliza la producción ahora."
"TID_TUT_SELECT_SECOND_PLANET","• Selecciona el segundo planeta."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Usa la orden Mover o arrastra tu nave hasta el nuevo planeta."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Haz clic en el botón MOVER o clic derecho en el nuevo planeta."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_GP","• Mantén pulsado <sprite index=2> y suelta sobre el planeta de destino."
"TID_TUT_SELECT_TRANSPORT_SHIP","• Selecciona tu nave de transporte."
"TID_TUT_SELECT_NEW_BUILDING","• Selecciona la estación."
"TIT_TUT_SELECT_MODULES","• Selecciona MÓDULOS"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Cierra la ventana."
"TID_TUT_SELECT_TRANSPORT_MODULE","• Selecciona AMPLIACIÓN DE BODEGA."
"TID_TUT_SELECT_MODULE","• Selecciona {0}."
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Selecciona la ranura de módulo."
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Selecciona INSTALAR MÓDULO NUEVO."
"TID_TUT_SELECT_REPLACE_MODULE","• Selecciona REEMPLAZAR."
"TID_TUT_SELECT_COLONIZE","• Selecciona COLONIZAR."
"TID_TUT_CLAIM_ACHIEVEMENT","Reclama el logro de los envíos."
"TID_TUT_MINING_TITLE","INICIAR EXTRACCIÓN"
"TID_TUT_MINING_DESCR","Los campos de asteroides contienen hidrógeno valioso. Comprueba que siempre haya naves mineras extrayendo recursos en tu imperio de forma constante."
"TID_TUT_MOVE_TO_ASTEROID","• Selecciona un campo de asteroides."
"TID_TUT_MINER_INFO","Las naves mineras recogen hidrógeno en los campos de asteroides. Seguirán extrayendo recursos en el mismo campo de asteroides hasta que se agoten."
"TID_TUT_CREATE_SECOND_TRANSPORT","CREAR UNA SEGUNDA NAVE DE TRANSPORTE"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Las naves de transporte son vitales para que tu economía prospere. Es recomendable conservar al menos una nave de transporte cerca de cada planeta colonizado. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","La estación del escáner de corto alcance te permitirá explorar sectores cercanos y adentrarte más en este sistema estelar."
"TID_TUT_REVEAL_SECTOR","EXPLORAR UN NUEVO SECTOR"
"TID_TUT_REVEAL_SECTOR_INFO","Construye un escáner de corto alcance y úsalo para encontrar y colonizar un tercer planeta."
"TID_TUT_SELECT_NEARBY_SECTOR","• Selecciona un sector cercano."
"TID_TUT_SELECT_SHIPMENTS_SECTOR","• Selecciona un sector con envíos."
"TID_TUT_SELECT_SCOUT_SECTOR","• Selecciona tu sector escaneado."
"TID_SELECT_EXPLORE","• Selecciona DESCUBRIR."
"TID_SELECT_EXPLORATION_SPEEDUP","• Finaliza el escaneo ya."
"TID_TUT_DEFEAT_CERBERUS","DERROTAR AL CENTINELA CERBERO"
"TID_TUT_DEFEAT_CERBERUS_INFO","Las misteriosas naves de Cerbero aparecen a lo largo de la galaxia de Hades. Enfréntate a ellas con las naves de combate."
"TID_TUT_CREATE_BATTLESHIP","CREAR UNA NAVE DE COMBATE"
"TID_TUT_CREATE_BATTLESHIP_INFO","Las naves de combate son cruciales para mantener la seguridad de tus otras naves y ahuyentar a las fuerzas de Cerbero."
"TID_TUT_SELECT_BATTLESHIP","• Selecciona tu nave de combate."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Usa la orden Mover o arrastra tu nave de combate cerca del centinela Cerbero."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Haz clic en el botón MOVER o clic derecho para mover tu nave de combate cerca del centinela Cerbero."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_GP","• Mantén pulsado <sprite index=2> y suelta cerca del centinela Cerbero para desplazarte allí."
"TID_TUT_REDSTARSCANNER_INFO","El escáner de estrellas rojas te permite encontrar y viajar a nuevas estrellas."
"TID_TUT_JUMP_TRANSPORT","SALTAR CON TU NAVE DE TRANSPORTE A LA ESTRELLA ROJA"
"TID_TUT_JUMP_TRANSPORT_INFO","Puedes mover naves entre sistemas estelares mediante los portales de salto."
"TID_TUT_SEARCH_FOR_MISSION","ESCANEAR EN BUSCAR DE UNA ESTRELLA ROJA"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Usa tu escáner de estrellas rojas para descubrir un nuevo sistema estelar."
"TID_TUT_SELECT_MISSION_BUILDING","• Selecciona tu escáner de estrellas rojas."
"TID_TUT_SELECT_BLS_SCANNER","• Selecciona tu escáner de estrellas azules."
"TID_TUT_SELECT_SCANNER_BUTTON","• Selecciona ESCANEAR."
"TID_TUT_SELECT_MISSION_SEARCH","• Selecciona INICIAR ESCANEO."
"TID_TUT_SELECT_DISMISS","• Selecciona CERRAR."
"TID_TUT_SELECT_JUMP_SHIPS","• Selecciona SALTAR CON NAVES."
"TID_TUT_CONFIRM_JUMP","• Confirma el salto."
"TID_TUT_SELECT_JUMP","• Selecciona SALTAR."
"TID_TUT_MOVE_TO_STARGATE","• Usa la orden Mover o arrastra tu nave hasta el escáner de estrellas rojas."
"TID_TUT_MOVE_TO_BLS_SCANNER","• Usa la orden Mover o arrastra tu nave hasta el escáner de estrellas azules."
"TID_TUT_MOVE_TO_STARGATE_PC","• Haz clic en el botón MOVER o clic derecho para mover tu nave de combate hacia el escáner de estrellas rojas."
"TID_TUT_MOVE_TO_STARGATE_GP","• Mantén pulsado <sprite index=2> y suelta sobre el escáner de estrellas rojas para desplazarte allí."
"TID_TUT_BRING_ARTIFACT","TRAER UN ARTEFACTO DE LA ESTRELLA ROJA"
"TID_TUT_BRING_ARTIFACT_INFO","Los planetas próximos a las estrellas rojas son ricos en artefactos. Trae un artefacto para poder empezar a investigarlo."
"TID_TUT_VIEW_MISSION_STAR","• Selecciona IR A ESTRELLA."
"TID_TUT_GO_TO_RED_STAR","• Visita tu ESTRELLA ROJA activa."
"TID_TUT_GO_TO_BLUE_STAR","• Visita tu ESTRELLA AZUL activa."
"TID_TUT_MOVE_BACK_TO_STARGATE","• Haz retroceder a tu nave hasta el portal de salto."
"TID_TUT_MOVE_TO_PLANET","• Mueve tu nave de transporte hasta el planeta."
"TID_TUT_SELECT_LOAD_ARTIFACT","• Haz clic en el artefacto para empezar a cargarlo."
"TID_TUT_RESEARCH_STATION_INFO","Las estaciones de investigación te permiten estudiar los artefactos. Construye ahora una en tu sistema estelar."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Mueve tu nave de transporte hasta la estación de investigación."
"TID_TUT_SELECT_RESEARCH_STATION","• Selecciona tu estación de investigación."
"TID_TUT_SELECT_RESEARCH_BUTTON","• Selecciona INVESTIGAR."
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Selecciona el artefacto."
"TID_TAP_ON_START_RESEARCH","• Selecciona INICIAR INVESTIGACIÓN."
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Selecciona FINALIZAR AHORA"
"TID_TUT_SELECT_SALVAGE","• Selecciona RESCATAR."
"TID_COLLECT_ARTIFACT_REWARD","• Selecciona RECLAMAR."
"TID_TUT_SELECT_UPGRADE","• Selecciona MEJORAR."
"TID_TUT_DO_UPGRADE","• Confirma la mejora"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Finaliza la mejora ahora"
"TID_TUT_HINT_MOVEMENT","Cuando una nave haya despegado, no podrás cambiar su rumbo. Tendrás que esperar a que llegue a su destino."
"TID_TUT_HINT_RS_SUPERNOVA","Las estrellas rojas se convertirán en supernova poco después de que se descubran. Asegúrate de que tus naves vuelvan al portal de salto antes de que se detenga el temporizador o se perderán."
"TID_TUT_HINT_MINING","Tu nave minera seguirá recogiendo hidrógeno hasta que todos los campos de asteroides de su sector hexagonal se hayan agotado o hasta que la capacidad de hidrógeno llegue al máximo."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Cuando se complete la construcción, el escáner de corto alcance te permitirá empezar a explorar nuevos sectores en este sistema estelar."
"TID_TUT_RED_STAR_SCANNER","Cuando el escáner de estrellas rojas detecte una nueva estrella, actuará como un portal de salto y permitirá que las naves atracadas salten al nuevo sistema."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Finaliza la construcción ya"
"TID_TUT_HINT_COMBAT","Las naves de combate tienen una distancia de ataque que podrás ver al seleccionarlas. Atacarán automáticamente a las naves enemigas que estén dentro de esa distancia."
"TID_TUT_HINT_HYDRO","Mover una nave de transporte cuesta hidrógeno. Mantén controlado tu suministro total de hidrógeno y asegúrate de que siempre tienes naves mineras recogiendo hidrógeno de los campos de asteroides."
"TID_TUT_HINT_REPAIR","Todas las naves dañadas se irán reparando mientras estén estacionadas en un sector sin naves Cerbero."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Los planetas de las estrellas rojas tienen artefactos que se pueden investigar. A diferencia de los envíos normales, los artefactos tardan un tiempo para cargarse en las naves de transporte."
