Name,TID,TID_Description,TID_INFO_SCREEN,TID_UPGRADE,ConceptImage,Model,ModelScale,IsCombatShip,IsDrone,CanBeBuilt,NewModuleSlots,BuildCost,DesignUpgradeCost,DesignUpgradeTime,RequiredPlanetLevel,HP,HealRate,NumSectorsToMine,FlagshipModules,FlagshipModuleLevels,InitialModule,InitialModuleLevels,CanBuildBuildingLevel,JobCapacity,HydrogenCapacity,MiningPeriod,Speed,FuelUsePer5000Distance,JumpFuelCosts,ShipAIHandler,DockedObjectDestroyTime,ApplyModuleOnDockedObjectDestroy,AIUpdateIntervalSeconds,AggressiveAI,InfluencePoints,WhiteStarScore,BSScore,BSPenaltyPerSec,BSPenaltyPerSecOnSector,OnDestroySpawn,OnDestroySpawnCount,OnDestroySpawnMinRadius,OnDestroySpawnMaxRadius,SpawnFx,HideModulesOnHUD,MaxPerStarSystem
BlueStarBot,TID_SHIP_BATTLESHIP,TID_SHIP_BATTLESHIP_DESCR,TID_SHIP_BATTLESHIP_DESCR,TID_UPGRADE_BS_DESIGN,portrait_Battleship,Battleship_lv1,100,1,,0,Weapon!Shield,,,,,4200,,,,,WeakBattery,0,,,0,,100,,,12,,,5,,,,,500,,,,,,,,
,,,,,,Battleship_lv2,,,,,Support,,,,,5000,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,
,,,,,,Battleship_lv3,,,,,Support,,,,,6000,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,
,,,,,,Battleship_lv4,,,,,Support,,,,,7500,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,
,,,,,,Battleship_lv5,,,,,Support,,,,,9000,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,
CerberusStorm,TID_SHIP_STORM,TID_SHIP_STORM_DESCR,TID_SHIP_STORM_DESCR,,portrait_CerberusStorm,Fighter_Cerberus6_lv1,100,1,,0,Weapon,0,,,0,40000,,,,,DartBarrage,0,,,,,6,,,13,,,,,150,,,,,,,,,,,
CerberusGhosts,TID_SHIP_CERB_GHOSTS,TID_SHIP_CERB_GHOSTS_DESCR,TID_SHIP_CERB_GHOSTS_DESCR,,portrait_CerberusSwarm,Cerberus_Swarm_lv1,100,1,,0,Weapon,0,,,0,200,,,,,Battery,2,,,,,150,,,,,,,,0,,,,,,,,,,1,
CorpFlagship,TID_CORP_FLAGSHIP,TID_CORP_FLAGSHIP_DESCR,TID_CORP_FLAGSHIP_DESCR,,portrait_CorpFlagship,Corp_Flagship_lv1,100,1,,0,,0,200000,0,0,5000,,,Battery,0,,,,,,,80,100,1000,,,,,,,5000,,,,,,,,,,
,,,,,,Corp_Flagship_lv2,,,,,,,600000,,,5500,,,Battery!Immolation,1!0,,,,,,,,,,,,,,,,10000,,,,,,,,,,
,,,,,,Corp_Flagship_lv3,,,,,,,2000000,,,6050,,,Battery!Immolation!Recoil,2!0!0,,,,,,,,,,,,,,,,15000,,,,,,,,,,
,,,,,,Corp_Flagship_lv4,,,,,,,5000000,,,6650,,,Battery!Immolation!Recoil!Stealth,3!0!0!11,,,,,,,,,,,,,,,,20000,,,,,,,,,,
,,,,,,Corp_Flagship_lv5,,,,,,,20000000,,,7300,,,Battery!Immolation!Recoil!Stealth,4!0!0!11,,,,,,,,,,,,,,,,30000,,,,,,,,,,
,,,,,,Corp_Flagship_lv5,,,,,,,40000000,,,8000,,,Battery!Immolation!Recoil!Stealth!EMPRocket,5!0!0!11!0,,,,,,,,,,,,,,,,40000,,,,,,,,,,
,,,,,,Corp_Flagship_lv6,,,,,,,60000000,,,8800,,,Battery!Immolation!Recoil!Stealth!EMPRocket,6!0!0!11!1,,,,,,,,,,,,,,,,50000,,,,,,,,,,
,,,,,,Corp_Flagship_lv6,,,,,,,80000000,,,9700,,,Battery!Immolation!Recoil!Stealth!EMPRocket,7!0!0!11!2,,,,,,,,,,,,,,,,60000,,,,,,,,,,
,,,,,,Corp_Flagship_lv7,,,,,,,100000000,,,10700,,,Battery!Immolation!Recoil!Stealth!EMPRocket,8!0!0!11!3,,,,,,,,,,,,,,,,70000,,,,,,,,,,
,,,,,,Corp_Flagship_lv7,,,,,,,140000000,,,11800,,,Battery!Immolation!Recoil!Stealth!EMPRocket,9!0!0!11!4,,,,,,,,,,,,,,,,80000,,,,,,,,,,
,,,,,,Corp_Flagship_lv8,,,,,,,180000000,,,13000,,,Battery!Immolation!Recoil!Stealth!EMPRocket,9!0!0!11!5,,,,,,,,,,,,,,,,90000,,,,,,,,,,
,,,,,,Corp_Flagship_lv8,,,,,,,220000000,,,14200,,,Battery!Immolation!Recoil!Stealth!EMPRocket,10!0!0!11!6,,,,,,,,,,,,,,,,100000,,,,,,,,,,
,,,,,,Corp_Flagship_lv9,,,,,,,260000000,,,15600,,,Battery!Immolation!Recoil!Stealth!EMPRocket,10!0!0!11!7,,,,,,,,,,,,,,,,110000,,,,,,,,,,
,,,,,,Corp_Flagship_lv9,,,,,,,300000000,,,17500,,,Battery!Immolation!Recoil!Stealth!EMPRocket,11!0!0!11!7,,,,,,,,,,,,,,,,120000,,,,,,,,,,
,,,,,,Corp_Flagship_lv10,,,,,,,350000000,,,20000,,,Battery!Immolation!Recoil!Stealth!EMPRocket,11!0!0!11!7,,,,,,,,,,,,,,,,130000,,,,,,,,,,
