Name,CanBeBuilt,CanCancelBuild,CancelBuildRefundPct,CanBeRenamed,SeparateBuildingPerLevel,AllowAdditionalBuildingsAtMaxLevel,BuyInPairs,MoveHydrogenCostPerSector,AllowMoveInSameSectorOnly,TID,TID_Description,TID_INFO_SCREEN,TID_UPGRADE,TID_CUSTOM_TUT_SELECT,ConceptImage,Model,PrefabModel,PrefabModel_BuildMenu,RequiredPlanetLevel,Cost,TimeSpeedupFactor,TimeSpeedupMaxSeconds,TimeSpeedupRegenPerDay,SectorUnlockCost,SectorUnlockTime,ConstructionTimeHours,ConstructionTimeMinutes,ConstructionTimeSeconds,TotalShipmentCRPerDay,IsStargate,IsAllianceStargate,ResearchSlots,RequiresEmptySector,RequiresStarSector,MaxOnOwnSolarSystem,MaxPerSector,StarScannerType,IsWarpLane,CanScanSectors,ShipyardCapacity,OverrideMinAsteroidDistSquared,StargateModel,TeleportShipmentsPerHr,TeleportShipmentsDurationHr,TeleportShipmentActivationFragments,FragmentCapacity,TeleportShipmentMaxSectors,TSHydroCost,BuildNotifMode,ShowInStarLinks
,,,,,,,,,,,,,,,,,,,,3000000,,,,,,192,,,37647,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4000000,,,,,,216,,,52705,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6000000,,,,,,240,,,73787,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8000000,,,,,,264,,,103301,,,,,,,,,,,,,,,,,,,,,
WarpLaneHub,1,,,,1,1,1,2000,,TID_BUILDING_WARPLANE_HUB,TID_BUILDING_WARPLANE_HUB_DESCR,TID_BUILDING_WARPLANE_HUB_INFO,,,portrait_WarpLane,,warpLaneHub,warpLaneHub_BuildIcon,12,50000,,,,,,12,,,,,,,0,,24,8,,1,,,1000000,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,50000,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,100000,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,100000,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,200000,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,200000,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,400000,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,400000,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,800000,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,800000,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1500000,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1500000,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3000000,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3000000,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5000000,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5000000,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6000000,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6000000,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7000000,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7000000,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8000000,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8000000,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,
Stargate,0,,,,,,,,,TID_BUILDING_STARGATE,TID_BUILDING_STARGATE_DESCR,TID_BUILDING_STARGATE_DESCR,,,portrait_JumpGate,,,,,,,,,,,,,,,1,,,0,,,,,,,,1000000,JumpGate,,,,,,,,
OrangeStarScanner,0,,,,,,,1000,,TID_BUILDING_ORANGESTAR_SCANNER,TID_BUILDING_ORANGESTAR_SCANNER_DESCR,TID_BUILDING_ORANGESTAR_SCANNER_INFO,,,portrait_JumpGate,redStarScanner,,,5,40000,,,,,,24,,,,,,,1,,1,1,1,,,,,JumpGate,,,,,,,,
WhiteStarScanner,1,,,,,,,1000,,TID_BLD_WHITESTAR_SCANNER,TID_BLD_WHITESTAR_SCANNER_DESCR,TID_BLD_WHITESTAR_SCANNER_DESCR,TID_BLD_REDSTAR_UPGRADE,,portrait_JumpGate,whiteStarScanner,,,10,25000,,,,,,,,1,,,,,1,,1,1,,,,,,JumpGateWhiteStar,,,,,,,1,1
TimeModulator,1,,,,,,,1000,1,TID_BLD_TIME_MODULATOR,TID_BLD_TIME_MODULATOR_DESCR,TID_BLD_TIME_MODULATOR_INFO,,,portrait_SpaceBuilding,,timeModulator,timeModulator_BuildIcon,6,1000,15000,600,1200,,,,10,,,,,,,1,1,1,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,4000,17500,600,1200,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10000,20000,600,1200,,,8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,30000,22500,600,1200,,,48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,100000,25000,600,1200,,,96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,200000,27500,600,1200,,,120,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,400000,30000,600,1200,,,144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,600000,32500,600,1200,,,168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,800000,35000,600,1200,,,192,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1000000,37500,600,1200,,,216,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2000000,40000,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3000000,42500,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4000000,45000,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5000000,50000,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6000000,55000,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7000000,60000,600,1200,,,240,,,,,,,,,,,,,,,,,,,,,,,,
BlueStarScanner,1,,,,,,,1000,,TID_BUILDING_BLUESTAR_SCANNER,TID_BUILDING_BLUESTAR_SCANNER_DESCR,TID_BUILDING_BLUESTAR_SCANNER_INFO,TID_BUILDING_BLUESTAR_SCANNER_INFO,,portrait_Anomaly,blueStarScanner,,,9,20000,,,,,,,,3,,,,,0,,1,1,1,,,,,JumpGate,,,,,,,1,1
ShipmentRelay,1,,,,,,,1000,,TID_BLD_RELAY,TID_BLD_RELAY_DESCR,TID_BLD_RELAY_INFO,,,portrait_SpaceBuilding,shipmentRelay,,,10,10000,,,,,,4,,,,,,,,,1,1,,,,,,,4,4,5,5,1,50,0,1
,,,,,,,,,,,,,,,,,,,,25000,,,,,,24,,,,,,,,,,,,,,,,,5,5,4,10,2,100,,
,,,,,,,,,,,,,,,,,,,,50000,,,,,,48,,,,,,,,,,,,,,,,,7,6,4,15,3,250,,
,,,,,,,,,,,,,,,,,,,,100000,,,,,,72,,,,,,,,,,,,,,,,,9,8,4,20,4,500,,
,,,,,,,,,,,,,,,,,,,,200000,,,,,,96,,,,,,,,,,,,,,,,,12,10,4,25,5,750,,
,,,,,,,,,,,,,,,,,,,,400000,,,,,,120,,,,,,,,,,,,,,,,,16,12,4,30,6,1000,,
,,,,,,,,,,,,,,,,,,,,600000,,,,,,144,,,,,,,,,,,,,,,,,22,16,4,35,8,2000,,
,,,,,,,,,,,,,,,,,,,,1000000,,,,,,168,,,,,,,,,,,,,,,,,30,17,3,40,11,3000,,
,,,,,,,,,,,,,,,,,,,,4000000,,,,,,192,,,,,,,,,,,,,,,,,42,20,3,45,14,4000,,
,,,,,,,,,,,,,,,,,,,,8000000,,,,,,216,,,,,,,,,,,,,,,,,60,24,3,50,18,5000,,
