Name,TID,TID_Description,UnlockType,UnlockAmount,PCReward,XPReward,GoogleID,Retired,SortOrder,PID1,PSNID,PSNIPC
,,,,500,20,500,,,,43,14,
,,,,2500,50,1000,,,,44,15,
,,,,10000,100,10000,,,,45,,
CRIncome,TID_ACHIEVEMENT_CRINCOME,TID_ACHIEVEMENT_CRINCOME_DESCR,CRIncome,20000,5,50,CgkItJiH6OEGEAIQDA,,120,46,16,
,,,,60000,15,200,,,,47,,
,,,,150000,50,500,,,,48,,
,,,,500000,200,1000,,,,49,,
,,,,1200000,500,10000,,,,50,,
HydroIncome,TID_ACHIEVEMENT_HYDROINCOME,TID_ACHIEVEMENT_HYDROINCOME_DESCR,HydroIncome,1000,5,50,CgkItJiH6OEGEAIQDQ,,130,51,17,
,,,,5000,15,200,,,,52,,
,,,,10000,50,500,,,,53,,
,,,,25000,200,1000,,,,54,,
,,,,40000,500,10000,,,,55,,
WSMatches,TID_ACHIEVEMENT_WS,TID_ACHIEVEMENT_WS_DESCR,WSMatches,1,20,100,CgkItJiH6OEGEAIQEA,,140,56,18,
,,,,3,50,500,,,,57,,
,,,,25,100,1000,,,,58,,
,,,,50,250,5000,,,,59,,
,,,,150,1000,10000,,,,60,,
WSHydro,TID_ACHIEVEMENT_WS_HYDRO,TID_ACHIEVEMENT_WS_HYDRO_DESCR,WSHydro,250,20,100,CgkItJiH6OEGEAIQEQ,,150,61,,
,,,,1000,50,500,,,,62,,
,,,,10000,100,1000,,,,63,,
,,,,25000,250,5000,,,,64,,
,,,,50000,1000,10000,,,,65,,
WSRelics,TID_ACHIEVEMENT_WS_RELICS,TID_ACHIEVEMENT_WS_RELICS_DESCR,WSRelics,1,20,100,CgkItJiH6OEGEAIQEg,,160,66,,
,,,,3,50,500,,,,67,,
,,,,20,100,1000,,,,68,,
,,,,50,250,5000,,,,69,,
,,,,100,1000,10000,,,,70,,
WSRewards,TID_ACHIEVEMENT_WS_REWARDS,TID_ACHIEVEMENT_WS_REWARDS_DESCR,WSRewards,100000,20,100,CgkItJiH6OEGEAIQEw,1,170,,,
,,,,500000,50,500,,,,,,
,,,,4000000,100,1000,,,,,,
,,,,10000000,250,5000,,,,,,
,,,,30000000,1000,10000,,,,,,
BSWins,TID_ACHIEVEMENT_BS_WINS,TID_ACHIEVEMENT_BS_WINS_DESCR,BSWins,3,50,500,CgkItJiH6OEGEAIQFg,,180,71,19,
,,,,10,100,2000,,,,72,20,
,,,,50,200,5000,,,,73,,
,,,,200,500,10000,,,,74,21,
,,,,500,1000,20000,,,,75,,
DRSArtifacts,TID_ACHIEVEMENT_DRS,TID_ACHIEVEMENT_DRS_DESCR,RetrieveArtifactsFromDRS,10,5,500,,,190,96,,
,,,,100,20,2000,,,,97,22,
,,,,1000,50,5000,,,,98,,
,,,,15000,250,10000,,,,99,,
,,,,60000,1000,20000,,,,100,,
RSLevel,TID_ACHIEVEMENT_RS_LEVEL,TID_ACHIEVEMENT_RS_LEVEL_DESCR,RSLevel,2,5,100,,,20,76,23,9
,,,,3,10,200,,,,77,,
,,,,4,20,500,,,,78,24,
,,,,6,30,1000,,,,79,,
,,,,9,50,5000,,,,80,25,
CollectDailyRewards,TID_ACHIEVEMENT_DAILY_REWARDS,TID_ACHIEVEMENT_DAILY_REWARDS_DESCR,CollectDailyRewards,2,1,100,,,5,81,26,
,,,,3,5,200,,,,82,,
,,,,7,20,500,,,,83,,
,,,,14,50,1000,,,,84,,
,,,,30,100,10000,,,,85,,
ShipmentBonus,TID_ACHIEVEMENT_SHIPMENT_BONUS,TID_ACHIEVEMENT_SHIPMENT_BONUS_DESCR,ShipmentBonus,1000,1,100,,,15,86,,
,,,,20000,5,200,,,,87,27,
,,,,20000000,20,500,,,,88,,
,,,,100000000,50,1000,,,,89,,
,,,,500000000,100,10000,,,,90,,
RedHydrogen,TID_ACHIEVEMENT_USE_HYDRO_IN_RS,TID_ACHIEVEMENT_USE_HYDRO_IN_RS_DESCR,UseHydroInRS,1000,1,100,,,65,91,28,
,,,,10000,5,200,,,,92,,
,,,,100000,20,500,,,,93,,
,,,,800000,50,1000,,,,94,,
,,,,5000000,100,10000,,,,95,,
