"TID_INTRO_MESSAGE_TITLE","BENVENUTO A HADES' STAR"
"TID_CMD_FAILED_PLAYER","Comando giocatore non riuscito"
"TID_CMD_FAILED_SS","Comando sistema stellare non riuscito"
"TID_CMD_FAILED_RESOURCE_LIMIT","Spazio insufficiente. Migliora i pianeti per aumentare lo spazio disponibile."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Server occupato. Riprova fra qualche istante."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Stai cercando di far saltare più navi di quante questa stella rossa ne possa sostenere."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Non puoi usare questo portale di salto"
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Spazio insufficiente per imbarcare questo carico"
"TID_NOT_ENOUGH_CRYSTALS","Cristalli insufficienti"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Non è possibile inviare navi oltre il raggio di visibilità"
"TID_CMD_ROUTE_EMPTY_SECTOR","Non è possibile viaggiare nello spazio inesplorato"
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Non è possibile andare così lontano in questo sistema stellare"
"TID_CMD_CANT_UPGRADE_PLANET","Questo pianeta non può essere migliorato ulteriormente"
"TIC_CMD_ALREADY_UPGRADING_PLANET","Il pianeta è già in fase di miglioramento"
"TID_CMD_BUILDING_LIMIT_REACHED","Non è possibile costruire altre stazioni di questo tipo"
"TID_SCANNER_REQUIRED","Ti serve uno scanner a corto raggio libero in un settore adiacente"
"TID_SCANNER_ALREADY_BUSY","Lo scanner a corto raggio sta già scansionando un altro settore"
"TID_MODULE_ON_COOLDOWN","Dovrai aspettare che il modulo si ricarichi prima di poterlo riutilizzare"
"TID_MODULE_ALREADY_ACTIVATED","Questo modulo è già attivo"
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Questo modulo è passivo e non può essere attivato"
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Devi aspettare che la costruzione dell'hub sia stata completata"
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Entrambi gli hub devono essere inattivi per stabilire un nuovo collegamento"
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","È necessario costruire almeno due hub per poter creare un collegamento"
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","Non è possibile sganciare manufatti sugli avamposti degli altri giocatori"
"TID_CANNOT_EDIT_MODULES_ON_STAR","Non puoi cambiare i moduli di una nave lontano dalla tua stella base"
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Solo il proprietario del pianeta può usare questo carico"
"TID_CMD_LEAP_NO_TARGET","Impossibile trovare una posizione valida per il teletrasporto"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Questo avamposto non può contenere altri carichi"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","Non puoi spostarti direttamente su una stella"
"TID_CMD_FAIL_CANTMOVE_BOND","Impossibile muoversi sotto l'influenza di LEGA"
"TID_ASTEROID_SPAWN_LIMIT","Questo settore non può supportare altri campi di asteroidi"
"TID_ENTRUST_NO_CARGO","Non puoi usare questo modulo. La nave proprietaria non sta trasportando un carico."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","La nave bersaglio non ha spazio sufficiente per ricevere un carico"
"TID_ENTRUST_SHIPMENT_LOADING","Non puoi usare Affida il carico viene imbarcato"
"TID_GENESIS_INVALID_SECTOR","Non puoi usare Genesi nel settore stellare"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Non puoi usare questo modulo in un settore portale di salto su stelle bianche"
"TID_CAN_USE_MODULE_ON_STAR","Non puoi usare questo modulo su questo tipo di stella"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","Puoi usare questo modulo solo nel livello pubblico di stella rossa {0} e superiori"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","Questo modulo può essere attivato solo quando nel settore ci sono delle navi nemiche"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","Questo modulo si può attivare solo quando nel raggio d'azione ci sono delle navi nemiche"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Attivazione impossibile: nessun bersaglio può essere teletrasportato"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Impossibile attivare Scudo quando Vendetta è attiva"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Per poter attivare questo modulo, è necessario raccogliere più idrogeno dalle navi minerarie."
"TID_SYSTEM_IS_PRIVATE","Questo sistema stellare è privato e non può essere visitato al momento"
"TID_FLAGHIP_NON_OFFICER","La nave ammiraglia della corporazione può ricevere ordini solo dagli ufficiali."
"TID_FLAGSHIP_IN_ANOTHER_STAR","La nave ammiraglia si trova in un'altra stella."
"TID_FLAGSHIP_IN_CURRENT_STAR","La nave ammiraglia è già in questa stella."
"TID_FLAGSHIP_IN_COOLDOWN","La nave ammiraglia è nel periodo di ricarica."
"TID_TUT_SECTION_REWARDS_LABEL","RICOMPENSE"
"TID_TUT_CONSTRUCT_SHIPYARD","COSTRUISCI UN CANTIERE NAVALE"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","I cantieri navali ti consentono di costruire nuove navi."
"TID_TUT_SELECT_SHIPYARD","• Seleziona cantiere navale"
"TID_TUT_SELECT_PLANET","• Seleziona il pianeta"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Il tuo impero ha scoperto un nuovo sistema stellare"
"TID_TUT_COLONIZE_FIRST_PLANET","FONDA LA TUA PRIMA COLONIA"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Il tuo impero cresce attraverso la colonizzazione di nuovi pianeti.\n\nI pianeti generano profitto attraverso le spedizioni di carichi e consentono la costruzione di nuove stazioni spaziali."
"TID_TUT_CONSTRUCT_SHIP","CREA UN NAVE {0}"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Le navi cargo sono fondamentali per far crescere l'economia: per questo, è una buona idea mantenerne almeno una nell'orbita di ciascun pianeta colonizzato. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Le navi minerarie sono fondamentali per costruire infrastrutture intorno ai tuoi pianeti."
"TID_TUT_CONSTRUCT_SPACE_STATION","COSTRUISCI: {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Le stazioni di scambio ti forniscono carichi extra che possono essere consegnati ai pianeti per ulteriori profitti."
"TID_TUT_UPGRADE_PLANET","MIGLIORA IL TUO PIANETA"
"TID_TUT_UPGRADE_PLANET_DESCR","Migliorare un pianeta incrementa la qualità dei carichi e aumenta la quantità massima di risorse che puoi immagazzinare."
"TID_TUT_KEEP_DOING_STUFF","CONTINUA A CONSEGNARE CARICHI"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Usa le navi cargo per consegnare carichi tra il pianeta e le sue lune.\n\nLa consegna di un carico ti aiuta a guadagnare risorse ed esperienza."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONIZZA UN SECONDO PIANETA"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","La colonizzazione di nuovi pianeti è fondamentale per la crescita del tuo impero.\n\nPrima di poter colonizzare un pianeta, è necessario che almeno una delle tue navi sia sulla sua superficie. Più pianeti colonizzi, più caro sarà il costo della colonizzazione del successivo."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONIZZA IL NUOVO PIANETA"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","I pianeti colonizzati possono essere utilizzati anche per riparare le tue navi. Colonizza il pianeta vicino alla nave da guerra danneggiata per iniziare la riparazione."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Fai clic sul pulsante {0}"
"TID_TUT_PLACE_BUILDING_PROMPT","• Seleziona posizione per: {0}"
"TID_TUT_SELECT_PRODUCTION","• Seleziona COSTRUISCI"
"TID_TUT_SELECT_MINER_SHIP","• Seleziona la tua nave mineraria"
"TID_TUT_SELECT_SHIPMENTS","• Seleziona CARICHI"
"TID_TUT_SELECT_LOAD_SHIPMENT","• Fai clic su un carico per imbarcarlo"
"TID_TUT_CLOSE_SHIPMENTS","• Chiudi la finestra Carichi"
"TID_TUT_CLOSE_PRODUCTION","• Chiudi la finestra Produzione"
"TID_TUT_CLOSE_MISSION_WINDOW","• Chiudi finestra"
"TID_TUT_SELECT_MOVE","• Seleziona SPOSTA"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Usa il pulsante SPOSTA o fai clic destro sulla destinazione carico illuminata"
"TID_TUT_SELECT_PROFILE","• Apri la finestra Impero"
"TID_TUT_SELECT_OBJECTIVES_TAB","• Seleziona OBIETTIVI"
"TID_TUT_SELECT_DESTINATION","• Seleziona la destinazione del carico illuminata"
"TID_TUT_SELECT_DEPART_NOW","• Seleziona PARTI"
"TID_TUT_SELECT_DEPART_NOW_PC","• Tocca PARTI o fai clic destro sulla destinazione"
"TID_TUT_SELECT_CANCEL_DEPART","• Seleziona ANNULLA"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Utilizza il comando Sposta o trascina la nave sul pianeta per raccogliere nuovi carichi"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Tocca il pulsante SPOSTA o fai clic destro sul pianeta per raccogliere altri carichi"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Utilizza il comando Sposta o trascina la nave sulla luna per raccogliere nuovi carichi"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Tocca il pulsante SPOSTA o fai clic destro sulla luna per raccogliere altri carichi"
"TID_TUT_SELECT_BUILD_BUTTON","• Seleziona {0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Termina subito produzione"
"TID_TUT_SELECT_SECOND_PLANET","• Seleziona il secondo pianeta"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Utilizza il comando Sposta o trascina la nave sul nuovo pianeta"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Tocca il pulsante SPOSTA o fai clic destro sul nuovo pianeta"
"TID_TUT_SELECT_TRANSPORT_SHIP","• Seleziona nave cargo"
"TID_TUT_SELECT_NEW_BUILDING","• Seleziona stazione"
"TIT_TUT_SELECT_MODULES","• Seleziona MODULI"
"TID_TUT_CLOSE_MODULES_DLG","• Chiudi finestra Moduli"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Chiudi finestra"
"TID_TUT_SELECT_TRANSPORT_MODULE","• Seleziona AMPLIAMENTO STIVA"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Seleziona slot disponibile"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Seleziona INSTALLA NUOVO MODULO"
"TID_TUT_SELECT_COLONIZE","• Seleziona Colonizza"
"TID_TUT_CLAIM_ACHIEVEMENT","Riscuoti il traguardo Carichi"
"TID_TUT_MINING_TITLE","INIZIA ESTRAZIONE"
"TID_TUT_MINING_DESCR","I campi di asteroidi contengono idrogeno prezioso. Assicurati che il tuo impero abbia a disposizione delle navi minerarie che si dedichino costantemente all'estrazione."
"TID_TUT_MOVE_TO_ASTEROID","• Seleziona un campo di asteroidi"
"TID_TUT_MINER_INFO","Le navi minerarie raccolgono idrogeno dai campi di asteroidi, fino a quando il relativo campo non si esaurisce."
"TID_TUT_CREATE_SECOND_TRANSPORT","CREA UNA SECONDA NAVE CARGO"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Le navi cargo sono fondamentali per far crescere l'economia: per questo, è una buona idea mantenerne almeno una nell'orbita di ciascun pianeta colonizzato. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","Una stazione dotata di scanner a corto raggio ti consente di esplorare i settori vicini, per viaggiare nei meandri più remoti di questo sistema stellare."
"TID_TUT_REVEAL_SECTOR","ESPLORA UN NUOVO SETTORE"
"TID_TUT_REVEAL_SECTOR_INFO","Costruisci uno scanner a corto raggio e usalo per trovare e colonizzare un terzo pianeta."
"TID_TUT_SELECT_NEARBY_SECTOR","• Seleziona un settore vicino"
"TID_TUT_SELECT_SCOUT_SECTOR","• Seleziona settore scansionato"
"TID_SELECT_EXPLORE","• Seleziona SVELA"
"TID_SELECT_EXPLORATION_SPEEDUP","• Termina subito la scansione"
"TID_TUT_DEFEAT_CERBERUS","SCONFIGGI LA SENTINELLA CERBERO"
"TID_TUT_DEFEAT_CERBERUS_INFO","Alcune misteriose navi Cerbero sono comparse in tutta la Galassia di Hades. Affrontale con le navi da guerra."
"TID_TUT_CREATE_BATTLESHIP","CREA UN NAVE DA GUERRA"
"TID_TUT_CREATE_BATTLESHIP_INFO","Le navi da guerra sono fondamentali per proteggere le altri navi e respingere le forze Cerbero."
"TID_TUT_SELECT_BATTLESHIP","• Seleziona nave da guerra"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Utilizza il comando Sposta o trascina la tua nave da guerra vicino alla sentinella Cerbero"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Tocca il pulsante SPOSTA o fai clic destro per spostare la tua nave da guerra vicino alla sentinella Cerbero"
"TID_TUT_REDSTARSCANNER_INFO","Lo scanner di stelle rosse ti consente di trovare ed esplorare nuove stelle."
"TID_TUT_JUMP_TRANSPORT","PORTA LA NAVE CARGO ALLA STELLA ROSSA CON UN SALTO"
"TID_TUT_JUMP_TRANSPORT_INFO","Puoi spostare le tue navi tra i sistemi stellari attraverso i portali di salto."
"TID_TUT_SEARCH_FOR_MISSION","SCANSIONA PER TROVARE UNA STELLA ROSSA"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Usa lo scanner di stelle rosse per scoprire un nuovo sistema stellare."
"TID_TUT_SELECT_MISSION_BUILDING","• Seleziona scanner di stelle rosse"
"TID_TUT_SELECT_SCANNER_BUTTON","• Seleziona SCANSIONA"
"TID_TUT_SELECT_MISSION_SEARCH","Seleziona INIZA SCANSIONE"
"TID_TUT_CONFIRM_JUMP","• Conferma salto"
"TID_TUT_SELECT_JUMP","• Seleziona SALTA"
"TID_TUT_MOVE_TO_STARGATE","• Utilizza il comando Sposta o trascina la nave sullo scanner di stelle rosse"
"TID_TUT_MOVE_TO_STARGATE_PC","• Tocca il pulsante SPOSTA o fai clic destro per spostare la tua nave sullo scanner di stelle rosse"
"TID_TUT_BRING_ARTIFACT","RIPORTA UN MANUFATTO DALLA STELLA ROSSA"
"TID_TUT_BRING_ARTIFACT_INFO","I pianeti vicini alle stelle rosse sono ricchi di manufatti. Riporta un manufatto per studiarlo."
"TID_TUT_VIEW_MISSION_STAR","• Seleziona VAI ALLA STELLA"
"TID_TUT_MOVE_BACK_TO_STARGATE","• Risposta la tua nave sul portale di salto"
"TID_TUT_MOVE_TO_PLANET","• Sposta la nave cargo sul pianeta"
"TID_TUT_SELECT_LOAD_ARTIFACT","• Tocca il manufatto per iniziare l'imbarco"
"TID_TUT_RESEARCH_STATION_INFO","La stazione di ricerca ti consente di studiare i manufatti. Costruiscine subito una nel tuo sistema stellare."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Sposta la nave cargo sulla stazione di ricerca"
"TID_TUT_SELECT_RESEARCH_STATION","• Seleziona stazione di ricerca"
"TID_TUT_SELECT_RESEARCH_BUTTON","Seleziona Studia"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Seleziona manufatto"
"TID_TAP_ON_START_RESEARCH","• Seleziona INIZIA STUDIO"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Seleziona TERMINA SUBITO"
"TID_COLLECT_ARTIFACT_REWARD","• Seleziona VEDI RISULTATI"
"TID_TUT_SELECT_UPGRADE","• Seleziona MIGLIORA"
"TID_TUT_DO_UPGRADE","• Conferma miglioramento"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Termina subito il miglioramento"
"TID_TUT_HINT_MOVEMENT","Una volta che una nave parte, non è più possibile modificarne il percorso fino al raggiungimento della sua destinazione."
"TID_TUT_HINT_RS_SUPERNOVA","Le stelle rosse diventano supernova poco dopo la loro scoperta. Assicurati che le tue navi siano tornate al portale di salto prima che il timer raggiunga lo zero."
"TID_TUT_HINT_MINING","La tua nave mineraria continuerà l'estrazione fino a quando le risorse di tutti campi di asteroidi del settore esagonale non saranno esaurite o fino a quando la tua capacità di idrogeno non sarà piena."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Una volta ultimata la costruzione di uno scanner a corto raggio potrai esplorare nuovi settori del sistema stellare."
"TID_TUT_RED_STAR_SCANNER","Quando lo scanner di stelle rosse rileva una nuova stella, diventa un portale stellare, che consente alle navi ormeggiate di saltare verso il nuovo sistema."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Termina subito la costruzione"
"TID_TUT_HINT_COMBAT","Le navi da combattimento presentano un raggio d'attacco visibile quando sono selezionate, e attaccheranno ogni nave nemica che entra in questo raggio."
"TID_TUT_HINT_HYDRO","Lo spostamento di una nave costa idrogeno. Tieni d'occhio le tue scorte di idrogeno e assicurati che le navi minerarie raccolgano costantemente nuovo idrogeno dai campi di asteroidi."
"TID_TUT_HINT_KEEPSHIPPING","Per aumentare i profitti, puoi continuare a consegnare carichi anche mentre la tua nave da guerra sta viaggiando."
"TID_TUT_HINT_REPAIR","Se ormeggi una nave danneggiata in un pianeta colonizzato, luna o stazione, inizierà il processo di riparazione."
"TID_TUT_PLANETS_WITH_ARTIFACTS","I pianeti delle stelle rosse contengono manufatti, che possono essere studiati. A differenza dei carichi, imbarcare un manufatto sulle navi cargo richiede del tempo."
"TID_TUT_HINT_RESEARCH_STATION","La stazione di ricerca può essere utilizzata per immagazzinare, studiare o recuperare i manufatti raccolti."
"TID_TUT_RETURN_HOME","• Torna alla tua stella base"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","NOTIFICHE"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star può inviare notifiche al tuo dispositivo in caso di eventi importanti, come ad esempio quando una nave mineraria è in attesa di nuovi ordini.\n\nSe decidi di disattivare le notifiche, potrai sempre riattivarle in seguito nelle impostazioni del tuo dispositivo."
"TID_TUT_SHIPYARD_HINT","Il cantiere navale ti consente di costruire altre navi e può essere migliorato per aumentare la capacità totale della flotta."
"TID_TUT_UPGRADE_SHIPYARD","MIGLIORA IL CANTIERE NAVALE"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Migliora il tuo cantiere navale al livello {0}, per costruire più navi."
"TID_TUT_VIEW_OBJECTIVES","VEDI OBIETTIVI"
"TID_TUT_VIEW_OBJECTIVES_DESCR","La finestra degli obiettivi fornisce ulteriori traguardi e linee guida per il tuo viaggio nella Galassia di Hades."
"TID_TUT_INSTALL_MODULE","INSTALLA UN MODULO"
"TID_TUT_INSTALL_MODULE_DESCR","È possibile migliorare le navi installando nuovi moduli. I moduli possono essere attivi o passivi e fornire vantaggi unici a ciascuna nave."
"TID_TUT_OPEN_TECH_WINDOW","• Apri la finestra Tecnologia"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Chiudi il menu di selezione"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Seleziona il modulo appena scoperto"
"TID_TUT_SELECT_BACK","• Torna indietro"
"TID_TUT_FINISH_MODULE_UPGRADE","• Termina subito miglioramento"
"TID_TUT_START_MODULE_UPGRADE","• Inizia procedura di sblocco modulo"
"TID_TUT_SELECT_EDIT_MODULES","• Seleziona Installa moduli"
"TID_TUT_CLAIM_OBJECTIVE","• Riscuoti l'obiettivo completato"
"TID_BUILDING_SHIPYARD","CANTIERE NAVALE"
"TID_BUILDING_SHIPYARD_DESCR","Permette la costruzione di navi. Migliora per aumentare la totale capacità della flotta del tuo impero."
"TID_BUILDING_REDSTAR_SCANNER","SCANNER DI STELLE ROSSE"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Rileva le stelle rosse nelle vicinanze."
"TID_BUILDING_REDSTAR_SCANNER_INFO","Lo scanner di stelle rosse rileva le stelle nelle vicinanze che si stanno trasformando in supernove. Queste stelle sono in genere circondate da vecchi pianeti ricchi di manufatti preziosi, ma sorvegliati dalle forze Cerbero.\n\nGli altri giocatori possono usare i loro scanner di stelle rosse per accedere alle stesse stelle."
"TID_BUILDING_TRADINGSTATION","STAZIONE DI SCAMBIO"
"TID_BUILDING_TRADINGSTATION_DESCR","Consente di creare e accettare carichi per e da i tuoi pianeti. Deve essere collocata in un settore vuoto."
"TID_BUILDING_DIPLOMACY_CENTER","STAZIONE DIPLOMATICA"
"TID_BUILDING_DIPLOMACY_CENTER_DESCR","Consente di stabilire relazioni diplomatiche con altri giocatori. Giocatori con relazioni diplomatiche possono inviare navi ai rispettivi sistemi."
"TID_BUILDING_DIPLOMACY_CENTER_INFO","La stazione diplomatica può creare un portale di salto bidirezionale con il sistema base di un altro giocatore. Una volta stabilito un collegamento, entrambi i giocatori possono inviare navi dall'altra parte del portale."
"TID_BUILDING_WARPLANE_HUB","HUB CORSIA WARP"
"TID_BUILDING_WARPLANE_HUB_DESCR","Due hub che possono essere collegati per creare una corsia warp temporanea nel tuo sistema. Una corsia warp attiva permette alle navi di viaggiare all'istante e senza consumare idrogeno."
"TID_BUILDING_WARPLANE_HUB_INFO","Questo hub corsia warp può essere connesso a un altro hub per un giorno, a un costo fisso di idrogeno. Una volta stabilito il collegamento, le navi possono viaggiare istantaneamente tra i due punti senza consumare idrogeno."
"TID_BUILDING_STARGATE","PORTALE DI SALTO"
"TID_BUILDING_STARGATE_DESCR","Sparpagliate in tutta la Galassia di Hades, queste strutture misteriose consentono alle navi di saltare tra un sistema stellare e un altro."
"TID_BUILDING_RESEARCH","STAZIONE DI RICERCA"
"TID_BUILDING_RESEARCH_DESCR","Analizza i manufatti trovati nelle stelle rosse."
"TID_BUILDING_RESEARCH_INFO","La stazione di ricerca può essere utilizzata per immagazzinare e studiare i manufatti. Invia qui la tua nave cargo per depositare automaticamente i nuovi manufatti."
