"TID_INTRO_MESSAGE_TITLE","BIENVENUE DANS HADES' STAR"
"TID_CONNECTION_LOST_INACTIVITY","Vous avez été déconnecté(e) du serveur pour inactivité."
"TID_MSG_SERVER_SHUTTING_DOWN_MAINTENANCE","Le serveur va fermer dans quelques minutes pour maintenance."
"TID_LABEL_SERVER_MAINTENANCE","Maintenance du serveur dans\n{0}"
"TID_MAINTENANCE_TITLE","MAINTENANCE"
"TID_MAINTENANCE_INFO","Nous effectuons régulièrement des maintenances sur le serveur pour améliorer le jeu.\n\n<a name=''http://blog.hadesstar.com/2017/08/about-maintenance.html''>Plus d'informations</a>"
"TID_ASTEROID_FIELD","Ceinture d'astéroïdes"
"TID_COLONIZATION_STARTING","Début de la colonisation dans {0}"
"TID_DISBAND_FLEET_CONFIRM","Voulez-vous vraiment détruire ce vaisseau pour toujours ? Ceci augmentera la capacité de votre flotte."
"TID_STATUS_UPGRADING","Amélioration en cours..."
"TID_STATUS_COLONIZING","Colonisation en cours..."
"TID_DISTANCE","{0}UA"
"TID_CONFIRM_DLG_TITLE","CONFIRMER"
"TID_MSG_SOLAR_SYSTEM_LOAD_FAIL","Échec du chargement du système stellaire"
"TID_MSG_QUIT_GAME","Voulez-vous vraiment quitter le jeu ?"
"TID_CMD_FAILED_TUTORIAL","Cette action n'est pas disponible à cette étape du didacticiel."
"TID_MSG_CANNOT_JUMP_SHIP","Échec du saut"
"TID_SHARE_MESSAGE_LABEL","MESSAGE"
"TID_SHARE_BUTTON_SUBMIT","ENVOYER"
"TID_SHARE_BUTTON_CANCEL","ANNULER"
"TID_SHARE_VIEW_DEFAULT_MSG","Regardez un peu ça !"
"TID_SHARE_VIEW_DESCR","Sélectionnez une vue dans ce système stellaire pour la partager avec votre corporation"
"TID_BACK_BUTTON","Retour"
"TID_FINISH_REPAIR_CONFIRM","Terminer les réparations du vaisseau immédiatement ?"
"TID_PLAYER_JOIN_RED_STAR","{0} a rejoint cette étoile rouge"
"TID_MAINTENANCE_MESSAGE","Veuillez nous excuser pour la récente panne de serveur. Nous avons ajouté {0} cristaux à votre compte en guise de dédommagement. Nous vous remercions de votre patience !\n\n- L'équipe d'Hades' Star"
"TID_FEATURE_DISABLED","Cette fonction est temporairement indisponible."
"TID_PERSONAL_DATA_PREF","Gérez vos données personnelles"
"TID_KEYBOARD_SHORTCUT","Raccourci : <b>{0}</b>"
"TID_BUILD_FAILED_MUST_EXPAND","Vous devez étendre davantage votre système stellaire avant de pouvoir construire cette station"
"TID_CMD_FAILED_GENERIC","Échec de l'ordre"
"TID_CMD_FAILED_PLAYER","Échec de l'ordre du joueur"
"TID_CMD_FAILED_SS","Échec de l'ordre du système stellaire"
"TID_CMD_FAILED_RESOURCE_LIMIT","Espace insuffisant. Améliorez vos planètes pour augmenter l'espace disponible."
"TID_JUMP_CMD_ERROR_NO_PLAYER_INFO_AVAILABLE","Le serveur est occupé. Veuillez réessayer dans quelques minutes."
"TID_JUMP_CMD_ERROR_BATTLESHIP_LIMIT_REACHED","Vous essayez d'envoyer plus de cuirassés que cette étoile rouge ne peut en contenir."
"TID_JUMP_CMD_ERROR_CANT_USE_OTHER_PLAYERS_GATE","Vous ne pouvez pas utiliser cette porte de saut."
"TID_CMD_LOAD_SHIPMENT_FAIL_CAPACITY","Capacité insuffisante pour charger cette cargaison"
"TID_NOT_ENOUGH_CRYSTALS","Cristaux insuffisants"
"TID_CMD_CANT_SEND_SHIP_OUTSIDE_FOW","Vous ne pouvez pas envoyer de vaisseaux en dehors de votre champ de visibilité."
"TID_CMD_ROUTE_EMPTY_SECTOR","Vous ne pouvez pas traverser une zone inexplorée."
"TID_CANNOT_MOVE_ACROSS_SECTORS_HERE","Vous ne pouvez pas aller aussi loin dans ce système stellaire."
"TID_CMD_CANT_UPGRADE_PLANET","Cette planète ne peut pas être améliorée davantage."
"TIC_CMD_ALREADY_UPGRADING_PLANET","Cette planète est déjà en cours d'amélioration."
"TID_CMD_BUILDING_LIMIT_REACHED","Vous ne pouvez pas construire plus de stations de ce type."
"TID_SCANNER_REQUIRED","Vous avez besoin d'un scanner à courte portée disponible dans un secteur adjacent."
"TID_SCANNER_ALREADY_BUSY","Votre scanner à courte portée est déjà en train de scanner un autre secteur."
"TID_MODULE_ON_COOLDOWN","Vous devez attendre que le module refroidisse avant de pouvoir le réutiliser."
"TID_MODULE_ALREADY_ACTIVATED","Le module est déjà actif."
"TID_PASSIVE_MODULE_CANNOT_BE_ACTIVATED","Ce module est passif et ne peut pas être activé."
"TID_CANNOT_LINK_WARP_LANE_UNTIL_CONSTRUCTION_IS_DONE","Vous devez attendre que la construction du noyau soit terminée."
"TID_CANNOT_LINK_WARP_LANE_ALREADY_ACTIVE","Les deux noyaux doivent être inactifs pour pouvoir établir un nouveau lien."
"TID_CANNOT_LINK_WARP_LANE_NEED_TWO_ENDPOINTS","Vous devez construire au moins deux noyaux avant de pouvoir les relier."
"TID_CANNOT_DROP_ARTIFACT_ON_OTHER_PLAYER","Vous ne pouvez pas mettre d'artéfacts dans les avant-postes d'un autre joueur."
"TID_CANNOT_EDIT_MODULES_ON_STAR","Vous ne pouvez modifier les modules d'un vaisseau que sur votre étoile d'origine."
"TID_CMD_LOAD_SHIPMENT_FAIL_RESTRICTED","Seul le propriétaire de la planète peut utiliser cette cargaison."
"TID_CMD_LEAP_NO_TARGET","Lieu de téléportation valide introuvable"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Cet avant-poste ne peut plus accueillir de cargaisons."
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","Vous ne pouvez pas vous rendre directement sur une étoile."
"TID_CMD_FAIL_CANTMOVE_BOND","Impossible de se déplacer lorsque vous êtes sous l'influence de LIEN"
"TID_ASTEROID_SPAWN_LIMIT","Ce secteur ne peut pas héberger d'autres champs d'astéroïdes"
"TID_ENTRUST_NO_CARGO","Impossible d'utiliser ce module. Le vaisseau propriétaire ne transporte aucune cargaison."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","Le vaisseau cible n'a pas la capacité suffisante pour recevoir cette cargaison"
"TID_ENTRUST_SHIPMENT_LOADING","Impossible d'utiliser Confiance lorsque la cargaison est en cours de chargement"
"TID_GENESIS_INVALID_SECTOR","Impossible d'utiliser Genèse dans le secteur de l'étoile"
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Ce module est inutilisable dans un secteur avec porte de saut sur une étoile blanche"
"TID_CAN_USE_MODULE_ON_STAR","Ce module est inutilisable sur ce type d'étoile"
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","Vous ne pouvez utiliser ce module que sur des étoiles rouges publiques de niveau {0} ou supérieur"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","Ce module ne peut pas être activé s'il n'y a pas de vaisseaux ennemis dans le secteur"
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","Ce module ne peut pas être activé s'il n'y a pas de vaisseaux ennemis à portée"
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Activation impossible. Aucune cible de téléportation valide trouvée"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Impossible d'activer le bouclier tant que Vengeance est active"
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Vous devez récupérer plus d'hydrogène sur votre vaisseau de forage avant de pouvoir activer ce module."
"TID_SYSTEM_IS_PRIVATE","Ce système stellaire est privé et il est impossible de s'y rendre pour le moment"
"TID_FLAGHIP_NON_OFFICER","Seuls les officiers peuvent donner des ordres au vaisseau amiral de la corporation."
"TID_FLAGSHIP_IN_ANOTHER_STAR","Le vaisseau amiral est actuellement dans une autre étoile."
"TID_FLAGSHIP_IN_CURRENT_STAR","Le vaisseau amiral est déjà dans cette étoile."
"TID_FLAGSHIP_IN_COOLDOWN","Le vaisseau amiral subit actuellement un temps de récupération."
"TID_TUT_SECTION_REWARDS_LABEL","RÉCOMPENSES"
"TID_TUT_CONSTRUCT_SHIPYARD","CONSTRUIRE UN CHANTIER SPATIAL"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","Les chantiers spatiaux vous permettent de créer de nouveaux vaisseaux."
"TID_TUT_SELECT_SHIPYARD","• Sélectionnez votre chantier spatial"
"TID_TUT_SELECT_PLANET","• Sélectionnez votre planète"
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Votre empire a découvert un nouveau système stellaire"
"TID_TUT_COLONIZE_FIRST_PLANET","ÉTABLISSEZ VOTRE PREMIÈRE COLONIE"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Vous agrandissez votre empire en colonisant de nouvelles planètes.\n\nLes planètes vous fournissent un revenu grâce aux cargaisons et vous permettent de construire des stations spatiales."
"TID_TUT_CONSTRUCT_SHIP","CONSTRUISEZ UN VAISSEAU DE FORAGE"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Les vaisseaux de transport sont esssentiels au développement de votre économie. Il est conseillé d'en avoir au moins un autour de chaque planète que vous avez colonisée. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Les vaisseaux de forage sont nécessaires à la construction d'infrastructures autour de vos planètes."
"TID_TUT_CONSTRUCT_SPACE_STATION","CONSTRUISEZ 1 {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Les stations d'échange vous offrent des cargaisons supplémentaires qui peuvent être livrées à vos planètes pour gagner de l'argent."
"TID_TUT_UPGRADE_PLANET","AMÉLIOREZ VOTRE PLANÈTE"
"TID_TUT_UPGRADE_PLANET_DESCR","Améliorez vos planètes pour augmenter la qualité de vos cargaisons ainsi que la quantité maximale de ressources que vous pouvez stocker."
"TID_TUT_KEEP_DOING_STUFF","CONTINUEZ À LIVRER DES CARGAISONS"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Utilisez vos vaisseaux de transport pour livrer des cargaisons entre une planètes et ses lunes.\n\nLa livraison de cargaisons vous fait gagner de l'expérience et de précieuses ressources."
"TID_TUT_COLONIZE_SECOND_PLANET","COLONISEZ UNE DEUXIÈME PLANÈTE"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","Il est vital de coloniser de nouvelles planètes afin d'agrandir votre empire.\n\nVous devez avoir placé au moins l'un de vos vaisseaux à la surface d'une planète pour pouvoir la coloniser. Plus vous colonisez de planètes, plus le prix de colonisation des planètes suivantes augmente."
"TID_TUT_COLONIZE_THIRD_PLANET","COLONISEZ LA NOUVELLE PLANÈTE"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Les planètes colonisées peuvent être utilisées pour réparer vos vaisseaux. Colonisez la planète près de votre cuirassé endommagé afin de lancer le processus."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Cliquez sur le bouton {0}"
"TID_TUT_PLACE_BUILDING_PROMPT","• Sélectionnez une position pour votre {0}"
"TID_TUT_SELECT_PRODUCTION","• Sélectionnez CONSTRUIRE"
"TID_TUT_SELECT_MINER_SHIP","• Sélectionnez votre vaisseau de forage"
"TID_TUT_SELECT_SHIPMENTS","• Sélectionnez CARGAISONS"
"TID_TUT_SELECT_LOAD_SHIPMENT","• Cliquez sur une cargaison pour la charger"
"TID_TUT_CLOSE_SHIPMENTS","• Fermez la fenêtre de cargaison"
"TID_TUT_CLOSE_PRODUCTION","• Fermez la fenêtre de production"
"TID_TUT_CLOSE_MISSION_WINDOW","• Fermez la fenêtre"
"TID_TUT_SELECT_MOVE","• Sélectionnez DÉPLACER"
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Utilisez le bouton DÉPLACER ou faites un clic droit sur la destination de la cargaison en surbrillance"
"TID_TUT_SELECT_PROFILE","• Ouvrez votre fenêtre d'empire"
"TID_TUT_SELECT_OBJECTIVES_TAB","• Sélectionnez OBJECTIFS"
"TID_TUT_SELECT_DESTINATION","• Sélectionnez la destination en surbrillance de la cargaison"
"TID_TUT_SELECT_DEPART_NOW","• Sélectionnez DÉPART"
"TID_TUT_SELECT_DEPART_NOW_PC","• Cliquez sur DÉPART ou faites un clic droit sur la destination"
"TID_TUT_SELECT_CANCEL_DEPART","• Sélectionnez ANNULER"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la planète pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la planète pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la lune pour récupérer plus de cargaisons"
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la lune pour récupérer plus de cargaisons"
"TID_TUT_SELECT_BUILD_BUTTON","• Sélectionnez {0}"
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Terminez la production immédiatement"
"TID_TUT_SELECT_SECOND_PLANET","• Sélectionnez la deuxième planète"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers la nouvelle planète"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit sur la nouvelle planète"
"TID_TUT_SELECT_TRANSPORT_SHIP","• Sélectionnez votre vaisseau de transport"
"TID_TUT_SELECT_NEW_BUILDING","• Sélectionnez la station"
"TIT_TUT_SELECT_MODULES","• Sélectionnez MODULES"
"TID_TUT_CLOSE_MODULES_DLG","• Fermez la fenêtre de modules"
"TID_TUT_CLOSE_WINDOW_GENERIC","• Fermez la fenêtre"
"TID_TUT_SELECT_TRANSPORT_MODULE","• Sélectionnez EXTENSION DE L'AIRE DE CHARGEMENT"
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Sélectionnez l'emplacement vide"
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Sélectionnez INSTALLER UN NOUVEAU MODULE"
"TID_TUT_SELECT_COLONIZE","• Sélectionnez Coloniser"
"TID_TUT_CLAIM_ACHIEVEMENT","Récupérez l'exploit de la cargaison"
"TID_TUT_MINING_TITLE","COMMENCEZ À FORER"
"TID_TUT_MINING_DESCR","Les ceintures d'astéroïdes contiennent du précieux hydrogène. Votre empire devrait toujours avoir quelques vaisseaux de forage en activité à tout moment."
"TID_TUT_MOVE_TO_ASTEROID","• Sélectionnez une ceinture d'astéroïdes"
"TID_TUT_MINER_INFO","Les vaisseaux de forage récupèrent de l'hydrogène dans les ceintures d'astéroïdes. Ils restent sur la même ceinture d'astéroïdes jusqu'à récupérer tout l'hydrogène qu'elle contient."
"TID_TUT_CREATE_SECOND_TRANSPORT","CRÉEZ UN DEUXIÈME VAISSEAU DE TRANSPORT"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Les vaisseaux de transport sont esssentiels au développement de votre économie. Il est conseillé d'en avoir au moins un autour de chaque planète que vous avez colonisée. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","Le scanner à courte portée vous permet d'explorer les secteurs à proximité afin de pouvoir voir et voyager plus loin dans le système stellaire."
"TID_TUT_REVEAL_SECTOR","EXPLOREZ UN NOUVEAU SECTEUR"
"TID_TUT_REVEAL_SECTOR_INFO","Fabriquez un scanner à courte portée et utilisez-le afin de trouver et de coloniser une troisième planète."
"TID_TUT_SELECT_NEARBY_SECTOR","• Sélectionnez un secteur à proximité"
"TID_TUT_SELECT_SCOUT_SECTOR","• Sélectionnez le secteur scanné"
"TID_SELECT_EXPLORE","• Sélectionnez DÉVOILER"
"TID_SELECT_EXPLORATION_SPEEDUP","• Terminez le scan immédiatement"
"TID_TUT_DEFEAT_CERBERUS","BATTEZ LA SENTINELLE CERBÈRE"
"TID_TUT_DEFEAT_CERBERUS_INFO","De mystérieux vaisseaux Cerbères peuvent apparaître à travers la galaxie d'Hades. Repoussez-les en utilisant vos cuirassés."
"TID_TUT_CREATE_BATTLESHIP","CRÉEZ UN CUIRASSÉ"
"TID_TUT_CREATE_BATTLESHIP_INFO","Les cuirassés sont nécessaires pour garder vos autres vaisseaux en sécurité et repousser les forces Cerbères."
"TID_TUT_SELECT_BATTLESHIP","• Sélectionnez votre cuirassé"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Utilisez l'ordre de déplacement ou bien faites glisser votre cuirassé près de la sentinelle Cerbère"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit pour déplacer votre cuirassé près de la sentinelle Cerbère"
"TID_TUT_REDSTARSCANNER_INFO","Le scanner d'étoile rouge vous permet de trouver et de voyager vers de nouveaux systèmes."
"TID_TUT_JUMP_TRANSPORT","FAITES SAUTER VOTRE VAISSEAU DE TRANSPORT VERS L'ÉTOILE ROUGE"
"TID_TUT_JUMP_TRANSPORT_INFO","Vous pouvez déplacer des vaisseaux entre des systèmes stellaires en utilisant des portes de saut."
"TID_TUT_SEARCH_FOR_MISSION","SCANNEZ POUR TROUVER UNE ÉTOILE ROUGE"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Utilisez votre scanner d'étoile rouge pour découvrir un nouveau système stellaire."
"TID_TUT_SELECT_MISSION_BUILDING","• Sélectionnez votre scanner d'étoile rouge"
"TID_TUT_SELECT_SCANNER_BUTTON","• Sélectionnez SCANNER"
"TID_TUT_SELECT_MISSION_SEARCH","Sélectionnez COMMENCER À SCANNER"
"TID_TUT_CONFIRM_JUMP","• Confirmez le saut"
"TID_TUT_SELECT_JUMP","• Sélectionnez SAUTER"
"TID_TUT_MOVE_TO_STARGATE","• Utilisez l'ordre de déplacement ou bien faites glisser votre vaisseau vers le scanner d'étoile rouge"
"TID_TUT_MOVE_TO_STARGATE_PC","• Cliquez sur le bouton DÉPLACER ou faites un clic droit pour déplacer votre vaisseau jusqu'au scanner d'étoile rouge"
"TID_TUT_BRING_ARTIFACT","RÉCUPÉREZ UN ARTÉFACT SUR L'ÉTOILE ROUGE"
"TID_TUT_BRING_ARTIFACT_INFO","Les planètes près des étoiles rouges sont riches en artéfacts. Récupérez un artéfact afin de pouvoir commencer à le rechercher."
"TID_TUT_VIEW_MISSION_STAR","• Sélectionnez ALLER À L'ÉTOILE"
"TID_TUT_MOVE_BACK_TO_STARGATE","• Déplacez votre vaisseau jusqu'à la porte de saut"
"TID_TUT_MOVE_TO_PLANET","• Déplacez votre vaisseau de transport jusqu'à la planète"
"TID_TUT_SELECT_LOAD_ARTIFACT","• Cliquez sur l'artéfact pour commencer à le charger"
"TID_TUT_RESEARCH_STATION_INFO","Vous avez besoin d'une station de recherche pour étudier ces artéfacts. Construisez-en une dans votre système stellaire dès maintenant."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Déplacez votre vaisseau de transport jusqu'à la station de recherche"
"TID_TUT_SELECT_RESEARCH_STATION","• Sélectionnez votre station de recherche"
"TID_TUT_SELECT_RESEARCH_BUTTON","Sélectionnez Recherche"
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Sélectionnez l'artéfact"
"TID_TAP_ON_START_RESEARCH","• Sélectionnez LANCER LA RECHERCHE"
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Sélectionnez TERMINER IMMÉDIATEMENT"
"TID_COLLECT_ARTIFACT_REWARD","• Sélectionnez VOIR RÉSULTATS"
"TID_TUT_SELECT_UPGRADE","• Sélectionnez AMÉLIORER"
"TID_TUT_DO_UPGRADE","• Confirmez l'amélioration"
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Terminez l'amélioration dès maintenant"
"TID_TUT_HINT_MOVEMENT","Une fois le vaisseau parti, vous ne pouvez pas changer sa trajectoire et devez attendre qu'il atteigne sa destination."
"TID_TUT_HINT_RS_SUPERNOVA","Les étoiles rouges deviendront des supernovae peu après leur découverte. Assurez-vous que vos vaisseaux retournent à la porte de saut avant la fin du minuteur."
"TID_TUT_HINT_MINING","Votre vaisseau de forage continuera à forer jusqu'à ce que toutes les ceintures d'astéroïdes de son secteur hexagonal soient épuisées ou que votre capacité d'hydrogène soit pleine."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Une fois construit, le scanner à courte portée vous permettra d'explorer de nouveaux secteurs dans ce système stellaire."
"TID_TUT_RED_STAR_SCANNER","Une fois que le scanner d'étoile rouge détecte une nouvelle étoile, il se transforme en porte de saut, vous permettant d'envoyer vos vaisseaux vers le nouveau système."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Terminez la construction dès maintenant"
"TID_TUT_HINT_COMBAT","Sélectionnez un vaisseau de combat pour voir sa portée d'attaque. Ces vaisseaux attaquent automatiquement les ennemis qui entrent dans cette portée."
"TID_TUT_HINT_HYDRO","Déplacer un vaisseau coûte de l'hydrogène. Gardez un œil sur vos réserves d'hydrogène et assurez-vous d'avoir tout le temps des vaisseaux de forage collectant de l'hydrogène sur les ceintures d'astéroïdes."
"TID_TUT_HINT_KEEPSHIPPING","Vous pouvez continuer de livrer des cargaisons afin de gagner un revenu quand votre cuirassé voyage."
"TID_TUT_HINT_REPAIR","Tout vaisseau endommagé sera lentement réparé si vous l'arrimez à une planète colonisée, une lune ou une station."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Les planètes des étoiles rouges abritent des artéfacts que vous pouvez rechercher. Contrairement aux cargaisons normales, les artéfacts mettent du temps à être chargés dans vos vaisseaux de transport."
"TID_TUT_HINT_RESEARCH_STATION","La station de recherche permet de stocker, rechercher ou démanteler les artéfacts que vous récupérez."
"TID_TUT_RETURN_HOME","• Revenez à votre étoile d'origine"
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","NOTIFICATIONS"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades' Star peut envoyer des notifications sur votre appareil pour les événements importants, comme lorsque votre vaisseau de forage nécessite de nouveaux ordres.\n\nSi vous avez bloqué ces notifications, vous pouvez les réactiver à tout moment dans les paramètres de votre appareil."
"TID_TUT_SHIPYARD_HINT","Le chantier spatial vous permet de créer des vaisseaux supplémentaires. Il peut être amélioré afin d'augmenter la capacité totale de votre flotte."
"TID_TUT_UPGRADE_SHIPYARD","AMÉLIOREZ VOTRE CHANTIER SPATIAL"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Améliorez votre chantier spatial au niveau {0} afin de pouvoir construire plus de vaisseaux."
"TID_TUT_VIEW_OBJECTIVES","VOIR LES OBJECTIFS"
"TID_TUT_VIEW_OBJECTIVES_DESCR","La fenêtre Objectifs fournit des buts et des directives supplémentaires pour votre voyage à travers la galaxie d'Hades."
"TID_TUT_INSTALL_MODULE","INSTALLEZ UN MODULE"
"TID_TUT_INSTALL_MODULE_DESCR","Les vaisseaux peuvent être améliorés en installant des modules. Ces modules sont soit activables, soit passifs, et ils offrent des avantages uniques à chaque vaisseau."
"TID_TUT_OPEN_TECH_WINDOW","• Ouvrez la fenêtre de technologie"
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Fermez l'onglet de sélection"
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Sélectionnez votre nouveau module"
"TID_TUT_SELECT_BACK","• Revenez à la fenêtre précédente"
"TID_TUT_FINISH_MODULE_UPGRADE","• Terminez l'amélioration dès maintenant"
"TID_TUT_START_MODULE_UPGRADE","• Lancez le processus de déblocage du module"
"TID_TUT_SELECT_EDIT_MODULES","• Sélectionnez Installer modules"
"TID_TUT_CLAIM_OBJECTIVE","• Validez l'objectif terminé"
"TID_BUILDING_SHIPYARD","CHANTIER SPATIAL"
"TID_BUILDING_SHIPYARD_DESCR","Permet de construire des vaisseaux. Améliorez-le afin d'augmenter la capacité de flotte totale de votre empire."
"TID_BUILDING_REDSTAR_SCANNER","SCANNER D'ÉTOILE ROUGE"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Détecte les étoiles rouges à proximité."
"TID_BUILDING_REDSTAR_SCANNER_INFO","Le scanner d'étoile rouge peut détecter les étoiles à proximité étant sur le point de devenir une supernova. Ces étoiles abritent généralement de vieilles planètes contenant de précieux artéfacts, mais elles sont également protégées par des forces Cerbères.\n\nLes autres joueurs peuvent utiliser leur scanner d'étoile rouge pour découvrir ces mêmes étoiles."
