"TID_INTRO_MESSAGE_TITLE","WILLKOMMEN ZU HADES STAR"
"TID_CMD_LEAP_NO_TARGET","Keinen gültigen Ort für die Teleportation gefunden"
"TID_CMD_FAIL_CANNOT_UNLOAD_SHIPMENT","Dieser Außenposten kann keine zusätzlichen Waren aufnehmen"
"TID_CMD_FAIL_CANNOT_MOVE_TO_STAR","Du kannst dich nicht direkt zu einem Stern bewegen"
"TID_CMD_FAIL_CANTMOVE_BOND","Kann sich unter dem Einfluss von BINDUNG nicht bewegen"
"TID_ASTEROID_SPAWN_LIMIT","In diesem Sektor können keine Asteroidenfelder mehr platziert werden."
"TID_ENTRUST_NO_CARGO","Dieses Modul kann nicht verwendet werden. Dein Schiff transportiert keine Ladung."
"TID_ENTRUST_NO_CAPACITY_ON_TARGET","Das ausgewählte Schiff hat nicht genug Raum, um eine Ladung zu erhalten."
"TID_ENTRUST_SHIPMENT_LOADING","Verwahrung kann nicht verwendet werden, während die Ladung eingeladen wird."
"TID_GENESIS_INVALID_SECTOR","Genesis kann nicht auf den Sternensektor verwendet werden."
"TID_CANT_USE_MODULE_JUMPGATE_SECTOR","Das Modul funktioniert nicht in einem Sektor mit Sprungtoren an weißen Zwergen."
"TID_CAN_USE_MODULE_ON_STAR","Dieses Modul ist mit dem Sternentyp nicht kompatibel."
"TID_CANT_USE_MODULE_ON_THIS_RS_LEVEL","Du kannst das Modul nur auf öffentlichen roten Riesen der Stufe {0} und höher anwenden."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_SECTOR","Dieses Modul kann nur aktiviert werden, wenn sich feindliche Schiffe im Sektor befinden."
"TID_MODULE_NEEDS_ENEMY_SHIPS_IN_RANGE","Dieses Modul kann nur aktiviert werden, wenn sich feindliche Schiffe in Reichweite befinden."
"TID_MODULE_CANNOT_FIND_TELEPORT_TARGET","Kann nicht aktiviert werden, kein gültiges Teleportationsziel gefunden"
"TID_MODULE_CANT_ACTIVATE_SHIELD_WITH_VENG","Schild kann nicht aktiviert werden, während Vergeltung aktiv ist."
"TID_MODULE_CANT_ACTIVATE_NEED_HYDRO_ONBOARD","Dieses Modul erfordert mehr Wasserstoff auf deinem Bergbauschiff, bevor es aktiviert werden kann."
"TID_SYSTEM_IS_PRIVATE","Dieses Sternensystem ist privat und kann zurzeit nicht betreten werden"
"TID_FLAGHIP_NON_OFFICER","Nur Offiziere können dem Konzern-Flaggschiff Befehle erteilen."
"TID_FLAGSHIP_IN_ANOTHER_STAR","Das Flaggschiff nimmt gerade an einer anderen Mission teil."
"TID_FLAGSHIP_IN_CURRENT_STAR","Das Flaggschiff nimmt bereits an dieser Mission teil."
"TID_FLAGSHIP_IN_COOLDOWN","Die Abklingzeit des Flaggschiffs ist noch nicht abgelaufen."
"TID_TUT_SECTION_REWARDS_LABEL","BELOHNUNGEN"
"TID_TUT_CONSTRUCT_SHIPYARD","BAUE EINE WELTRAUMWERFT"
"TID_TUT_CONSTRUCT_SHIPYARD_INFO","In Weltraumwerften baust du neue Schiffe."
"TID_TUT_SELECT_SHIPYARD","• Wähle deine Weltraumwerft aus."
"TID_TUT_SELECT_PLANET","• Wähle deinen Planeten aus."
"TID_TUT_FIRST_SHIP_INTRO_LABEL","Dein Imperium hat ein neues Sternensystem entdeckt."
"TID_TUT_COLONIZE_FIRST_PLANET","ERRICHTE DEINE ERSTE KOLONIE"
"TID_TUT_COLONIZE_FIRST_PLANET_DESCR","Dein Imperium wächst mit jeder neuen Kolonie.\n\nPlaneten bieten dir Einnahmen durch das Liefern von Waren und erlauben den Bau von Weltraumstationen."
"TID_TUT_CONSTRUCT_SHIP","BAUE EIN BERGBAUSCHIFF"
"TID_TUT_CONSTRUCT_TRANSPORT_DESCR","Transportschiffe sind wichtig für das Wachstum deiner Wirtschaft. Du solltest mindestens ein Transportschiff bei jedem deiner kolonisierten Planeten haben. "
"TID_TUT_CONSTRUCT_SUPPORT_DESCR","Bergbauschiffe sind wichtig für den Aufbau der Infrastruktur bei deinen Planeten."
"TID_TUT_CONSTRUCT_SPACE_STATION","BAUE 1 {0}"
"TID_TUT_CONSTRUCT_TRADING_STATION_DESCR","Handelsstationen erzeugen zusätzliche Waren, die du gegen Credits zu Planeten transportieren kannst."
"TID_TUT_UPGRADE_PLANET","WERTE DEINEN PLANETEN AUF"
"TID_TUT_UPGRADE_PLANET_DESCR","Das Aufwerten deines Planeten erhöht die Warenqualität und erweitert das Lager für deine Ressourcen."
"TID_TUT_KEEP_DOING_STUFF","TRANSPORTIERE MEHR WAREN"
"TID_TUT_KEEP_DOING_STUFF_DESCR","Transportiere Waren mit deinen Transportschiffen zwischen dem Planeten und seinen Monden.\n\nDurch das Ausliefern erhältst du Ressourcen und Erfahrung."
"TID_TUT_COLONIZE_SECOND_PLANET","KOLONISIERE EINEN ZWEITEN PLANETEN"
"TID_TUT_COLONIZE_SECOND_PLANET_DESCR","Das Kolonisieren neuer Planeten ist wichtig, damit dein Imperium weiter wachsen kann.\n\nBevor du einen Planeten kolonisieren kannst, musst du mindestens ein Schiff zur Oberfläche schicken. Die Kosten der Kolonisierung steigen mit jedem neuen Planeten."
"TID_TUT_COLONIZE_THIRD_PLANET","KOLONISIERE DEN NEUEN PLANETEN"
"TID_TUT_COLONIZE_THIRD_PLANET_DESCR","Auf kolonisierten Planeten kannst du auch deine Schiffe reparieren lassen. Kolonisiere den Planeten in der Nähe deines beschädigten Schlachtschiffs."
"TID_TUT_TAP_ON_BUILDING_BUTTON","• Klicke auf die Schaltfläche {0}."
"TID_TUT_PLACE_BUILDING_PROMPT","• Wähle die Position für {0}."
"TID_TUT_SELECT_PRODUCTION","• Wähle BAUEN aus."
"TID_TUT_SELECT_MINER_SHIP","• Wähle dein Bergbauschiff aus"
"TID_TUT_SELECT_SHIPMENTS","• Wähle WAREN aus."
"TID_TUT_SELECT_LOAD_SHIPMENT","• Klicke auf Waren, um sie einzuladen."
"TID_TUT_CLOSE_SHIPMENTS","• Schließe das Warenfenster."
"TID_TUT_CLOSE_PRODUCTION","• Schließe das Baufenster."
"TID_TUT_CLOSE_MISSION_WINDOW","• Schließe das Fenster."
"TID_TUT_SELECT_MOVE","• Wähle BEWEGEN aus."
"TID_TUT_PC_RIGHT_CLICK_ON_DEST","• Klicke auf BEWEGEN oder wähle mit Rechtsklick den leuchtenden Zielort aus."
"TID_TUT_SELECT_PROFILE","• Öffne das Imperiumübersichtsfenster."
"TID_TUT_SELECT_OBJECTIVES_TAB","• Wähle ZIELE aus"
"TID_TUT_SELECT_DESTINATION","• Wähle den leuchtenden Zielort der Warenlieferung aus"
"TID_TUT_SELECT_DEPART_NOW","• Wähle ABLEGEN aus."
"TID_TUT_SELECT_DEPART_NOW_PC","• Klicke auf ABLEGEN oder wähle mit Rechtsklick das Ziel aus."
"TID_TUT_SELECT_CANCEL_DEPART","• Wähle ABBRECHEN aus."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS","• Benutze den Befehl Bewegen oder ziehe dein Schiff auf den Planeten, um mehr Waren einzuladen."
"TID_TUT_MOVE_TO_PLANET_FOR_SHIPMENTS_PC","• Klicke auf BEWEGEN oder wähle mit Rechtsklick den Planeten aus, um mehr Waren einzuladen."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS","• Benutze den Befehl Bewegen oder ziehe dein Schiff auf den Mond, um mehr Waren einzuladen."
"TID_TUT_MOVE_TO_MOON_FOR_SHIPMENTS_PC","• Klicke auf BEWEGEN oder wähle mit Rechtsklick den Mond aus, um mehr Waren einzuladen."
"TID_TUT_SELECT_BUILD_BUTTON","• Wähle {0} aus."
"TID_TUT_WAIT_OR_SPEED_UP_PRODUCTION","• Schließe den Bau jetzt ab."
"TID_TUT_SELECT_SECOND_PLANET","• Wähle den zweiten Planeten aus"
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET","• Benutze den Befehl Bewegen oder ziehe dein Schiff auf den neuen Planeten."
"TID_TUT_MOVE_BATTLESHIP_TO_THIRD_PLANET_PC","• Klicke auf BEWEGEN oder wähle mit Rechtsklick den neuen Planeten aus."
"TID_TUT_SELECT_TRANSPORT_SHIP","• Wähle dein Transportschiff aus."
"TID_TUT_SELECT_NEW_BUILDING","• Wähle die Station aus."
"TIT_TUT_SELECT_MODULES","• Wähle MODULE aus"
"TID_TUT_CLOSE_MODULES_DLG","• Schließe das Modulfenster."
"TID_TUT_CLOSE_WINDOW_GENERIC","• Schließe das Fenster."
"TID_TUT_SELECT_TRANSPORT_MODULE","• Wähle LADERAUMERWEITERUNG aus."
"TID_TUT_SELECT_EMPTY_MODULE_SLOT","• Wähle den leeren Platz aus."
"TID_TUT_SELECT_INSTALL_NEW_MODULE","• Wähle NEUES MODUL INSTALLIEREN aus."
"TID_TUT_SELECT_COLONIZE","• Wähle Kolonisieren aus."
"TID_TUT_CLAIM_ACHIEVEMENT","Hol dir den Warenlieferungserfolg."
"TID_TUT_MINING_TITLE","BEGINNE MIT DEM ABBAU"
"TID_TUT_MINING_DESCR","In Asteroidenfeldern findet sich wertvoller Wasserstoff. Für dein Imperium sollten immer ein paar Bergbauschiffe rund um die Uhr im Einsatz sein."
"TID_TUT_MOVE_TO_ASTEROID","• Wähle ein Asteroidenfeld aus"
"TID_TUT_MINER_INFO","Bergbauschiffe bauen in Asteroidenfeldern Wasserstoff ab. Dabei bleiben sie in einem Asteroidenfeld, bis es vollständig abgebaut wurde."
"TID_TUT_CREATE_SECOND_TRANSPORT","BAUE EIN ZWEITES TRANSPORTSCHIFF"
"TID_TUT_CREATE_SECOND_TRANSPORT_INFO","Transportschiffe sind wichtig für das Wachstum deiner Wirtschaft. Du solltest mindestens ein Transportschiff bei jedem deiner kolonisierten Planeten haben. "
"TID_TUT_SHORT_RANGE_SCANNER_INFO","Mit dem Kurzstreckenscanner kannst du Sektoren in deiner Umgebung scannen, wodurch du weiter in das Sternensystem vordringen kannst."
"TID_TUT_REVEAL_SECTOR","ERKUNDE EINEN NEUEN SEKTOR"
"TID_TUT_REVEAL_SECTOR_INFO","Baue einen Kurzstreckenscanner und benutze ihn, um einen dritten Planeten zu kolonisieren."
"TID_TUT_SELECT_NEARBY_SECTOR","• Wähle einen Sektor in der Nähe aus."
"TID_TUT_SELECT_SCOUT_SECTOR","• Wähle den gescannten Sektor aus."
"TID_SELECT_EXPLORE","• Wähle AUFDECKEN aus."
"TID_SELECT_EXPLORATION_SPEEDUP","• Schließe den Scan jetzt ab."
"TID_TUT_DEFEAT_CERBERUS","BESIEGE DEN CERBERUS-WÄCHTER"
"TID_TUT_DEFEAT_CERBERUS_INFO","Geheimnisvolle Schiffe der Cerberus-Gruppierung sind in der Hadesgalaxie aufgetaucht. Greife sie mit deinen Schlachtschiffen an."
"TID_TUT_CREATE_BATTLESHIP","BAUE EIN SCHLACHTSCHIFF"
"TID_TUT_CREATE_BATTLESHIP_INFO","Mit Schlachtschiffen kannst du deine anderen Schiffe schützen und den Cerberus-Streitkräften Einhalt gebieten."
"TID_TUT_SELECT_BATTLESHIP","• Wähle dein Schlachtschiff aus."
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET","• Benutze den Befehl Bewegen oder ziehe dein Schlachtschiff in die Nähe des Cerberus-Wächters"
"TID_TUT_MOVE_BATTLESHIP_TO_ENEMY_FLEET_PC","• Klicke auf BEWEGEN oder bewege dein Schlachtschiff mit Rechtsklick in die Nähe des Cerberus-Wächters."
"TID_TUT_REDSTARSCANNER_INFO","Mit dem RR-Scanner kannst du neue Sterne entdecken und zu ihnen reisen."
"TID_TUT_JUMP_TRANSPORT","SPRINGE MIT DEM TRANSPORTSCHIFF ZUM ROTEN RIESEN"
"TID_TUT_JUMP_TRANSPORT_INFO","Du kannst Schiffe mit Sprungtoren zwischen Sternensystemen bewegen."
"TID_TUT_SEARCH_FOR_MISSION","SCANNE NACH EINEM ROTEN RIESEN"
"TID_TUT_SEARCH_FOR_MISSION_INFO","Mit dem RR-Scanner kannst du ein neues Sternensystem entdecken."
"TID_TUT_SELECT_MISSION_BUILDING","• Wähle den RR-Scanner aus."
"TID_TUT_SELECT_SCANNER_BUTTON","• Wähle SCANNEN aus."
"TID_TUT_SELECT_MISSION_SEARCH","Wähle SCAN STARTEN aus."
"TID_TUT_CONFIRM_JUMP","• Bestätige den Sprung."
"TID_TUT_SELECT_JUMP","• Wähle SPRUNG aus."
"TID_TUT_MOVE_TO_STARGATE","• Wähle den Befehl Bewegen aus oder ziehe dein Schiff auf den RR-Scanner."
"TID_TUT_MOVE_TO_STARGATE_PC","• Klicke auf BEWEGEN oder bewege dein Schiff mit Rechtsklick zum RR-Scanner."
"TID_TUT_BRING_ARTIFACT","BRING EIN ARTEFAKT VOM ROTEN RIESEN ZURÜCK"
"TID_TUT_BRING_ARTIFACT_INFO","Planeten in der Nähe von roten Riesen beherbergen viele Artefakte. Bring ein Artefakt zurück, um es zu erforschen."
"TID_TUT_VIEW_MISSION_STAR","• Wähle ZU STERN REISEN aus."
"TID_TUT_MOVE_BACK_TO_STARGATE","• Bewege dein Schiff zum Sprungtor zurück"
"TID_TUT_MOVE_TO_PLANET","• Bewege dein Transportschiff zum Planeten."
"TID_TUT_SELECT_LOAD_ARTIFACT","• Klicke auf das Artefakt, um es einzuladen."
"TID_TUT_RESEARCH_STATION_INFO","Auf einer Forschungsstation können Artefakte erforscht werden. Baue jetzt eine in deinem Sternensystem."
"TID_TUT_MOVE_SHIP_TO_RESEARCH_STATION","• Bewege dein Transportschiff zur Forschungsstation."
"TID_TUT_SELECT_RESEARCH_STATION","• Wähle deine Forschungsstation aus."
"TID_TUT_SELECT_RESEARCH_BUTTON","Wähle Erforschen aus."
"TID_TAP_ON_ARTIFACT_TO_RESEARCH","• Wähle das Artefakt aus."
"TID_TAP_ON_START_RESEARCH","• Wähle FORSCHUNG STARTEN aus."
"TID_TUT_SPEED_UP_ARTIFACT_RESEARCH","• Wähle JETZT ABSCHLIESSEN aus."
"TID_COLLECT_ARTIFACT_REWARD","• Wähle ERGEBNISSE ANZEIGEN aus."
"TID_TUT_SELECT_UPGRADE","• Wähle AUFWERTEN aus."
"TID_TUT_DO_UPGRADE","• Bestätige die Aufwertung."
"TID_TUT_WAIT_OR_SPEEDUP_PLANET_UPGRADE","• Schließe die Aufwertung jetzt ab."
"TID_TUT_HINT_MOVEMENT","Sobald ein Schiff ablegt, kannst du seinen Kurs nicht mehr ändern. Warte ab, bis es sein Ziel erreicht."
"TID_TUT_HINT_RS_SUPERNOVA","Kurz nach ihrer Entdeckung werden rote Riesen zur Supernova. Schiffe müssen zum Sprungtor zurückgekehrt sein, bevor die Zeit abgelaufen ist."
"TID_TUT_HINT_MINING","Dein Bergbauschiff geht seiner Arbeit nach, bis alle Asteroidenfelder des Hex-Sektors abgebaut wurden oder bist dein Wasserstofflager voll ist."
"TID_TUT_HINT_SHORT_RANGE_SCANNER","Sobald der Bau abgeschlossen wurde, kannst du mit dem Kurzstreckenscanner neue Sektoren in diesem Sternensystem erkunden."
"TID_TUT_RED_STAR_SCANNER","Hat der RR-Scanner einen neuen Stern entdeckt, dient er als Sternentor, durch das angedockte Schiffe in das neue System springen können."
"TID_TUT_WAIT_OR_SPEED_CONSTRUCTION","• Schließe den Bau jetzt ab."
"TID_TUT_HINT_COMBAT","Wähle ein Schlachtschiff aus, um dir seine Angriffsreichweite anzeigen zu lassen. Es greift automatisch feindliche Schiffe an, die sich in Reichweite befinden."
"TID_TUT_HINT_HYDRO","Schiffe verbrauchen Wasserstoff, wenn sie bewegt werden. Behalte deinen Wasserstoffvorrat im Auge. Deine Bergbauschiffe versorgen dich laufend mit Wasserstoff aus Asteroidenfeldern."
"TID_TUT_HINT_KEEPSHIPPING","Während dein Schlachtschiff unterwegs ist, kannst du mit Warenlieferungen deinen Einkommen sichern."
"TID_TUT_HINT_REPAIR","Jedes beschädigte Schiff wird langsam repariert, wenn es an einem kolonisierten Planeten, Mond oder einer Station andockt."
"TID_TUT_PLANETS_WITH_ARTIFACTS","Auf Planeten, die um Rote Riesen kreisen, gibt es Artefakte, die erforscht werden können. Anders als bei herkömmlichen Waren dauert es eine Weile, bis Artefakte vollständig verladen wurden."
"TID_TUT_HINT_RESEARCH_STATION","In der Forschungsstation werden gefundene Artefakte gelagert, erforscht oder wiederverwertet."
"TID_TUT_RETURN_HOME","• Kehre zu deinem Heimatstern zurück."
"TID_TUT_ASK_FOR_NOTIFICATIONS_TITLE","BENACHRICHTIGUNGEN"
"TID_TUT_ASK_FOR_NOTIFICATIONS_APPLE","Hades Star kann deinem Gerät Benachrichtigungen zu wichtigen Ereignissen schicken, z. B. wenn ein Bergbauschiff neue Befehle benötigt.\n\nSolltest du solche Benachrichtigungen nicht zulassen, kannst du sie später nachträglich aktivieren."
"TID_TUT_SHIPYARD_HINT","In der Weltraumwerft kannst du weitere Schiffe bauen. Sie kann später aufgewertet werden, um die Flottenkapazität zu erhöhen."
"TID_TUT_UPGRADE_SHIPYARD","WERTE DEINE WELTRAUMWERFT AUF"
"TID_TUT_UPGRADE_SHIPYARD_DESCR","Werte deine Weltraumwerft auf Stufe {0} auf, um mehr Schiffe bauen zu können."
"TID_TUT_VIEW_OBJECTIVES","ZIELE ANZEIGEN"
"TID_TUT_VIEW_OBJECTIVES_DESCR","Im Ziele-Fenster findest du weitere Aufgaben und Hilfestellungen, die deine Reise in der Hadesgalaxie begleiten."
"TID_TUT_INSTALL_MODULE","INSTALLIERE EIN MODUL"
"TID_TUT_INSTALL_MODULE_DESCR","Schiffe können durch Module aufgewertet werden. Module verschaffen deinem Schiff einzigartige Vorteile und sind entweder passiv oder müssen aktiviert werden."
"TID_TUT_OPEN_TECH_WINDOW","• Öffne das Tech-Fenster."
"TID_TUT_UNSELECT_CURRENT_OBJECT","• Schließe das Auswahlfenster."
"TID_TUT_SELECT_TRANSPORT_CAPACITY_MODULE","• Wähle dein gerade erforschtes Modul aus."
"TID_TUT_SELECT_BACK","• Gehe zurück."
"TID_TUT_FINISH_MODULE_UPGRADE","• Schließe die Aufwertung jetzt ab."
"TID_TUT_START_MODULE_UPGRADE","• Schalte die Module frei."
"TID_TUT_SELECT_EDIT_MODULES","• Wähle Module Installieren aus."
"TID_TUT_CLAIM_OBJECTIVE","• Fordere die Belohnung für das abgeschlossene Ziel ein"
"TID_BUILDING_SHIPYARD","WELTRAUMWERFT"
"TID_BUILDING_SHIPYARD_DESCR","Erlaubt den Bau von Schiffen. Aufwerten, um die Flottenkapazität deines Imperiums zu erhöhen."
"TID_BUILDING_REDSTAR_SCANNER","RR-SCANNER"
"TID_BUILDING_REDSTAR_SCANNER_DESCR","Kann rote Riesen in der Nähe entdecken."
